name_7430#0,"""시라세"""
ssn_014790_0001#0,"""기계 수리는<br>굉장히 섬세하고 어려운 일이에요."""
ssn_014790_0002#0,"""조금만 더하면 고쳐질 거 같아도,<br>그 “조금만”을 어떻게 해야 하는지……."""
ssn_014790_0101#0,"""아, 저는 이 선발대에서<br>정비를 담당한 시라세라고 해요."""
ssn_014790_0102#0,"""지금은 망가진 로봇을<br>수리하고 있던 참이에요."""
ssn_014790_0103#0,"""그런데, 조금 문제가 있어서……."""
ssn_014790_0104#0,"""파츠가 몇 개 부족하거든요.<br>그래서 쓸만해 보이는 걸 찾고 있어요."""
ssn_014790_0105#0,"""괜찮으시면<br>도와주실 수 있을까요?"""
ssn_014790_0201#0,"""……그렇군요.<br>갑자기 이러면 곤란하시겠죠……."""
ssn_014790_0301#0,"""망가진 로봇을 고치고 싶어요."""
ssn_014790_0302#0,"""“포톤 청크”를<br>받아도 될까요?"""
ssn_014790_0401#0,"""포톤 청크를 10개 준다"""
ssn_014790_0402#0,"""그만둔다"""
ssn_014790_0501_001#0,"""감사합니다!<br>이제 로봇을 고칠 수 있을 거에요."""
ssn_014790_0501_002#0,"""여기 로봇들은 크바리스의 센트럴 시티가<br>남아있던 시절부터 움직였던 것 같아요."""
ssn_014790_0501_003#0,"""그래도, 몇 개는 이렇게<br>망가진 채 방치되고 있어요."""
ssn_014790_0501_004#0,"""가게 보는 아이들도 언제 고장날지 모르니,<br>정비받을 수 있게끔 해 주고 싶어요."""
ssn_014790_0501_005#0,"""매일 열심히 일해주고 있으니,<br>저도 확실하게 케어해 줄 거에요."""
ssn_014790_0501_006#0,"""그럼, 포톤 청크로 수리를 시험해 볼게요.<br>출력은 이 정도면 되겠고……."""
ssn_014790_0501_007#0,"""기대해 주세요."""
ssn_014790_0502#0,"""……어, 조금 부족한 것 같아요.<br>정말 죄송하지만, 더 부탁드려도 될까요……."""
ssn_014790_0503#0,"""그렇군요…….<br>기다리고 있을테니, 다음에 부탁드릴게요."""
ssn_014790_1001#0,"""포톤 청크, 잘 썼어요."""
ssn_014790_1002#0,"""그런데……수리가 아직<br>완료가 안 됐어요."""
ssn_014790_1003#0,"""여러 가지 조사해 보니,<br>다른 곳도 망가져 있던 것 같아요."""
ssn_014790_1004#0,"""괜찮으시다면,<br>한 번 더 도와주실 수 있을까요?"""
ssn_014790_1101#0,"""여, 역시 그렇죠.<br>이래라 저래라, 너무 저만 생각했네요……."""
ssn_014790_1201#0,"""최선을 다하고는 있지만,<br>로봇은 아직 못 고쳤어요."""
ssn_014790_1202#0,"""“포톤 쿼츠”를<br>받아도 될까요?"""
ssn_014790_1301#0,"""포톤 쿼츠를 10개 준다"""
ssn_014790_1302#0,"""그만둔다"""
ssn_014790_1401_001#0,"""정말 감사합니다!<br>이제 드디어 로봇을 고칠 수 있을 거에요."""
ssn_014790_1401_002#0,"""이번엔 정말로 괜찮을 거에요.<br>고칠 때까지 포기 안 할 거에요!"""
ssn_014790_1401_003#0,"""여깄는 로봇들은 옛날에 크바리스의 아크스들이<br>쓴 것 같은데……."""
ssn_014790_1401_004#0,"""그 때보다도 훨씬 전부터 작동했다는<br>데이터도 발견되고 있어요."""
ssn_014790_1401_005#0,"""그래서 망가진 로봇을 고치면, <br>잃어버린 기술을 해명하는데 진전이 있지 않을까 해서요."""
ssn_014790_1401_006#0,"""미지의 기술에 한 걸음 다가간다 생각하니,<br>가슴이 두근거려요!"""
ssn_014790_1401_007#0,"""그럼 전 수리에 착수할게요."""
ssn_014790_1401_008#0,"""조금 시간이 걸릴 것 같으니,<br>당신은 원래 임무로 돌아가셔도 돼요."""
ssn_014790_1401_009#0,"""수리가 끝나면 보고드릴게요."""
ssn_014790_1402#0,"""……어, 조금 부족한 것 같아요.<br>정말 죄송하지만, 더 부탁드려도 될까요……."""
ssn_014790_1403#0,"""그렇군요…….<br>기다리고 있을테니, 다음에 부탁드릴게요."""
ssn_014790_1501#0,"""이것 좀 봐요.<br>로봇이 제대로 움직이게 됐어요!"""
ssn_014790_1502#0,"""도와주셔서 정말 감사합니다."""
ssn_014790_1503#0,"""당신이 없었다면<br>준비에만 며칠이 걸렸을 거에요."""
ssn_014790_1504#0,"""후후……참 귀엽죠?<br>제 손으로 고쳐서인지, 애착도 많이 생겼어요."""
ssn_014790_1505#0,"""사실 말이 고친 거지,<br>자잘하게 손 본 게 전부지만요."""
ssn_014790_1506#0,"""언젠가는 이런 아이들을<br>처음부터 제 손으로 만들게 되고 싶어요."""
ssn_014790_1507#0,"""더 기술을 익혀서<br>사람들의 생활에 더 도움이 되고 싶어요."""
ssn_014790_1508#0,"""가게 보는 아이들처럼,<br>얘도 예쁘게 봐 주세요."""
ssn_014790_1509#0,"""그럼."""
ssn_014790_1601#0,"""더 기술을 익혀서<br>사람들의 생활에 더 도움이 되고 싶어요."""
ssn_014790_1602#0,"""가게 보는 아이들처럼,<br>얘도 예쁘게 봐 주세요."""
ssn_014790_1701#0,"""이번엔 꼭 제 손으로 수리해낼 거에요."""
ssn_014790_1702#0,"""끝나면 연락 드릴게요."""
ssn_014790_1801#0,"""이것 좀 봐요.<br>보시다시피 제대로 움직이게 됐어요!"""
ssn_014790_1802#0,"""가게 보는 아이들처럼,<br>얘도 예쁘게 봐 주세요."""
ssn_014790_1803#0,"""더 기술을 익혀서<br>사람들의 생활에 더 도움이 되고 싶어요."""
