name_7237#0,"""레소"""
ssn_014950_0001#0,"""으으, 추워라……."""
ssn_014950_0002#0,"""어머, 당신은……?<br>잘 보니 꽤 강해 보이네요."""
ssn_014950_0003#0,"""당신 실력이 어느 정도인지 관심이 생겼어요.<br>언젠가 실력을 보고 싶네요."""
ssn_014950_0101#0,"""안녕하세요……,<br>전 선발대에서 물자 관리를 담당중인 레소라고 해요."""
ssn_014950_0102#0,"""후후후……,<br>당신, 아주 강해 보이네요."""
ssn_014950_0103#0,"""사실……, 선발대 방침으로 강한 아크스에게<br>최신물자를 우선적으로 제공하게 됐거든요……."""
ssn_014950_0104#0,"""그걸 위한 테스트로,<br>당신의 실력을 확인하고 싶은데요……."""
ssn_014950_0201#0,"""북부 크바리스에 있는<br>크로코다라스을 토벌해 주세요……."""
ssn_014950_0201_001#0,"""크로코다라스를 토벌해 주세요……."""
ssn_014950_0201_002#0,"""주로 베르가나 유적에서 목격사례가 발생중이에요……."""
ssn_014950_0202#0,"""당신이 어떻게 그 에너미를 쓰러트리는지,<br>꼭 보게 해주세요."""
ssn_014950_0301#0,"""그렇군요…….<br>그럼, 기회가 있다면 그 때……."""
ssn_014950_0401#0,"""돌아오셨군요.<br>수고 많으셨어요……."""
ssn_014950_0402#0,"""전투 데이터,<br>덕분에 잘 볼 수 있었어요."""
ssn_014950_0403#0,"""정말 굉장해요.<br>저도 모르게 홀린 듯이 보고 있었어요……."""
ssn_014950_0404#0,"""첫번째 테스트는<br>깔끔하게 합격이에요."""
ssn_014950_0405#0,"""다음 테스트를 해 볼게요……."""
ssn_014950_1001#0,"""그럼……, 물자 제공을 위한<br>테스트를 계속할게요."""
ssn_014950_1002#0,"""수단은 지난번과 같아요…….<br>준비를 마치면 바로 시작할게요."""
ssn_014950_1101#0,"""다음 목표는 이퀄라이징 에너미에요."""
ssn_014950_1102#0,"""크바리스에선 베르가나 유적이나<br>로스트 센트럴에서 목격되는 듯 해요……."""
ssn_014950_1103#0,"""물론<br>다른 리전에서 찾으셔도 상관 없어요."""
ssn_014950_1201#0,"""그렇군요…….<br>정말 유감이에요……."""
ssn_014950_1301#0,"""돌아오셨군요.<br>수고 많으셨어요……."""
ssn_014950_1302#0,"""전투 데이터도 확인했어요."""
ssn_014950_1303#0,"""당신이 싸우는 모습은 몇 번을 봐도 빠져들어요…….<br>정말 멋져요……."""
ssn_014950_1304#0,"""물론 테스트도 합격이에요.<br>물자의 우선제공을 약속드릴게요……."""
ssn_014950_1305#0,"""하지만, 언제 어디서든<br>교환할 수 있는 건 아니에요……."""
ssn_014950_1306#0,"""저희와 요구하는 물품들과<br>교환하는 형식이에요……."""
ssn_014950_1307#0,"""신경 쓰이는 게 있다면<br>제게 말을 걸어 주세요……."""
ssn_014950_1308#0,"""다음에도 당신이 싸우는 모습을<br>보여주셨으면 해요……."""
ssn_014950_1309#0,"""그럼 다음에도……."""
