name_7237#0,"""레소"""
ssn_014951_0101#0,"""후후후……, <br>테스트를 받아주시는 거군요."""
ssn_014951_0102#0,"""강한 아크스에게 더 질 좋은 자원을…….<br>선택과 집중이라고 할 수 있죠."""
ssn_014951_0103#0,"""불공평하다고……생각되실지도 모르겠지만,<br>자원이 한정돼 있는 이상 어쩔 수 없어서요……."""
ssn_014951_0104#0,"""그리고……, 전 스스로 싸우는 걸 못해서,<br>강한 아크스를 동경하게 되더라구요……."""
ssn_014951_0105#0,"""그런 분들을 위해,<br>뒤에서나마 도움을 드리고 싶어요……."""
ssn_014951_0106#0,"""그럼 바로 부탁드릴게요. 북부 크바리스에서<br>\""크로코다라스\""를 토벌해 주세요."""
ssn_014951_0106_001#0,"""그럼 바로 부탁드릴게요. 북부 크바리스에서<br>\""크로코다라스\""를 토벌해 주세요."""
ssn_014951_0107#0,"""크로코다라스……굉장히 큰 몹집이 특징이죠…….<br>아주 강할 것 같은 상대에요."""
ssn_014951_0108#0,"""당신이 그 에너미를 어떻게 쓰러트리는지<br>확실하게 봐 두고 싶어요."""
ssn_014951_0108_001#0,"""주로 베르가나 유적에서 목격되고 있다고 해요……."""
ssn_014951_0109#0,"""최선을 다해 주세요……."""
