name_7199#0,"""구이덴"""
ssn_015084_0101#0,"""좋아, 그럼 이야기하지."""
ssn_015084_0102#0,"""각각의 무기에는,<br>단련할 수 있는 한계가 있다."""
ssn_015084_0103#0,"""한계를 넘어 단련하면,<br>출력이 불안정하거나 부서져 버려서 본전도 찾을 수 없지."""
ssn_015084_0104#0,"""그래서 무기를 안정적으로 강화하기 위한 촉매가 필요해진다."""
ssn_015084_0105#0,"""그게 바로 \""암즈 리파이너\""라는 물건이다."""
ssn_015084_0106#0,"""희귀한 물건이지만<br>아이템 랩에서 생성할 수 있다."""
ssn_015084_0107#0,"""지금 가진 무기를 더욱 강화하기 위해<br>반드시 필요한 물건이다."""
ssn_015084_0108#0,"""스트라그먼트A를 10개, 스트라그먼트B를 10개, 스트라그먼트C를 10개, N-엑스큐브를 1개 입수했습니다."""
ssn_015084_0109#0,"""2キャラ目以降の減額報酬用の枠"""
ssn_015084_0110#0,"""필요한 소재를 확인하고 강화해 봐."""
