name_7432#0,"""샨프란"""
ssn_014730_0001#0,"""응?<br>너 “별을 건너는 자”야?"""
ssn_014730_0002#0,"""나한테 무슨 볼일 있어?"""
ssn_014730_0101#0,"""으으……추워…….<br>이래 가지곤 일도 못한다고."""
ssn_014730_0102#0,"""……그런데, 그 쪽은 무슨 일이야?<br>나한테 하고 싶은 말이라도 있어?"""
ssn_014730_0103#0,"""추워 보이는데 괜찮냐고?"""
ssn_014730_0104#0,"""그런 우는 소리할 때가 아니야.<br>대장이 시킨 게 좀 많아야지."""
ssn_014730_0105#0,"""뭐시기 광석을 캐오라지,<br>포마즈 토벌하고 오라지……."""
ssn_014730_0201#0,"""충고하겠는데, 진짜로 갈 거면……<br>진짜 제대로 준비하고 가!"""
ssn_014730_0202#0,"""감기 걸려서 몸살 나도<br>책임 안 질 거야."""
ssn_014730_0301#0,"""뭐 그러니까,<br>난 신경 쓰지 마."""
ssn_014730_0401#0,"""……내가 해야 할 일인데,<br>도와줘서 고마워."""
ssn_014730_0402#0,"""나 혼자서도<br>한다면 할 수 있는 일이지만……."""
ssn_014730_0403#0,"""이 엄동설한에<br>몸이 움직여 줘야 말이지."""
ssn_014730_0404#0,"""어?\u3000추운 게 싫으면<br>선발대에는 왜 지원했냐고?"""
ssn_014730_0405#0,"""나도 이렇게까지 추울 줄은 몰랐지!<br>크바리스에 온 것도 이번이 처음이고."""
ssn_014730_0406#0,"""그리고……, 여기면 별을 건너는 자도<br>별로 없을 거 같아서."""
ssn_014730_0407#0,"""……내 얘기 일일이 들을 것 없잖아.<br>이제 텐트 수리하러 가야 한다고."""
ssn_014730_0408#0,"""그거 말고도 할 일이<br>산더미라서 말이야."""
ssn_014730_0409#0,"""그럼 안녕."""
ssn_014730_1001#0,"""왜?<br>또 무슨 일 있어?"""
ssn_014730_1002#0,"""뭐?<br>바쁘면 도와주겠다고?"""
ssn_014730_1003#0,"""나보다 그 쪽이<br>훨씬 바쁘지 않아……?"""
ssn_014730_1004#0,"""뭐, 도와주겠다면야<br>고맙지."""
ssn_014730_1101#0,"""……“블리자디엄” 채집을<br>부탁할게."""
ssn_014730_1102#0,"""눈이 올 때는<br>평소보다 더 추우니까 조심해."""
ssn_014730_1201#0,"""……그래, 그렇겠지.<br>나 혼자서 어떻게든 하지 뭐."""
ssn_014730_1301#0,"""“블리자디엄”, 채집해줘서 고맙다."""
ssn_014730_1302#0,"""그럼 데이터 분석해 볼게."""
ssn_014730_1303#0,"""……너, 내가 해야 하는 일들을<br>왜 이렇게 떠맡아 주는 거야?"""
ssn_014730_1304#0,"""내가 못 미더워 보여서<br>도와주고 싶었던 거야?"""
ssn_014730_1305#0,"""아니면, “별을 건너는 자”의 힘을 과시하려고……?"""
ssn_014730_1306#0,"""아니……아무것도 아냐."""
ssn_014730_1307#0,"""……오, 데이터 분석이 끝났네.<br>이건 돌려줄게."""
ssn_014730_1308#0,"""덕분에 좀 편해졌어.<br>고맙다."""
ssn_014730_2001#0,"""……나, 이번엔<br>에너미 토벌 시의 데이터 수집을 맡았어."""
ssn_014730_2002#0,"""머수도 많고,<br>버거운 놈들도 좀 섞여 있는데."""
ssn_014730_2003#0,"""뭐?<br>그거야, 도와준다면 고맙긴 한데……."""
ssn_014730_2101#0,"""토벌 대상은 밤중의 알터즈야."""
ssn_014730_2102#0,"""……좀 힘들다 싶으면<br>바로 말해 줘야 한다?"""
ssn_014730_2201#0,"""……뭐, 그렇지.<br>내가 알아서 해야지."""
