name_7428#0,"""유리"""
ssn_014921_0101#0,"""응응, 그렇게 나와야지!"""
ssn_014921_0102#0,"""그 방법이란 바로……,<br>크바리스의 식재를 써서 \""퀵 푸드\""를 만들어 먹는 거야!"""
ssn_014921_0103#0,"""……뭐어, 음식을 먹으면 몸이 덥혀지는 건<br>당연하긴 한데……."""
ssn_014921_0104#0,"""그래도 크바리스 식재는 특별해.<br>몸의 안쪽부터 따끈따끈해져서, 추위도 이겨낼 수 있게 돼."""
ssn_014921_0105#0,"""마침 내가 몇 개 갖고 있으니까<br>너한테 줄게."""
ssn_014921_0106#0,"""바로 퀵 푸드를 만들어서 먹어 봐!"""
ssn_014921_0200#0,"""맛타 크발 캐롯츠를 3개, 샷키 크발 마슐을 3개, 맛타 크발 마기카이를 3개 입수했습니다."""
ssn_014921_0201#0,"""갓츠 크발 자리니를 3개, 삿파 크발 플럼을 3개, 갓츠 크발 아케빌을 3개 입수했습니다."""
ssn_014921_0300#0,"""맛타 크발 캐롯츠를 1개, 샷키 크발 마슐을 1개, 맛타 크발 마기카이를 1개를 입수했습니다."""
ssn_014921_0301#0,"""갓츠 크발 자리니를 1개, 삿파 크발 플럼을 1개, 갓츠 크발 아케빌을 1개 입수했습니다."""
