name_7429#0,"""크리스토발"""
ssn_014870_0001_001#0,"""수고했다.<br>데이터는 바로 확인하지."""
ssn_014870_0001_002#0,"""……음, 문제 없어 보이는군."""
ssn_014870_0001_003#0,"""우리가 필요로 하는 건 데이터 뿐이니,<br>채집한 물건은 네가 가지도록 해."""
ssn_014870_0001_004#0,"""어때?<br>많이 번거로운 작업이었지?"""
ssn_014870_0001_005#0,"""이런 작은 작업들을 반복하는 게<br>우리 임무야."""
ssn_014870_0001_006#0,"""원래라면 수송 트럭이라도 써서<br>대규모 인력을 동원해야 효율이 나오는데 말이야."""
ssn_014870_0001_007#0,"""안타깝게도, 수송차량은 우리같은<br>소규모부대가 막 써도 되는 물건이 아니라서."""
ssn_014870_0001_008#0,"""뭐, 아크스답게<br>발로 뛰는 수 밖에."""
ssn_014870_0001_009#0,"""어쨌든 협력해 줘서 고맙다."""
ssn_014870_0001_010#0,"""일이 생기면 또 이야기하지.<br>그 때도 잘 부탁해."""
ssn_014870_0001_011#0,"""너같이 부지런한 친구가 선발대에 있다면,<br>나도 좀 편하게 지낼 수 있을텐데."""
ssn_014870_0001_012#0,"""투덜대봤자 뭐 하겠어.<br>난 내가 할 수 있는 일을 해야지."""
ssn_014870_0001#0,"""안녕, 네 활약은 많이 들었어."""
ssn_014870_0002#0,"""크바리스의 환경에도 완전히 익숙해진 모양이군.<br>여기서 지내는 것도 그렇고."""
ssn_014870_0003#0,"""우리 선발대의 임무도 순조롭게 진행중이다.<br>지금은 활동범위를 조금씩 늘리고 있지."""
ssn_014870_0004#0,"""뭐, 일손은 여전히 부족해서<br>골치 썩는 중이지만."""
ssn_014870_0005#0,"""어때?<br>우리 임무를 또 한 번 도와줄 생각 없나?"""
ssn_014870_0006#0,"""네가 이 리전에서 얼마나 성장했는지<br>보고 싶기도 하고. 받아주면 고맙겠군."""
ssn_014870_0101#0,"""중앙 크바리스는 남부에 비해<br>더 강력한 에너미가 출현하는 섹션이다."""
ssn_014870_0102#0,"""모쪼록 방심하지 마."""
ssn_014870_0201#0,"""그렇군, 억지로 시킬 생각은 없어.<br>기분 내키면 또 말을 걸어 줘."""
ssn_014870_0301#0,"""수고 많았다."""
ssn_014870_0302#0,"""네 활약을 마그로 보고 있었는데,<br>정말 대단하더군."""
ssn_014870_0303#0,"""너만큼 전투에 능한 아크스는<br>그리 많지 않아."""
ssn_014870_0304#0,"""크바리스의 가혹한 환경이<br>널 더 강하게 만든 건지도 모르겠어."""
ssn_014870_0305#0,"""그 남자가 생각나는군……."""
ssn_014870_0306#0,"""아니, 별 거 아니야.<br>혼잣말이다."""
ssn_014870_0307#0,"""널 보노라면 옛날 생각이 나서 말이야.<br>내 젊었을 적이."""
ssn_014870_0308#0,"""어이쿠, 이런 소리를 늘어놓으면 늙은이같아 보이겠군.<br>나도 아직 현역 아크스인데 말이야."""
ssn_014870_0309#0,"""어쨌든 협력해 줘서 고맙다.<br>다음에도 잘 부탁하지."""
ssn_014870_1001#0,"""여어, 몸은 좀 어때?<br>슬슬 고향이 그리워질 때도 됐을텐데."""
ssn_014870_1002#0,"""우리 부대 리템 출신들은<br>매일같이 사막이 보고 싶다고 투덜댈 정도야."""
ssn_014870_1003#0,"""너도 너무 일만 하지 말고,<br>가끔은 에아리오에 돌아가 보는 것도 좋을 거야."""
ssn_014870_1004#0,"""뭐, 이런 화제에는 안 맞지만……,<br>우리 임무에 동행해 주지 않겠나?"""
ssn_014870_1005#0,"""이제부터 북부 크바리스에 환경조사를 하려던 참이야.<br>사람은 한 명이라도 많은 게 좋지."""
ssn_014870_1101#0,"""활동범위가 넓어질수록 필요한 인력도 늘어나지.<br>참 번거롭게도 말이야."""
ssn_014870_1102#0,"""너만 믿는다.<br>자세한 건 마그에 보내 두지."""
ssn_014870_1201#0,"""흠, 아무래도 시기가 안 맞았던 모양이군.<br>다음 기회에 부탁하지."""
ssn_014870_1301#0,"""수고 많았어.<br>데이터를 확인하지."""
ssn_014870_1302#0,"""……음, 문제 없군."""
ssn_014870_1303#0,"""과연 그 에아리오 타운의 돌즈 습격에서<br>살아남은 아크스답군. 일처리가 완벽해."""
ssn_014870_1304#0,"""응? 뭘 놀라고 그래.<br>설마 내가 모르고 있는 줄 알았나."""
ssn_014870_1305#0,"""자각은 별로 없는 모양인데,<br>너, 아크스 사이에선 꽤 유명해졌어."""
ssn_014870_1306#0,"""각지에서 공적을 쌓고 있다고 하던데.<br>그 소문이 어디까지 진짜인지, 나도 좀 관심이 있었거든."""
ssn_014870_1307#0,"""사실은 여태까지 도와달라 한 것도,<br>사실 네 실력을 보기 위해서였어."""
ssn_014870_1308#0,"""하지만 활약상이 이 쯤 되면,<br>의심할 여지 따윈 없지."""
ssn_014870_1309#0,"""넌 소문 이상으로<br>우수한 아크스다."""
ssn_014870_1310#0,"""앞으로도 일이 있으면 부탁하지.<br>협력해 줘서 고맙다."""
ssn_014870_2001#0,"""좋을 때 왔군.<br>급한 일은 아니지만, 한 가지 맡겨도 될까?"""
ssn_014870_2002#0,"""매번 하던 의무적인 도움하고는 조금 달라.<br>이 쪽도 꽤 골치를 썩이던 참이야."""
ssn_014870_2003#0,"""힘든 일이 될지도 모르겠지만,<br>이야기를 들어주면 좋겠군."""
ssn_014870_2101#0,"""내가 움직일 수 있으면 좋겠지만,<br>캠프를 벗어나면 안 되는 상황이야."""
ssn_014870_2102#0,"""힘든 일이어서 미안하군,<br>잘 부탁하지."""
ssn_014870_2201#0,"""그래…….<br>뭐, 네게도 네 할일이 있을테니."""
