name_7427#0,"""코르테스"""
ssn_014935_0101#0,"""그래!\u3000기세 좋은데!<br>그럼 뭘 해야 하는지 설명해 주지.."""
ssn_014935_0102#0,"""\""프로즌 컨테이너\""라고 알고 있나?"""
ssn_014935_0103#0,"""주변이 얼음으로 둘러싸인 컨테이너 말이야.<br>그게 이번 목표다."""
ssn_014935_0104#0,"""문제는 이 얼음이 엄청나게 단단하거든…….<br>쉽게는 부서지지 않아."""
ssn_014935_0105#0,"""\""플로팅 보드\""로 들이받는 것도……<br>하나의 방법일지도 모르지."""
ssn_014935_0106#0,"""왜 얼어 있는지 등등은<br>물론 나도 모른다!"""
ssn_014935_0107#0,"""아, 그리고<br>아무리 찾아도 컨테이너가 안 보일 수도 있어."""
ssn_014935_0108#0,"""눈이나 바람 때문에<br>매일 지면의 상태가 변하니까 말이야."""
ssn_014935_0109#0,"""그럴 땐 그냥 다음에 다시 찾아 봐.<br>서두르지 말고 천천히 해."""
ssn_014935_0110#0,"""자, 그럼 다녀와라!"""
