name_7401#0,"""스피더"""
ssn_015160_001_0001#0,"""잘 왔어!<br>난 훈련 교관 스피더라고 한다."""
ssn_015160_001_0002#0,"""하아…내 얘기 좀 들어 봐.<br>요즘 아크스는 \""달리기\""가 영 시원찮단 말이야."""
ssn_015160_001_0003#0,"""그래서 말인데, 그 달리기를<br>아주 제대로 단련할 수 있는 머신이 있거든."""
ssn_015160_001_0004#0,"""뭐? 아까부터 정보가 별로 없다고?<br>그런 자잘한 건 됐고."""
ssn_015160_001_0005#0,"""그래서 그 머신으로 네 달리기를<br>좀 보여 줬으면 하는 거지."""
ssn_015160_001_0201#0,"""오우…그래?<br>네 달리는 모습이 보고 싶었는데 말이지."""
ssn_015160_001_0301#0,"""헤이!<br>요즘 어때, 몸은 좀 움직이고 다녀?"""
ssn_015160_001_0302#0,"""시원하게 달리고 나면<br>기분도 한결 개운해질걸?"""
ssn_015160_001_0401#0,"""오, 왔냐!<br>너도 \""바람\""이 되어 보고 싶지 않냐?"""
ssn_015160_001_0402#0,"""그치?\u3000그러고 싶지?<br>사실 그 방법이 있거든."""
ssn_015160_001_0403#0,"""전에 말한 머신으로,<br>플로팅 보드의 \""질주\""를 훈련할 수 있어."""
ssn_015160_001_0404#0,"""그래서 말인데,<br>네가 잠깐 해 봤으면 해."""
ssn_015160_001_0501#0,"""오우…그래?<br>네가 바람처럼 달리는 모습이 보고 싶었는데 말이지."""
npc_menu_0001#0,"""태스크를 연다"""
npc_menu_0002#0,"""\""필드 레이스\""에 관하여"""
npc_menu_0003#0,"""\""필드 레이스: 주파\""에 관하여"""
npc_menu_0004#0,"""묻고 싶은 것이 없다"""
npc_menu_0005#0,"""\""필드 레이스: 플로팅보드\""에 관하여"""
