name_7435#0,"""마미야"""
ssn_014910_0001_001#0,"""데이터 받았어.<br>고마워!"""
ssn_014910_0001_002#0,"""덕분에 조사를 더 진행할 수 있겠네.<br>뭔가 알게 되면 네게도 알려 줄게."""
ssn_014910_0001_010#0,"""코쿤 데이터, 잘 받았어.<br>덕분에 조사에도 진전이 있겠어."""
ssn_014910_0001_011#0,"""알게 된 게 있으면<br>네게도 알려 줄게."""
ssn_014910_0001#0,"""안녕, 너구나.<br>딱 좋을 때 왔네."""
ssn_014910_0002#0,"""네가 전에 준 데이터 분석이 어느 정도 끝나서<br>몇 가지 밝혀낸 게 있어."""
ssn_014910_0003#0,"""그 얘기를 좀 하고 싶은데…<br>지금 시간 괜찮아?"""
ssn_014910_0101#0,"""우리 연구자들이 한 가지<br>가설을 세웠는데…"""
ssn_014910_0102#0,"""…그걸 검증하려면 아직 정보가 더 필요하거든.<br>데이터 수집 좀 부탁할게."""
ssn_014910_0201#0,"""그래, 괜찮아. 억지로 시키진 않을 거야.<br>다음에 부탁할게."""
ssn_014910_0301#0,"""데이터를 가져왔구나.<br>고마워."""
ssn_014910_0302#0,"""음, 하나같이 유익한 정보뿐이네.<br>하하, 큰 도움이 되겠어."""
ssn_014910_0303#0,"""그럼 이제 본격적으로 분석해야지.<br>내용이 어느 정도 정리되면 알려 줄게."""
ssn_014910_1001#0,"""오, 와줬구나."""
ssn_014910_1002#0,"""정보가 좀 정리됐거든.<br>전에 하던 얘기, 계속 들을래?"""
ssn_014910_1101#0,"""옛 할파에는<br>고도의 문명이 존재했다…"""
ssn_014910_1102#0,"""이 가설을 입증하기 위한 정보가 여전히 부족해서 말이야.<br>타워의 데이터, 기대할게."""
ssn_014910_1201#0,"""그래, 괜찮아. 억지로 시키진 않을 거야.<br>다음에 부탁할게."""
ssn_014910_1301#0,"""타워의 데이터, 잘 받았어!<br>하하, 정말 고마워."""
ssn_014910_1302#0,"""덕분에 진상에 한 걸음<br>더 가까워질 수 있을 거야."""
ssn_014910_1303#0,"""또 뭔가 알게 되면<br>네게 제일 먼저 알려 줄게."""
ssn_014910_1304#0,"""기대하고 있어도 좋아."""
ssn_014910_1401#0,"""타워의 데이터, 잘 받았어!<br>하하, 정말 고마워."""
ssn_014910_1402#0,"""또 뭔가 알게 되면<br>네게 제일 먼저 알려 줄게."""
ssn_014910_1403#0,"""기대하고 있어도 좋아."""
