name_7432#0,"""샨프란"""
ssn_014900_0001_001#0,"""아이고, 고마워.<br>제일 세 보이는 녀석도 맥을 못 추리네."""
ssn_014900_0001_002#0,"""……그건 그런데,<br>댁은 대체 왜 이렇게 도와주는 거야?"""
ssn_014900_0001_003#0,"""그냥 친절한 거라고?<br>……역시, \""별을 건너는 자\""는 잘 모르겠네."""
ssn_014900_0001_004#0,"""솔직히 말하자면, 난 너희들을<br>별로 믿고 있지 않아."""
ssn_014900_0001_005#0,"""돌즈랑 똑같이<br>하늘에서 떨어지고……하나부터 열까지 베일에 싸여 있고."""
ssn_014900_0001_006#0,"""실은 돌즈와 한통속 아닌가,<br>같은 생각도 했었어."""
ssn_014900_0001_007#0,"""……하지만 너는 그래도<br>믿어도 되지 않나 싶기도 해……."""
ssn_014900_0001_008#0,"""………."""
ssn_014900_0001_009#0,"""으, 역시 모르겠다."""
ssn_014900_0001_010#0,"""미안, 방금 건 흘려 들어."""
ssn_014900_0001_100#0,"""난 여태 \""별을 건너는 자\""에 대해<br>그닥 좋은 인상을 못 받았거든."""
ssn_014900_0001_101#0,"""근데 너랑 얘기하다 보면<br>뒤죽박죽이 돼서……."""
ssn_014900_0001#0,"""요전엔 실례했어.<br>이상한 소리를 했지……."""
ssn_014900_0002#0,"""그래서, 그……."""
ssn_014900_0003#0,"""또 일이 좀 생겨서 말이야.<br>이번엔 식재료의 데이터를 수집하는 거야."""
ssn_014900_0101#0,"""데이터가 필요해.<br>\""샷키 크발 스쿠이드\""로 부탁할게."""
ssn_014900_0102#0,"""야행성 변종하고 비슷하게 생겼으니,<br>헷갈리지 말고."""
ssn_014900_0201#0,"""그래, 너도 바쁘겠지.<br>내가 알아서 할테니 신경 쓰지 마."""
ssn_014900_0301#0,"""도와줘서 고맙다.<br>데이터를 추출할게."""
ssn_014900_0302#0,"""사실, 요즘엔 너 말고도 \""별을 건너는 자\""하고<br>얘기할 일이 늘어서."""
ssn_014900_0303#0,"""이래저래 도움 받고 있어."""
ssn_014900_0304#0,"""……너희 \""별을 건너는 자\""들은<br>옛날부터 뭐든 요령이 좋더라고."""
ssn_014900_0305#0,"""우리 할파 출신이<br>고생하는 일들을 별 거 아닌 것처럼 해내곤 해."""
ssn_014900_0306#0,"""처음엔 어리버리해 보이는 녀석도<br>금세 무기 다루는 법을 배워선, 우리보다 강해지더라."""
ssn_014900_0307#0,"""우리랑 다른 느낌이 들어서,<br>도저히 좋아할 수가 없었어……."""
ssn_014900_0308#0,"""하지만 이렇게 너희하고 얘기를 나누고 보니,<br>우리랑 다를 거 하나 없구나 싶더라."""
ssn_014900_0309#0,"""호구마냥 착해 빠진 녀석은<br>아무리 그래도 마음에 안 들지만!"""
ssn_014900_0310#0,"""……어, 데이터 수집 끝났네.<br>물건은 돌려줄게."""
ssn_014900_0311#0,"""……고맙다.<br>네 덕에 한시름 놨어."""
ssn_014900_1001#0,"""응? 왜?"""
ssn_014900_1002#0,"""……설마, 또 일 도와주려고?"""
ssn_014900_1003#0,"""아니, 이제 도움 받을 만한 일이 딱히……."""
ssn_014900_1004#0,"""아, 아니 하나 빡센 게 있긴 한데."""
ssn_014900_1005#0,"""이건 너만 할 수 있을 것 같네."""
ssn_014900_1101#0,"""\""노타 크발 고기\""를 구하러 갈 거면<br>방한대책은 잊지 마."""
ssn_014900_1102#0,"""레이요르드 협만은 진짜 장난 아닌 곳이니까."""
ssn_014900_1201#0,"""그래, 무리할 필요 없지.<br>나 혼자서 어떻게든 할게."""
ssn_014900_1301#0,"""고맙다.<br>솔직히 이번만큼은 걱정했어."""
ssn_014900_1302#0,"""그럼 데이터를 추출해야지."""
ssn_014900_1303#0,"""……그래도, 네 얼굴을 보니까 안심이 되네."""
ssn_014900_1304#0,"""시켜놓고 이런 말 하긴 뭐하지만,<br>너무 무리하지 마."""
ssn_014900_1305#0,"""하하하!<br>내가 \""별을 건너는 자\""한테 이런 소릴 하다니……."""
ssn_014900_1306#0,"""널 보고 나서부터,<br>나도 힘들어하는 사람이 있으면 도와주고 싶단 생각이 들게 됐어."""
ssn_014900_1307#0,"""상대가 \""별을 건너는 자\""든 누구든 말이야."""
ssn_014900_1308#0,"""그러니까, 너한테 무슨 일 있으면<br>이번엔 나한테 부탁해!"""
ssn_014900_1309#0,"""……어, 데이터 수집 끝났네.<br>물건은 돌려줄게."""
ssn_014900_1310#0,"""고생했어.<br>앞으로 있을 활약도 기대할게."""
ssn_014900_1401#0,"""곤란한 게 있으면<br>사양 말고 얘기해."""
ssn_014900_1402#0,"""우린 네 \""동료\""니까."""
