name_7429#0,"""크리스토발"""
ssn_015030_0001_001#0,"""잘 했다.<br>마음 속 깊이 감사하고 있어."""
ssn_015030_0001_002#0,"""네겐 정말 매번 신세만 지는구나.<br>이번 일 뿐만이 아니라, 여태까지의 모든 협력에 감사를 표하지."""
ssn_015030_0001_003#0,"""우리가 해 줄 수 있는 게 많지는 않지만<br>앞으로도 이 캠프는 마음대로 써도 돼."""
ssn_015030_0001_004#0,"""우린 임무가 있어서<br>당분간 크바리스에 머무를 거야."""
ssn_015030_0001_005#0,"""크바리스에서 활동할 때는 염려 말고 들러 줘.<br>언제든 환영하지."""
ssn_015030_0001_006#0,"""그럼, 앞으로도 잘 부탁해."""
ssn_015030_0001_007#0,"""용감한 아크스에게 경의를 표하네."""
ssn_015030_0001_008#0,"""앞으로도 이 캠프는 마음대로 써도 돼.<br>나도 네 힘을 빌리도록 하지."""
ssn_015030_0001_009#0,"""용감한 아크스에게 경의를 표하네."""
ssn_015030_0001_010#0,"""안녕, 이야기는 들었다.<br>무사히 이루마를 찾아냈다지?"""
ssn_015030_0001_011#0,"""이루마가 가져온 정보들도<br>제대로 입수했다."""
ssn_015030_0001_012#0,"""우리도 여러 모로 준비가 필요하겠어."""
ssn_015030_0001_013#0,"""이래저래 해도,<br>몸이 자본이니 우선 몸부터 만들어야지."""
ssn_015030_0001_014#0,"""그래서! 선발대 내에서<br>자주적으로 강화 프로그램을 실시하기로 했어."""
ssn_015030_0001_015#0,"""일반적인 임무보다 압도적으로 어려운<br>내용으로 이루어져 있지."""
ssn_015030_0001_016#0,"""어때, 참가해 볼 생각 없나?<br>네게도 좋은 경험이 될 거라고 생각하거든."""
ssn_015030_0001#0,"""안녕, 이야기는 들었다.<br>무사히 이루마를 찾아냈다지?"""
ssn_015030_0002#0,"""이루마가 가져온 정보들도<br>제대로 입수했다."""
ssn_015030_0003#0,"""우리도 여러 모로 준비가 필요하겠어."""
ssn_015030_0004#0,"""이래저래 해도,<br>몸이 자본이니 우선 몸부터 만들어야지."""
ssn_015030_0005#0,"""그래서! 선발대 내에서<br>자주적으로 강화 프로그램을 실시하기로 했어."""
ssn_015030_0006#0,"""일반적인 임무보다 압도적으로 어려운<br>내용으로 이루어져 있지."""
ssn_015030_0007#0,"""어때, 참가해 볼 생각 없나?<br>네게도 좋은 경험이 될 거라고 생각하거든."""
ssn_015030_0101#0,"""힘든 전투가 될지도 모르지만<br>너라면 분명 할 수 있을 거다."""
ssn_015030_0102#0,"""낭보를 기다리겠다."""
ssn_015030_0201#0,"""그런가, 유감이군.<br>생각이 바뀌면 말을 걸어줘."""
ssn_015030_0301#0,"""수고 많았다.<br>강적을 쓰러트린 기분이 어때?"""
ssn_015030_0302#0,"""아니, 네 정도면 이미<br>더 강한 상대와도 싸워 봤을지도 모르겠군."""
ssn_015030_0303#0,"""어찌 됐든<br>기대한 만큼의 성과를 내 줬어."""
ssn_015030_0304#0,"""이대로면 이 강화 프로그램을<br>끝까지 완수해낼 수 있겠군."""
ssn_015030_0305#0,"""응? 뭔가?<br>설마 이걸로 끝이라고 생각했나."""
ssn_015030_0306#0,"""미안하지만 이 정도로 끝낼 수는 없지.<br>우리 강화 프로그램은 어지간한 각오로는 달성할 수 없어."""
ssn_015030_0307#0,"""현재 우리 대원 중 마지막까지 해낸 사람은<br>아직 한 명도 없지."""
ssn_015030_0308#0,"""네가 어디까지 할 수 있을지,<br>지켜보고 싶어."""
ssn_015030_0309#0,"""그럼, 준비가 되는대로 다음 메뉴를 시작하지."""
ssn_015030_1001#0,"""오, 준비가 끝났나?"""
ssn_015030_1101#0,"""크바리스 선발대강화 프로그램은 <br>이제부터가 진짜다."""
ssn_015030_1102#0,"""네가 어디까지 할 수 있을지.<br>지난 승리가 우연이 아닐 거라 기대하지."""
ssn_015030_1201#0,"""초조해할 것 없어.<br>맘 편히 시간을 들인 뒤 시작해도 돼."""
ssn_015030_1301#0,"""수고 많았어."""
ssn_015030_1302#0,"""아무리 너라도 \""드레드 에너미\""와 연속으로 싸우는 건<br>힘들었겠지."""
ssn_015030_1303#0,"""하지만, 앞으로 마주칠 적들은<br>그 이상으로 강할 거야."""
ssn_015030_1304#0,"""에아리오 타운같은 비극이 두 번 다시는 일어나선 안 돼.<br>그걸 위해 강한 아크스를 한 명이라도 더 키워내고 싶어."""
ssn_015030_1305#0,"""……그 뿐 만이 아니야."""
ssn_015030_1306#0,"""에아리오 타운에서……목숨을 잃은 그들의 원한을<br>풀어주고 싶어."""
ssn_015030_1307#0,"""왜 내가 에아리오 타운의 일을<br>이렇게까지 신경 쓰냐고?？"""
ssn_015030_1308#0,"""난 예전에, 에아리오 타운에 주둔했던 적이 있거든.<br>아직 햇병아리 아크스였던 시절이지."""
ssn_015030_1309#0,"""그래서 그 마을이 어떤 곳인지는 잘 알아.<br>가로아한테도 꽤 많이 신세 졌고."""
ssn_015030_1310#0,"""가로아네 사람들을 대신해서 이 돌즈와의 전쟁에서 승리하는 것.<br>그 마음가짐은 너도 마찬가지겠지."""
ssn_015030_1311#0,"""그렇다면 이 프로그램을 계속해줘.<br>너라면 더욱더 강해질 수 있을 거다."""
ssn_015030_2001#0,"""휴식은 끝났나?<br>강화 프로그램을 재개하지."""
ssn_015030_2101#0,"""여기서 포기한다면,<br>가로아만큼 강해질 수 없을 거야."""
ssn_015030_2102#0,"""지금의 너는 가로아의 뒷모습을 쫓아가는 셈이야.<br>그런 마음가짐으로 임해줘."""
ssn_015030_2201#0,"""자기 페이스는 스스로 판단해야 하지.<br>너무 무리하지는 마."""
ssn_015030_2301#0,"""수고 많았어.<br>편히 쉬어."""
ssn_015030_2302#0,"""싸울 때의 네 모습을 보노라면<br>가끔 가로아가 겹쳐 보이곤 해."""
ssn_015030_2303#0,"""그는 강한 아크스였지만<br>단순히 강하기만 한 건 아니었어."""
ssn_015030_2304#0,"""왜 강해져야 하는지,<br>가로아의 능력의 근간은 그 동기에 있었을 거라 생각해."""
ssn_015030_2305#0,"""에아리오 타운의 리더로서,<br>그가 얼마나 많은 사람들의 마음을 등에 지고 싸웠을지……."""
ssn_015030_2306#0,"""한심하게도, 난 그가 죽었다는 보고를 들은 후에야<br>그 사실을 깨달을 수 있었어."""
ssn_015030_2307#0,"""너도 너 자신의 신념을 결코 잊지 말도록 해.<br>그게 널 성장시켜주는 큰 힘이 될 거야."""
ssn_015030_2308#0,"""아크스 선배로서<br>내 마름의 조언이야."""
ssn_015030_2309#0,"""자, 강화훈련도 아걸로 마지막이다.<br>휴식을 마치고 나면 재개하지."""
ssn_015030_3001#0,"""그럼, 드디어 마지막 도전이다."""
ssn_015030_3002#0,"""여기까지 왔다면 남은 건 기력 승부다.<br>마지막까지 이겨내다오."""
ssn_015030_3101#0,"""여기까지 왔다면 남은 건 기력 승부다."""
ssn_015030_3102#0,"""너라면 반드시 해낼 거라 믿고 있다.<br>부디 네 신념을 보여줘."""
ssn_015030_3201#0,"""아직 피로가 남아 있는 건가.<br>숨을 가다듬고 침착하게 도전해 봐."""
