name_7431#0,"""바스코"""
ssn_014720_0001#0,"""굉장하네요.<br>이런 풍경은 태어나서 처음 봐요."""
ssn_014720_0002#0,"""에아리오를 벗어나는 것만으로 세상이 이렇게나 변하다니.<br>역시 오길 잘했어요."""
ssn_014720_0101#0,"""으～음……좀 더 자세히 조사할 수 있다면…….<br>그치만 어렵겠지……."""
ssn_014720_0102#0,"""……으악!?<br>깜짝이야!"""
ssn_014720_0103#0,"""미안해요.<br>생각에 빠져서 계신 줄도 몰랐네요."""
ssn_014720_0104#0,"""제 이름은 바스코에요.<br>크바리스 선발대의 일원으로서 여기 왔죠."""
ssn_014720_0105#0,"""여기 크바리스는 정말 굉장한 곳이죠?<br>여기가 얼마 전까지 녹음이 우거졌던 땅이었다니, 믿기지가 않아요."""
ssn_014720_0106#0,"""저는 그래서, 여기서 무슨 일이 일어난 건지<br>알아보고 싶어요."""
ssn_014720_0107#0,"""혹시 괜찮다면,<br>당신도 도와주실 수 있나요?"""
ssn_014720_0201#0,"""서부 크바리스에서 “펜드라이트”를 캐 와주세요.<br>채굴 가능한 장소의 데이터를 당신의 마그에 보내 놓을게요."""
ssn_014720_0301#0,"""어……？<br>별로 관심 없으신가 보네요. 유감이에요……."""
ssn_014720_0401#0,"""감사합니다."""
ssn_014720_0402#0,"""세상에, 이게 진짜 “펜드라이트”!<br>실물로 보는 건 처음인데."""
ssn_014720_0403#0,"""이왕 얻은 김에<br>풀 스캔도 해 봐야겠어."""
ssn_014720_0404#0,"""아, 괜찮아요.<br>데이터를 얻고 나면 바로 돌려드릴게요."""
ssn_014720_0405#0,"""……이 광석은, 원래 온대기후인 지역에서<br>발견되는 광석이에요."""
ssn_014720_0406#0,"""이렇게 눈보라가 세찬 곳에서는<br>생성될 리가 없는데……."""
ssn_014720_0407#0,"""바꿔 말하면, 이 지역이 아직 따뜻하던 당시에<br>형성됐다는 게 되겠죠."""
ssn_014720_0408#0,"""어때요?\u3000신기하지 않나요?<br>돌을 조사하는 걸로 그곳의 역사를 알 수 있거든요."""
ssn_014720_0409#0,"""……앗, 스캔 종료.<br>큰 도움이 됐어요. 사례는 여기 있어요."""
ssn_014720_0410#0,"""저는 환경조사 전문이에요.<br>그래서 돌이 아니어도, 여러 방면에서 데이터를 모으고 싶어요."""
ssn_014720_0411#0,"""괜찮으시면, 다음에도 도와주셨으면 해요.<br>잘 부탁드려요."""
ssn_014720_1001#0,"""아, 안녕하세요.<br>캠프 밖에 나갈 일이 있나 봐요?"""
ssn_014720_1002#0,"""제 말이 맞다면,<br>한 가지 부탁드리고 싶은 게 있어요."""
ssn_014720_1101#0,"""전투는 못하지만,<br>그만큼 제 연구에 최선을 다할게요."""
ssn_014720_1102#0,"""여기서 기다릴테니,<br>부탁드려요."""
ssn_014720_1201#0,"""……그렇군요.<br>바쁘신 와중에 죄송해요."""
ssn_014720_1301#0,"""수고 많으셨어요.<br>햐ー, 이게 “캐롯츠”."""
ssn_014720_1302#0,"""이런 것들을 차근차근 조사해 나가다 보면,<br>크바리스의 지질을 더 자세하게 알 수 있을 거에요."""
ssn_014720_1303#0,"""신기한 모양새네요.<br>게다가 이런 한랭지에서 어떻게 생겨나는 건지."""
ssn_014720_1304#0,"""……그렇지, 예전부터 생각했던 건데,<br>크바리스의 환경은 부자연스러운 부분들이 많지 않아요?"""
ssn_014720_1305#0,"""아니, 크바리스 뿐만이 아니에요.<br>이 할파 전체에 위화감이 있는 것 같아요."""
ssn_014720_1306#0,"""리전을 넘는 것만으로<br>환경이 이렇게까지 바뀌는 건 왜일까요?"""
ssn_014720_1307#0,"""동식물의 생태계도<br>리전에 따라 크게 변화하고 있죠."""
ssn_014720_1308#0,"""이런 극단적인 변화가<br>정말 자연적으로 생기고 있는 걸까요?"""
ssn_014720_1309#0,"""이 부분에 대해 여러 방면으로 조사해 봤지만,<br>좀처럼 해명이 되질 않네요."""
ssn_014720_1310#0,"""그래도 이렇게 연구를 진행하다 보면<br>언젠가 해답을 얻을 수 있을 거라고 믿고 있어요."""
ssn_014720_1311#0,"""오늘도 큰 도움이 됐어요.<br>다음에 또 도와주셨으면 해요."""
ssn_014720_2001#0,"""아, 딱 좋을 때 오셨네요.<br>지금 시간 내어 주실 수 있나요?"""
ssn_014720_2002#0,"""사실은 또 부탁드리고 싶은 게 있거든요."""
ssn_014720_2003#0,"""좀 이상한 의뢰처럼 들릴지도 모르지만,<br>협력해 주셨으면 해요."""
ssn_014720_2101#0,"""지정 포인트까지 가 주세요."""
ssn_014720_2102#0,"""부유물체를 관찰해 보고 싶거든요."""
ssn_014720_2201#0,"""으음, 그렇군요.<br>유감이지만 알겠어요."""
