name_7433#0,"""드레이크"""
ssn_014750_0001#0,"""듣자 하니, 엄청난 임무를<br>맡았다고 하던데?"""
ssn_014750_0002#0,"""캠프는 우리한테 맡기고,<br>넌 네 일에 최선을 다 해줘!"""
ssn_014750_0101#0,"""방금 봤어?<br>방금 하늘에서 뭐가 떨어졌는데."""
ssn_014750_0102#0,"""혹시<br>“별을 건너는 자”가 아닐까 싶은데……."""
ssn_014750_0103#0,"""그게 계속 궁금해서<br>여태 일이 손에 안 잡혔어."""
ssn_014750_0104#0,"""있잖아, 겸사겸사여도 되니까<br>떨어진 곳 좀 봐 주지 않을래?"""
ssn_014750_0201#0,"""그거 분명 “별을 건너는 자”일 거 같거든.<br>……분명……아마도……."""
ssn_014750_0202#0,"""떨어진 곳 근처를<br>마그에 보내줄테니까, 부탁할게!"""
ssn_014750_0301#0,"""그렇구나…….<br>임무가 있으니까 어쩔 수 없지 뭐."""
ssn_014750_0401#0,"""이렇게 내가 감시하고 있으니까,<br>언제 “별을 건너는 자”가 떨어져도 확인할 수 있어."""
ssn_014750_0402#0,"""……그래도, 눈만 쳐다보고 있으면<br>어질어질해서 큰일이야……."""
