name_7199#0,"""구이덴"""
ssn_014810_0001#0,"""너군.<br>최근의 활약은 익히 들었다."""
ssn_014810_0002#0,"""흠……, 보아하니<br>더욱 실력이 올라간 것 같군."""
ssn_014810_0002_001#0,"""너도 크바리스에 있었군."""
ssn_014810_0003#0,"""네겐 필요 없을지도 모르겠지만,<br>또 기회가 있으면 조언을 해주고 싶군."""
ssn_014810_0004#0,"""다른 아크스들도 네 활약을 기대하더군.<br>다음에도 잘 부탁하지."""
ssn_014810_0101#0,"""잘 왔다.<br>그럼 바로 조언을 주도록 하지."""
ssn_014810_0102#0,"""“특수 능력 캡슐”에 관한 이야기다."""
ssn_014810_0103#0,"""너 정도의 실력자라면<br>들을 것도 없는 얘기겠지만……."""
ssn_014810_0104#0,"""관심이 있으면 알려주지.<br>어떤가?"""
ssn_014810_0201#0,"""무기를 강화하기만 하고, 세부조정은 하지 않았다면, <br>이 기회에 한 번 시험해 보도록."""
ssn_014810_0202#0,"""어느 캡슐로 교환할지는 네 자유다.<br>한 번 해 봐."""
ssn_014810_0203#0,"""이번엔 마찬가지로 아이템 랩에서<br>캡슐을 장비에 사용해 봐."""
ssn_014810_0204#0,"""어느 캡슐을 어느 장비에 쓸지는 네게 맡기지.<br>한 번 시험해 봐라."""
ssn_014810_0301#0,"""그렇군, 강요하진 않을 거야.<br>“특수 능력 캡슐”에 관해 알고 싶다면, 또 오도록."""
