name_7740#0,"""트랙스탠"""
ssn_015060_0001#0,"""이 두텁게 쌓인 눈 아래에는, <br>과거의 생활의 흔적이 잠들어있다."""
ssn_015060_0002#0,"""낭만이 느껴진다고 생각하지 않나？"""
ssn_015060_0003#0,"""이 이야기는, <br>이곳을 방문한 전원에게 하고있지만……."""
ssn_015060_0004#0,"""이곳으로부터 동쪽에 있는, 레이요르드 협만…….<br>그곳은, 매우 위험한 장소이다."""
ssn_015060_0005#0,"""다른 지역보다도 특히 기온이 낮고, <br>방한 대책 없이 가게되면, 즉시 체력을 빼앗겨버리고 만다."""
ssn_015060_0006#0,"""에너미도 강력해서, <br>어설픈장비로는 당해 낼 수 없겠지."""
ssn_015060_0007#0,"""너도, 좀 더 실력이 는다면, <br>그곳에 가기위한 조언을 하지."""
ssn_015060_0101#0,"""이 크바리스에는, <br>아직도 무수한 강적을이 있다."""
ssn_015060_0102#0,"""강한 아크스라면, <br>그러한 에너미에게 도전 해 보고싶어 지겠지."""
ssn_015060_0103#0,"""자세한 이야기를 하고 싶지만, <br>우선은 너의 실력을 보고싶다."""
ssn_015060_0104#0,"""이 캠프에, <br>물자관리를 담당하고 있는 레소라는 사람이 있다."""
ssn_015060_0104_001#0,"""나의 옆에 있는 레소가, <br>이 부대의 물자관리를 맡고있다."""
ssn_015060_0105#0,"""그녀와, 물품 교환의 계약을 맺고 와 주게.<br>그것이 강함의 증명이 되겠지."""
ssn_015060_0201#0,"""나의 이름은, 트랙스탠.<br>이 선발대에서, 에너미의 데이터해석을 담당하고 있다."""
ssn_015060_0202#0,"""너는, 이 크바리스에서, <br>수많은 에너미와 싸워 온 모양이구나."""
ssn_015060_0203#0,"""하지만, 이 크바리스에는, <br>또 다른 강적이 있는 모양이다."""
ssn_015060_0204#0,"""만약,흥미가 있다면 자세한 이야기를 하지.<br>어떤가？"""
ssn_015060_0301#0,"""레이요르드 협만의 강적에게 대항하기 위해, <br>우선은\""노타 크발 갓키\""를 찾아주게."""
ssn_015060_0302#0,"""북부 크바리스에서 발견 할 수 있지만, <br>아침에서 낮까지 밖에 수집 할  수 없다."""
ssn_015060_0303#0,"""만약, 찾을 수 없다면, <br>다른 날을 골라 찾아보면 좋겠지."""
ssn_015060_0401#0,"""그런가.<br>아쉽지만, 어쩔 수 없지."""
ssn_015060_0402#0,"""생각이 바뀌면, <br>말을 걸어주게."""
ssn_015060_0501#0,"""다음은, \""노타 크발 스쿠이드\""다."""
ssn_015060_0502#0,"""중앙 크바리스에 서식하고 있지만, <br>밤에만 발견 가능하다.주의 해 주게."""
ssn_015060_1001#0,"""\""노타 크발 갓키\""와, <br>\""노타 크발 스쿠이드\"".둘 다 가져온 것 같구나."""
ssn_015060_1002#0,"""그럼, 다음 단계로 가도록 하지.<br>들어주게."""
ssn_015060_1101#0,"""레소는 희소한 물품을, <br>여러가지 취급하고 있다."""
ssn_015060_1102#0,"""수집한 식재료를, <br>방한용 물품과 교환해보게."""
ssn_015060_1201#0,"""그런가.<br>아쉽지만, 어쩔 수 없지."""
ssn_015060_1202#0,"""생각이 바뀌면, <br>말을 걸어주게."""
ssn_015060_1301#0,"""손에 넣은 모양이군."""
ssn_015060_1302#0,"""그것은, 소모품의 축열제로, <br>\""퀵 푸드\""같은것 보다도 몸이 따듯해 진다."""
ssn_015060_1303#0,"""레이요르드 협만에서, 장시간 활동할 때는, <br>안전을 위해서라도 반드시 사용해줬으면 한다."""
ssn_015060_2001#0,"""그럼, 준비는 끝났구나.<br>레이요르드 협만의 강적의 이야기를 하지."""
ssn_015060_2002#0,"""준비가 되면, 알려주게."""
ssn_015060_2101#0,"""\""에인션트 에너미\"".<br>강적을 찾는 자에게는, 알맞은 표적이 되겠지."""
ssn_015060_2102#0,"""방한 대책과 장비를 갖추어, <br>가 봐 줬으면 한다."""
ssn_015060_2201#0,"""그런가.<br>의욕이 생기면, 언제라도 말해주게."""
ssn_015060_2301#0,"""그 이후로, <br>\""에인션트 에너미\""에게 도전 해 보았나？"""
ssn_015060_2302#0,"""강력한 에너미의 존재가, <br>아크스를 보다 강하게 한다."""
ssn_015060_2303#0,"""얄궂은 이야기지만, 그것이 진리이지."""
