name_7740#0,"""트럭스턴"""
ssn_015061_0101#0,"""좋아.<br>그럼, 이야기하지."""
ssn_015061_0102#0,"""……아, 그 전에, 레이요르드 협만에 대해<br>이야기하는 게 먼저겠지."""
ssn_015061_0103#0,"""그 강력한 에너미가<br>있는 곳이 거기라고 하더군."""
ssn_015061_0104#0,"""하지만 그곳에서 강적과 싸우려면<br>추위에 철저하게 대비해야 해."""
ssn_015061_0105#0,"""그걸 위한 물자를<br>물자관리관인 레소가 취급하고 있다."""
ssn_015061_0106#0,"""단, 희소한 물건들이라<br>무료로 줄 수는 없어."""
ssn_015061_0107#0,"""얻기 위해서는 대가가 필요해."""
ssn_015061_0108#0,"""준비해 주었으면 하는 건 \""노타 크발 갓키\""와,<br>\""노타 크발 스쿠이드\""다."""
ssn_015061_0109#0,"""우선은 \""노타 크발 갓키\""인데, <br>이 식재료를 모으는데는 주의가 필요하다."""
ssn_015061_0110#0,"""북부 크바리스에서 발견되지만, <br>아침에서 낮까지만 채집할 수 있다."""
ssn_015061_0111#0,"""그 외의 시간대에는<br>품질이 떨어져 버리는 모양이야."""
ssn_015061_0112#0,"""시간을 잘 확인하고<br>채집해 주게."""
