name_7429#0,"""크리스토발"""
ssn_014700_0001#0,"""이런 가혹한 환경에서 지내는 건<br>여간 힘든 일이 아니야."""
ssn_014700_0002#0,"""모두가 힘을 모아서<br>이겨내야지."""
ssn_014700_0101#0,"""크바리스 선발대 캠프에 잘 왔어.<br>내가 부대의 리더, 크리스토발이다."""
ssn_014700_0102#0,"""너희가 온다는 건 연락으로 들었다.<br>환대도 제대로 못하는 형편이지만, 시설은 자유롭게 쓰도록 해."""
ssn_014700_0103#0,"""그 대신이라고 하기엔 애매하지만,<br>나도 너희들에게 협력을 구하고 싶다."""
ssn_014700_0104#0,"""우리 임무를 도와주지 않겠나?"""
ssn_014700_0201#0,"""흉폭한 에너미들을 놔두면<br>그만큼 위험이 늘어나니까."""
ssn_014700_0202#0,"""에너미를 발견하는 대로, 신속하게 토벌해 줘.<br>부탁하지."""
ssn_014700_0301#0,"""그렇군……그렇다면, 하다 못해 편히 쉬다 가도록 해.<br>쫓아낼 생각은 없으니 안심해."""
ssn_014700_0401#0,"""멋진 활약이었다.<br>상당한 실력을 가진 아크스들이었군."""
ssn_014700_0402#0,"""우린 이 리전을 조사하기 위해 파견된<br>에아리오와 리템의 공동부대다."""
ssn_014700_0403#0,"""결성된 지 얼마 되지도 않은 급조 팀이어서<br>뭘 하든 일손 부족에 시달리는 중이지."""
ssn_014700_0404#0,"""너희같은 우수한 아크스가 있어 주는 것만으로<br>우리에겐 든든한 버팀목이다."""
ssn_014700_0405#0,"""혹, 우리 대원들이 도와 달라고 한다면<br>너도 힘을 빌려줄 수 있겠나?"""
ssn_014700_0406#0,"""우리도 이 리전에 대해선 모르는 것 투성이야.<br>이런 때일수록 상부상조해야지."""
ssn_014700_0407#0,"""좀 전에도 말했지만, 캠프는 언제든 열려 있다.<br>자유롭게 써도 돼."""
ssn_014700_0408#0,"""앞으로도 잘 부탁하지."""
ssn_014700_1001#0,"""그래, 몸은 좀 어떤가.<br>크바리스의 환경에는 익숙해졌나?"""
ssn_014700_1002#0,"""우리도 조사활동을 진행중이다.<br>괜찮다면 너도 참가하지 않겠나?"""
ssn_014700_1003#0,"""여태까지와는 다른 감각으로 크바리스를 탐색하는 것도,<br>썩 좋은 기분전환이 될지도 몰라."""
ssn_014700_1004#0,"""우리가 하는 일이 뭔지도 알 수 있는<br>좋은 기회이기도 하고."""
ssn_014700_1101#0,"""말이 채집이지, 이것도 은근 요령이 필요해.<br>네 실력을 보고 싶군."""
ssn_014700_1102#0,"""필요한 채집품과 그 서식지를 마그에 보냈다.<br>그럼 부탁하지."""
ssn_014700_1201#0,"""일이 많은 모양이군.<br>그럼 다음에 기회가 생기면 부탁하지."""
