name_7428#0,"""유리"""
ssn_014920_0001_001#0,"""레이요르드 협만은 아주 위험한 곳이야."""
ssn_014920_0001_002#0,"""추위에 제대로 대비한 뒤에 가야 해!"""
ssn_014920_0001#0,"""안녕, 레이요르드 협만에는 가 봤어?"""
ssn_014920_0002#0,"""사실 있잖아, 강화 말고도<br>추위에 대비하는 방법이 있다?"""
ssn_014920_0003#0,"""꼭 들어 봐."""
ssn_014920_0101#0,"""크바리스에서 구할 수 있는 식재를 쓴<br>\""퀵 푸드\""에는 몸을 덥혀주는 효능이 있어."""
ssn_014920_0102#0,"""레이요르드 협만에 가기 전에<br>꼭 먹어 둬."""
ssn_014920_0201#0,"""그렇구나…….<br>지금은 좀 바쁜 가 보네?"""
ssn_014920_0202#0,"""그래도 레이요르드 협만에서 활동하려면,<br>알아 둬도 손해 볼 건 없다고 생각해."""
ssn_014920_0301#0,"""레이요르드 협만은 아주 위험한 곳이지만,<br>그만큼 탐색하는 보람도 있는 곳이니까."""
ssn_014920_0302#0,"""방한대책을 잘 갖추고<br>만전의 상태에서 가도록 해."""
