name_7428#0,"""유리"""
ssn_014770_0001#0,"""으아아, 여기 진짜 추워 죽겠네ー!"""
ssn_014770_0002#0,"""그래도, 크바리스엔 여기보다 더 춥고 위험한 곳이 있대.<br>너도 조심해."""
ssn_014770_0101#0,"""안녕, 난 선발대 유리라고 해.<br>잘 부탁해ー!"""
ssn_014770_0102#0,"""너, 여기서 좀 동쪽에 있는<br>레이요르드 협만에 가 본 적 있어?"""
ssn_014770_0103#0,"""거긴 크바리스 안에서도<br>특히나 위험한 곳이야."""
ssn_014770_0104#0,"""만약 갈 생각이면<br>주의점을 설명해 줄게. 어때?"""
ssn_014770_0201#0,"""크바리스의 “리전 마그”에 아이템을 주면, <br>추위를 견디는 이익을 얻을 수 있어."""
ssn_014770_0202#0,"""서부 크바리스에 가서 한 번 시험해 봐."""
ssn_014770_0301#0,"""그렇구나……."""
ssn_014770_0302#0,"""그래도, 맨몸으로 레이요르드 협만에 들어가면<br>절대 안 된다!"""
