name_7434#0,"""슈프란"""
ssn_015041_0101#0,"""맡아 주는 건가.<br>고맙군."""
ssn_015041_0102#0,"""난 라이서스와 꽤 오래 알고 지냈거든.<br>그 친구가 계속 마음에 걸렸어."""
ssn_015041_0103#0,"""…라이서스는 몇 년 전에 행방불명됐어."""
ssn_015041_0104#0,"""당시에도, 이루마 때처럼<br>수색대가 파견됐는데."""
ssn_015041_0105#0,"""나도 참가했었지만,<br>며칠이 지나도록 그를 찾지 못했어."""
ssn_015041_0106#0,"""찾기는커녕,<br>수색대에서 부상자까지 나오고 말았지…"""
ssn_015041_0107#0,"""이 이상은 위험하다고 탐색은 중단됐어."""
ssn_015041_0108#0,"""아무 단서도 얻지 못하고 말이야."""
ssn_015041_0109#0,"""하지만, 라이서스가 그 자리에 메시지를 남겨놨다면,<br>그것 말고도 뭔가 있을지도 몰라."""
ssn_015041_0110#0,"""미안하지만 다른 일 들른 김에라도 좋으니,<br>한 번 찾아봐 줄 수 있겠나?"""
ssn_015041_0111#0,"""신경 쓰이는 게 있다면<br>내게 알려 줘."""
ssn_015041_0112#0,"""잘 부탁하네."""
