Q0#0,"""¡Hola!"""
HELLO#0,"""¡Hola!"""
HELLO_FAV4#0,"""¡Te he estado esperando!"""
HELLO_FAV3#0,"""¡Vinistes!"""
HELLO_FAV2#0,"""¡Hola!"""
HELLO_FAV1#0,"""Gracias por ayudarme."""
HELLO_FAV0#0,"""Ah....."""
GOODBYE#0,"""¡Oh, eso es!, ¡La tienda<br>de intercambio de la 3ra temporada<br>esta ahora abierta, debes mirarla ¡Por que hay dulces!"""
GOODBYE_FAV4#0,"""¡Oh, eso es!, ¡La tienda<br>de intercambio de la 3ra temporada<br>esta ahora abierta, debes mirarla ¡Por que hay dulces!"""
GOODBYE_FAV3#0,"""¡Oh, eso es!, ¡La tienda<br>de intercambio de la 3ra temporada<br>esta ahora abierta, debes mirarla ¡Por que hay dulces!"""
GOODBYE_FAV2#0,"""¡Oh, eso es!, ¡La tienda<br>de intercambio de la 3ra temporada<br>esta ahora abierta, debes mirarla ¡Por que hay dulces!"""
GOODBYE_FAV1#0,"""¡Oh, eso es!, ¡La tienda<br>de intercambio de la 3ra temporada<br>esta ahora abierta, debes mirarla ¡Por que hay dulces!"""
GOODBYE_FAV0#0,"""¡Oh, eso es!, ¡La tienda<br>de intercambio de la 3ra temporada<br>esta ahora abierta, debes mirarla ¡Por que hay dulces!"""
00_01#0,"""Opción 1"""
00_02#0,"""Opción 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
