text01001#0,"""¡Hola a todos! ¡Es tiempo de aniversario!"""
text01002#0,"""Para disfrutar completamente del verano<br>¡Has los eventos más divertidos!<br>¡Quiero que todos recuerden esta temporada!"""
11_voice_NPC_5097_100#0,"""¡Finalmente ha llegado el verano!<br>¡El sol y el cielo realmente son deslumbrantes!<br>¡Es momento para un evento!"""
text01003#0,"""Asi que... ¡Estaría encantada de<br>que colaboraras con muchísimas cosas!"""
text02001#0,"""¿Estás haciendo alguna mision?<br>¡Esperaré lo que sea necesario!"""
11_voice_NPC_5097_100#1,"""¿Cómo está el ambiente?<br>¡Estuve esperando siempre por esto!"""
text02002#0,"""¡Oh!, ¡No te presiones! Es un<br>gran verano, y mientras estés de vacaciones, ¡Tienes que divertirte!"""
text03001#0,"""ARKS está pasando por momentos difíciles en este momento, ¡pero deberíamos poder organizar una celebración que haga sonreír a la gente!"""
11_voice_NPC_5097_101#0,"""Wow, \u3000¡Gracias!<br>Gracias a ti, eres digno de conmemoración<br>¡Lo que muestra que los eventos pueden ser planeados!"""
11_voice_NPC_5097_105#0,"""Uh... Hace calor, ¡Mucho calor!<br>El verano... Tiene muchas cosas divertidas<br>Ugh... ¡Me derretiré!"""
text03002#0,"""Aun asi, ¡Gracias por<br>escucharme!<br>¡No olvides hidratarte y descansar mucho!"""
11_voice_NPC_5097_100#2,"""¡Celebramos este evento todos los años como una forma de reunir a todos para celebrar! ¡Espero que lo recuerden con cariño!"""
text04002#0,"""Gracias a tu cooperación puedo ver la sonrisa deslumbrante de todos, enserio, ¡Muchas gracias!"""
11_voice_NPC_5097_104#0,"""Bueno... Esto es lo que quiero hacer<br>¡Tengo muchos planes para este evento!"""
11_voice_NPC_5097_101#1,"""¡Realmente tengo que agradecerles por escuchar siempre mis solicitudes!"""
text05002#0,"""¡No puedo esperar a ver como todos<br>sonríen cuando disfrutan del verano!"""
11_voice_NPC_5097_100#3,"""¡Está tan cerca que la anticipación me está matando!"""
text05003#0,"""¡Encerio, enserio, gran trabajo!<br>Es el mejor evento para recordar el verano...<br>¡Ya quiero divertirme con todos!"""
11_voice_NPC_5097_112#0,"""¡Hola! ¡La temporada de aniversario está a la vuelta de la esquina!"""
11_voice_NPC_5097_100#4,"""Siempre pongo todo lo que tengo en mis fiestas, ¡y quiero que este sea un evento que elimine la fatiga de todos!"""
text03#0,"""Solo necesito un poco de ayuda con los preparativos...<br>¿Puedes darme una mano?"""
11_voice_NPC_5097_100#5,"""¡Gracias por estar siempre ahí para ayudarme! ¡Espero poder contar contigo también esta vez!"""
text01#0,"""¡Ustedes ARKS siempre están trabajando muy duro!"""
text02#0,"""¡Por eso quiero darles la oportunidad de relajarse y divertirse en este evento!"""
11_voice_NPC_5097_100#6,"""¡Tengo que trabajar duro para asegurarme de que todos puedan divertirse!"""
text01#1,"""¡Necesitamos todo tipo de cosas si queremos celebrar como es debido! ¡Estoy tratando de averiguar qué más necesito preparar ahora mismo!"""
11_voice_NPC_5097_100#7,"""¡Este evento no será un éxito a menos que realmente pueda transmitir lo agradecida que estoy por el arduo trabajo constante de todos!"""
11_voice_NPC_5097_100#8,"""¡Gracias por todo! ¡Has sido de gran ayuda!"""
text02#1,"""¡Sí, mis preparativos están bien! ¡Este evento hará felices a todos!"""
11_voice_NPC_5097_101#2,"""¡Y eso te incluye a ti, por supuesto! Cuando llegue la celebración, ¡quiero que te divirtas!"""
11_voice_NPC_5097_100#9,"""Yuhuu, ¡el evento finalmente está en pleno apogeo! ¡Ahora sal y disfrútalo!"""
