Title#0,"""Ranger: การฝึกพื้นฐาน"""
Summary#0,"""Sharkey ผู้ฝึกสอน ARKS จะมาสอนวิธีการต่อสู้ด้วยคลาส Ranger<br><br><yellow>※Class Skill ที่แนะนำ:<br>\u3000Weak Bullet<c>"""
Objective311#0,"""ตั้งค่า Main Class ของคุณเป็น Ranger"""
text0101#0,"""ตั้งค่า Main Class ของคุณเป็น Ranger"""
Objective321#0,"""เดินทางไปยัง Mt. Magnus"""
text0102#0,"""เดินทางไปยัง Southern Aelio ด้วยคลาส Ranger"""
text0103#0,"""ใช้งาน Weak Bullet"""
Objective322#0,"""ใช้งาน Weak Bullet"""
Objective323#0,"""กำจัดศัตรูที่ Mt. Magnus ด้วยคลาส Ranger"""
text0104#0,"""กำจัดศัตรูที่ Southern Aelio ด้วยคลาส Ranger"""
Objective331#0,"""รายงานตัวกับ Sharkey"""
