st_064028_0010#0,"""숫자 바보, 그쪽으로 갔다！"""
st_064028_0020#0,"""누가 숫자 바보라는 거야！<br>라플라스！ 맥스웰！"""
st_064028_0030#0,"""미국에서 돌아오자마자<br>이런 환영을 받다니, 나 정말<br>200% 열심히 일한다니까！"""
st_064028_0040#0,"""풀과 아라트론 쪽도<br>정리됐다고 하더라.<br>……학교로 가 보는 게 어때？"""
st_064028_0050#0,"""학교는 걱정할 필요 없어.<br><%me>에게 부탁해 뒀으니까.<br>지금 가 봐야 늦을 테고."""
st_064028_0060#0,"""게다가…… 적들도 아직<br>질리지 않은 모양이야."""
st_064028_0070#0,"""하아, 정말！<br>우리는 100% 인기 만점이네！"""
st_064028_0080#0,"""쾅, 하고！"""
st_064028_0085#0,"""와와와왓！？"""
st_064028_0090#0,"""고, 고마워, 히츠기."""
st_064028_0100#0,"""천만에.<br>하지만 아직 쉴 수는 없겠네."""
st_064028_0110#0,"""어……？"""
st_064028_0120#0,"""아, 아하하……"""
st_064028_0130#0,"""그래도 우리가 지켜야 해.<br>그러지 않으면<br>신을 볼 낯이 없으니까."""
st_064028_0140#0,"""……응, 알고 있어."""
st_064028_0150#0,"""당신……！"""
st_064028_0160#0,"""<%me> 씨！<br>와 주셨네요！"""
st_064028_0170#0,"""괜찮아？"""
st_064028_0180#0,"""제때 왔어"""
st_064028_0190#0,"""……응.<br>와 줘서 고마워, <%me>."""
st_064028_0200#0,"""히츠기 씨, 코오리 씨. 오랜만이지만<br>반가워할 틈은 없는 것 같아요！"""
st_064028_0210#0,"""바로 위에서 적 세력 접근 반응！<br>……수가 상당합니다！"""
st_064028_0220#0,"""히츠기！"""
st_064028_0230#0,"""응.<br>……힘을 빌려줘, <%me>."""
