quiz_00#0,"""なし"""
name010#0,"""나즌"""
text010#0,"""では、次のクイズに参ります！"""
text020#0,"""題して、“五つ子推理”クイズ！"""
text030#0,"""話をよーく聞いて、判断してくださいね。<br>レッツ、シンキング！"""
text040#0,"""タイムアーップ！"""
text050#0,"""“五つ子推理”クイズは、これで終了です。<br>次のクイズ会場に移動しましょう！"""
quiz_correct#0,"""おめでとうございます！"""
quiz_incorrect#0,"""残念……。"""
quiz01#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>最初に到着した人<c>を、お答えください。"""
quiz01_journal#0,"""ロッジに<yellow>最初に到着<c>した人を答えろ！"""
quiz02#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>２番目に到着した人<c>を、お答えください。"""
quiz02_journal#0,"""ロッジに<yellow>２番目に到着<c>した人を答えろ！"""
quiz03#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>３番目に到着した人<c>を、お答えください。"""
quiz03_journal#0,"""ロッジに<yellow>３番目に到着<c>した人を答えろ！"""
quiz04#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>４番目に到着した人<c>を、お答えください。"""
quiz04_journal#0,"""ロッジに<yellow>４番目に到着<c>した人を答えろ！"""
quiz05#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>最後に到着した人<c>を、お答えください。"""
quiz05_journal#0,"""ロッジに<yellow>最後に到着<c>した人を答えろ！"""
quiz_select1#0,"""タイヴァス"""
quiz_select2#0,"""トゥーリ"""
quiz_select3#0,"""イルマ"""
quiz_select4#0,"""クッカ"""
quiz_select5#0,"""メリ"""
quiz_answer1#0,"""正解は……、<br><red>タイヴァス<c>でした！"""
quiz_answer2#0,"""正解は……、<br><red>トゥーリ<c>でした！"""
quiz_answer3#0,"""正解は……、<br><red>イルマ<c>でした！"""
quiz_answer4#0,"""正解は……、<br><red>クッカ<c>でした！"""
quiz_answer5#0,"""正解は……、<br><red>メリ<c>でした！"""
