name010#0,"""나즌"""
text010#0,"""最初のクイズは、<br>“YES or NO”クイズでーす！"""
text015#0,"""正しいと思ったら<c 008b00>Ｙの足場<c>に、<br>違うと思ったら<red>Ｎの足場<c>に、移動してください。"""
text020#0,"""それでは、問題です。<br>……じゃん！"""
text030#0,"""正解だと思う足場に向かってください！<br>レッツ、シンキング！"""
text040#0,"""タイムアーップ！"""
text050#0,"""正解は……、<br><red>NO<c>でした！"""
text051#0,"""正解は……、<br><red>YES<c>でした！"""
text052#0,"""おめでとうございます！"""
text053#0,"""残念……。"""
text060#0,"""続いての問題です。<br>……じゃん！"""
text070#0,"""それでは、最後の問題です。<br>……じゃん！"""
text080#0,"""“YES or NO”クイズは、これで終了です。<br>次のクイズ会場に移動しましょう！"""
Textobj_Yes#0,"""YES"""
Textobj_No#0,"""NO"""
quiz01#0,"""問題<br><yellow>セントラルシティには、<br>“４箇所”の出入口がある。<c>"""
quiz00_1#0,"""なし"""
quiz01_1#0,"""セントラルシティには、"""
quiz01_2#0,"""“４箇所”の出入口がある。"""
quiz02#0,"""問題<br><yellow>リテムシティに配置されている<br>大型モニターの台数は“３台”である。<c>"""
quiz02_1#0,"""リテムシティに配置されている"""
quiz02_2#0,"""大型モニターの台数は“３台”である。"""
quiz03#0,"""問題<br><yellow>“マグナス山”の難度には、<br>“【Rank.5】”がある。<c>"""
quiz03_1#0,"""“マグナス山”の難度には、"""
quiz03_2#0,"""“【Rank.5】”がある。"""
quiz04#0,"""問題<br><yellow>“グイーデン”の役職は、<br>“アークス指導官”である。<c>"""
quiz04_1#0,"""“グイーデン”の役職は、"""
quiz04_2#0,"""“アークス指導官”である。"""
quiz05#0,"""問題<br><yellow>“ステージライブ効果”の効果時間は、<br>“24時間”である。<c>"""
quiz05_1#0,"""“ステージライブ効果”の効果時間は、"""
quiz05_2#0,"""“24時間”である。"""
quiz06#0,"""問題<br><yellow>“スカウトワスプ”の増援で出現する<br>エネミーは、“ビーハイヴ”である。<c>"""
quiz06_1#0,"""“スカウトワスプ”の増援で出現する"""
quiz06_2#0,"""エネミーは、“ビーハイヴ”である。"""
quiz07#0,"""問題<br><yellow>“フレイレイ”は、“リテム・エルノザ”に<br>出現するエネミーである。<c>"""
quiz07_1#0,"""“フレイレイ”は、“リテム・エルノザ”に"""
quiz07_2#0,"""出現するエネミーである。"""
quiz08#0,"""問題<br><yellow>“ステージライブ効果”には、<br>“獲得経験値+10％”がある。<c>"""
quiz08_1#0,"""“ステージライブ効果”には、"""
quiz08_2#0,"""“獲得経験値+10％”がある。"""
quiz09#0,"""問題<br><yellow>“プリセット能力の強化”に<br>必要なメセタは、“500N-メセタ”である。<c>"""
quiz09_1#0,"""“プリセット能力の強化”に"""
quiz09_2#0,"""必要なメセタは、“500N-メセタ”である。"""
quiz10#0,"""問題<br><yellow>“プレミアムセット”の有効期間中は、<br>“ドロップアイテムの自動売却”が行える。<c>"""
quiz10_1#0,"""“プレミアムセット”の有効期間中は、"""
quiz10_2#0,"""“ドロップアイテムの自動売却”が行える。"""
quiz11#0,"""問題<br><yellow>“ネオス・ユースティロン”の属性は、<br>“闇属性”である。<c>"""
quiz11_1#0,"""“ネオス・ユースティロン”の属性は、"""
quiz11_2#0,"""“闇属性”である。"""
quiz12#0,"""問題<br><yellow>“南クヴァリス”には、<br>“老練のスノルク”が出現する。<c>"""
quiz12_1#0,"""“南クヴァリス”には、"""
quiz12_2#0,"""“老練のスノルク”が出現する。"""
quiz13#0,"""問題<br><yellow>アドオンスキルの“スキル生成5”には、<br>N-マスターキューブが“４個”必要である。<c>"""
quiz13_1#0,"""アドオンスキルの“スキル生成5”には、"""
quiz13_2#0,"""N-マスターキューブが“４個”必要である。"""
quiz14#0,"""問題<br><yellow>クヴァリスリージョンの“天候”には、<br>“オーロラ”がある。<c>"""
quiz14_1#0,"""クヴァリスリージョンの“天候”には、"""
quiz14_2#0,"""“オーロラ”がある。"""
quiz15#0,"""問題<br><yellow>“トラスポ”の役職は、<br>“アークス建築研究員”である。<c>"""
quiz15_1#0,"""“トラスポ”の役職は、"""
quiz15_2#0,"""“アークス建築研究員”である。"""
quiz16#0,"""問題<br><yellow>“류린”の役職は、<br>“オペレーター”である。<c>"""
quiz16_1#0,"""“류린”の役職は、"""
quiz16_2#0,"""“オペレーター”である。"""
quiz17#0,"""問題<br><yellow>“ストロボル島”は、<br>“南エアリオ”の地名である。<c>"""
quiz17_1#0,"""“ストロボル島”は、"""
quiz17_2#0,"""“南エアリオ”の地名である。"""
quiz18#0,"""問題<br><yellow>“西エアリオ”には、<br>“クライアノ断崖”という場所がある。<c>"""
