11_voice_NPC_5061_100#0,"""Happy Halloween! The Autumn Festival has come again!"""
text01002#0,"""I've been busy preparing for the party we're going to throw! Everyone helping me is really motivated!"""
text01003#0,"""I'd like you to help out too! Let's work together to make this party a success!"""
text01#0,"""Is it just me planning the Halloween event? I was the one who came up with the idea, but I've had a lot of people helping me!"""
text02#0,"""Everyone's been so busy lately that we haven't had a chance to get together and have some fun, so I think they're really excited about this."""
11_voice_NPC_5061_100#1,"""This is going to be a big moment, so I want to make this an event that people of all ages can enjoy!"""
11_voice_NPC_5061_104#0,"""Why do I put so much effort into my events? Hmm, that's a very good question..."""
11_voice_NPC_5061_100#2,"""When everyone else is happy, I'm happy! When I see everyone smiling as they enjoy themselves, it wipes all the tiredness from my preparations away!"""
text03003#0,"""That said, I'm counting on you, too. You're always so helpful whenever I ask you to lend a hand!"""
11_voice_NPC_5061_101#0,"""Trick or treat! Give me candy or I'll play a prank on you!<br>...Maybe not."""
text04002#0,"""Halloween is fun, isn't it? Talking to strangers like this is a great way to start getting to know each other!"""
11_voice_NPC_5061_100#3,"""I'm all set, thanks to you! Thank you very much!"""
text05002#0,"""I'm going to do everything I can to make this party a success so your efforts don't gone to waste!"""
11_voice_NPC_5061_101#1,"""This is going to be an amazing party. I want to see you there having fun too!"""
11_voice_NPC_5061_100#4,"""Trick or treat! Hehe, I couldn't pass up a chance to say that!"""
11_voice_NPC_5061_101#2,"""It's Halloween, so I want to hold a fun event that'll make everybody happy!"""
text01003#1,"""But to tell you the truth, I've run into a few problems...<br>I'll need your help this time as well! Please lend a hand whenever you can!"""
11_voice_NPC_5061_104#1,"""What's the situation? I'll wait as long as it takes!"""
11_voice_NPC_5061_100#5,"""If I can see people who don't smile much enjoying themselves at the event, I'll be really happy!"""
text03002#0,"""It's moments like that when you can really feel a plan coming together."""
text03003#1,"""I have to do my best to prepare so I can make that happen. Please help me out however you can!"""
11_voice_NPC_5061_101#3,"""Thanks for helping out! Thanks to you, my preparations are going smoothly!"""
text04002#1,"""You're being so helpful! Oh, but don't overwork yourself!"""
11_voice_NPC_5061_101#4,"""Great work! Thanks to your help, the event will be able to go ahead safely!"""
text05002#1,"""There sure were a lot of incidents...<br>But that's all over with no, so everything's fine!"""
text05003#0,"""Of course, all the ARKS kids who were helping me out are grateful to you, and I am too."""
text05004#0,"""Thanks so much! Now have yourself a well-earned rest!"""
