a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""T:Trick or Treat 2019!"""
Explanation#0,"""アークス各員へ緊急通達。<br>惑星リリーパのハロウィン会場予定地に<br>ダーカーと機甲種が大量に出現しているとの<br>報告が入った。<br>各員は速やかに出撃し、現地に配備した<br>撃退用兵器を用いて会場の安全を確保せよ。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""大変、大変ですー！<br>ハロウィン会場の予定地に<br>敵さんが多数出現しちゃってます！"""
NpcComMsg2#0,"""ダーカーや機甲種の他に<br>未確認ですけど強力な反応も<br>あるみたいです！"""
NpcComMsg3#0,"""ですが！\u3000すごくつよーい秘密兵器を<br>用意してますから！\u3000どんどん活用して<br>敵さんをお掃除しちゃってください！"""
SimpleExplanation#0,"""Head for the final area!"""
