Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/mn38 /ci2 2 후후후, 케이크 가게 씨.<br>케이크 가게 씨이. 그리 겁낼 필요 없이<br>후딱 나타나주세요."""
Success#1,"""/mn17 /ci2 2 아라아라, 벌써 끝인가요오?<br>시시하네요, 한참 부족해요.<br>그러니까, 다음 사냥감을 찾아보도록 하죠."""
Failure#1,"""/ci2 2 케이크를 먹어보고 싶었지만<br>잘 풀리진 않네요.<br>뭐, 아무래도 좋지만요."""
Dead#1,"""/ci4 1 리사, 조금 지쳐버렸으니<br>이 쯤에서 휴식이예요.."""
BuddyDead#1,"""/ci4 2 케이크……?\u3000아아, 그러고 보니<br>그러고 보니 그랬었죠.<br>리사, 완전히 잊고 있었어요."""
Evolution#1,"""/ci2 2 오야오야아라아라아직도 한참 많이<br>튀어 나와 주는 것 같아요오?"""
Begin#2,"""/ci2 2 <%me>씨<br>섬멸은 리사의 특기 분야니까<br>여기 리사에게 맡겨주실거죠?"""
Success#2,"""/ci2 5 그럼, 이 주변은 리사 일행한테<br>맡겨졌으니, 당신은<br>앞으로 나아가 주세요."""
Failure#2,"""에너미를 죽이는 것은 좋아하지만<br>동료를 살해당하는 것은 싫으니까요.<br>그렇게 되지 않는 틈에 돌아갈게요."""
Dead#2,"""오야, 리사에게 이런 짓을 해놓고<br>이대로 끝날 거라고 생각하시는 건가요?"""
BuddyDead#2,"""푸리에 씨.<br>스스로 바래 온 것이니,<br>제대로 살아서 돌아가자구요?"""
