name_7006#0,"""รัน (Ran)"""
msn_011080_002_0010#0,"""ขอโทษที่เรียกมานะคะ"""
msn_011080_002_0020#0,"""ก่อนที่คุณจะมุ่งหน้าไปที่ภูเขาแม็กนัส (Mount Magnus) ฉันคิดว่าอยากจะให้คำแนะนำเรื่องการต่อสู้สักหน่อยน่ะค่ะ"""
msn_011080_002_0030#0,"""สมาชิก ARKS ทุกคนจะวัดความสามารถของตัวเองด้วยค่าที่เรียกว่า (Power Level) ค่ะ"""
msn_011080_002_0040#0,"""มันเป็นวิธีวัดและประเมินความสามารถทางกายภาพ ชุดเกราะ และอาวุธที่คุณกำลังสวมใส่อยู่ค่ะ"""
msn_011080_002_0050#0,"""แต่จำไว้นะคะว่ามันไม่ใช่ตัววัดฝีมือของผู้ใช้ ดังนั้นมันจึงเป็นแค่การประเมินคร่าวๆ เท่านั้นค่ะ"""
msn_011080_002_0060#0,"""เนื่องจากดาวฮาลฟาอาจเป็นสถานที่ที่อันตรายมาก Power Level จึงเป็นเหมือนเกณฑ์หลักเพื่อป้องกันไม่ให้เจ้าหน้าที่ ARKS เข้าไปเสี่ยงในพื้นที่ที่อุปกรณ์ของพวกเขายังไม่พร้อมค่ะ"""
msn_011080_002_0070#0,"""ภูเขาแม็กนัส (Mount Magnus) ก็เป็นหนึ่งในพื้นที่แบบนั้นค่ะ"""
msn_011080_002_0080#0,"""ระบบจะแสดงค่า Power Level โดยประมาณของพื้นที่นั้นไว้ให้ เพราะงั้นกรุณาอ้างอิงจากค่านั้นเวลาเตรียมตัวสำหรับการต่อสู้ด้วยนะคะ"""
msn_011080_002_0090#0,"""พวกเราจะคอยเฝ้าดูพวกคุณอย่างใกล้ชิด ขอให้โชคดีนะคะ"""
msn_011080_002_0101#0,"""ยินดีต้อนรับสู่ เซ็นทรัลซิตี้ (Central City) ค่ะ! ยินดีที่ได้รู้จักนะคะ"""
msn_011080_002_0102#0,"""ฉันรู้สึกเป็นเกียรติมากที่ได้คอยสนับสนุนคุณ ในฐานะหนึ่งในโอเปอเรเตอร์ (Operator) ของเมืองนี้ค่ะ"""
msn_011080_002_0201#0,"""ถ้ามีอะไรที่ฉันสามารถช่วยคุณได้ในฐานะโอเปอเรเตอร์ (Operator) ล่ะก็ บอกมาได้เลยนะคะ"""
msn_011080_002_0202#0,"""ฉันอยากจะช่วยให้ทุกอย่างง่ายขึ้นสำหรับทุกคนให้มากที่สุดเท่าที่จะทำได้ค่ะ"""
