msc_010250_0010#0,"""โห ที่นี่สวยจังเลยนะ"""
msc_010250_0020#0,"""...ไอน่า"""
msc_010250_0030#0,"""...หืม? มีอะไรเหรอ?"""
msc_010250_0040#0,"""เธอโอเคไหม?"""
msc_010250_0050#0,"""อืม ฉันไม่เป็นไร ทำไมเหรอ?"""
msc_010250_0060#0,"""...ขอโทษที ฉันคงไม่ค่อยเก่งเรื่องอ่านความรู้สึกคนอื่นเท่าไหร่น่ะ"""
msc_010250_0070#0,"""ไม่เห็นต้องขอโทษเลย! ...จริงๆ นะ ขอบใจมากเลยล่ะ มาน่อน"""
msc_010250_0080#0,"""เธอเองก็ด้วยนะ พวกเรามาอยู่ด้วยกันเถอะ โอเคไหม?"""
msc_010250_0090#0,"""ทั้งสามคนนั่นแหละ"""
msc_010250_0100#0,"""เรามาจัดการพวก DOLLS กันเถอะ ถ้าพวกเราสามคนร่วมมือกัน ต่อให้เป็น Dark Falz ก็หยุดเราไม่ได้หรอก"""
msc_010250_alpha4_0010#0,"""<%me> ตัดสินใจพักผ่อนที่บ้านพักสักระยะหนึ่ง"""
msc_010250_alpha4_0020#0,"""และนี่ก็คือจุดเริ่มต้นก้าวแรกของ <%me> ในชีวิตใหม่ในฐานะสมาชิกของ ARKS"""
name_01#0,"""บทบรรยาย"""
