11_voice_NPC_5014_100#0,"""Um, I'm glad you came along. I have something to give you..."""
favs_before_020#0,"""Um... Yeah, this was the one. This is a gift from me."""
favs_after_010#0,"""It's to thank you for always taking care of me and Patty."""
favs_after_020#0,"""I know we bother you a lot, but I'm looking forward to continuing to work with you."""
favs_present_010#0,"""Received <yellow>Synthesizer<c> from Tea."""
favs_present_020#0,"""Received <yellow>Barta<c> from Tea."""
favs_present_030#0,"""Received <yellow>Synthesizer<c> from Tea."""
favs_present_040#0,"""Received <yellow>Gibarta<c> from Tea."""
favs_present_050#0,"""Received <yellow>Synthesizer<c> from Tea."""
favs_present_060#0,"""Received <yellow>Deband<c> from Tea."""
favs_present_070#0,"""Received <yellow>Synthesizer<c> from Tea."""
favs_present_080#0,"""Received <yellow>Rabarta<c> from Tea."""
favs_present_090#0,"""Received <yellow>Synthesizer<c> from Tea."""
favs_present_100#0,"""Received <yellow>Synthesizer<c> from Tea."""
favs_present_add_001#0,"""Received <yellow>\""<%skit_text>\""<c> from Tea."""
Alice_01_10#0,"""Could I fall in love with someone of another race...? I see, that could be a big issue in ARKS."""
Alice_01_20#0,"""I don't have any reason to be opposed to it. Ever since I was born, I've been surrounded by people of every race."""
Alice_01_30#0,"""...That said, I don't have any experience in this area, so nothing I say is going to be that definitive."""
Alice_01_40#0,"""As far as my ideal partner goes, looks and personality aren't that important to me, what matters is that we're a good fit for each other."""
Alice_01_50#0,"""If I totally clicked with someone and it was a good time, I don't think their race would matter."""
Alice_01_60#0,"""No, Tea! Absolutely not! I won't let you go out with some random guy just to have a good time!"""
Alice_01_70#0,"""I said \""IF it was a good time\"", not \""to HAVE a good time\"", idiot."""
Alice_01_80#0,"""...Well, as long as I'm with Patty, I guess that perfect time will never come along."""
11_voice_NPC_5014_100#1,"""こんにちは。<br>パティちゃんにご用ですか？<br>話しかけてやってください。"""
text100#0,"""一仮テキストトーストでマイルームの変更方法を通知する。"""
text1000#0,"""二仮テキストトーストでマイルームの変更方法を通知する。"""
11_voice_NPC_5014_100#2,"""情報屋は、情報集めるだけじゃなくて<br>それを整理する時間も重要なの。"""
Tiea_01_020#0,"""ぜーんぶティアがやっちゃって<br>あたしはつまらないんだけどねー！"""
11_voice_NPC_5014_104#0,"""一応、私たちも戦闘はできます。<br>あんまり好きじゃないだけです。"""
Tiea_02_020#0,"""ティア、未だにすっごく<br>おっかなびっくりだもんねー。<br>あたしはもう慣れたよー？"""
11_voice_NPC_5014_100#3,"""情報の集め方？<br>そうね……いろいろな人に話を聞いたり<br>出先で気になったことを調べたり。"""
Tiea_03_020#0,"""まー、正直にいっちゃうと<br>あたしの気の向くままに<br>出歩いているだけなんだよねー。"""
11_voice_NPC_5014_102#0,"""アークスの人は、人づてに聞くよりも<br>自分で調べに行く、って人が多いから<br>情報に対する意識が低いのよね。"""
Tiea_04_020#0,"""あたしたちのやってるのって<br>スキマ産業ってやつだね！<br>スキマ、スキマ！"""
11_voice_NPC_5014_100#4,"""こう見えて、パティちゃんは<br>人を見る目だけはあるみたいなので<br>危険な人には話しかけないのよね。"""
Tiea_05_020#0,"""そーそー、あたしのお眼鏡にかなうって<br>見所あるということなんだよー！<br>話しやすい雰囲気って、才能だよね！"""
11_voice_NPC_5014_104#1,"""パティちゃんと一緒で<br>疲れないか、って？<br>そりゃもちろん疲れる。すっごく。"""
Tiea_06_020#0,"""ま、パティちゃんと一緒に居られるのは<br>きっと私だけだし、逆も同じだろうから<br>多分これからも、ずっと一緒。"""
11_voice_NPC_5014_100#5,"""ロビーは素晴らしい。<br>振り回されてハラハラしなくてもいい<br>心落ち着く、癒やされる時間だわ。"""
Tiea_07_020#0,"""えー、静かなのつまらないよー！<br>もっと何かどかーんと<br>すごいの見に行こうよー！"""
11_voice_NPC_5014_101#0,"""パティちゃんはカンで生きているぶん<br>危機感知能力とかがすっごく高いの。<br>生存本能、みたいな？"""
