name#0,"""Tea"""
11_voice_NPC_5013_100#0,"""Oh ho ho, just at the right time! Come on come on, over here!"""
favs_before_020#0,"""Ta-daa! Here, this is for you!"""
favs_after_010#0,"""You're always helping me out and everything, so it's my way of saying thanks, sort of?"""
favs_after_020#0,"""Alrighty, well, stay in touch!"""
favs_present_010#0,"""Received <yellow>Synthesizer<c> from Patty."""
favs_present_020#0,"""Received <yellow>Scissor Edge<c> from Patty."""
favs_present_030#0,"""Received <yellow>Synthesizer<c> from Patty."""
favs_present_040#0,"""Received <yellow>Rumbling Moon<c> from Patty."""
favs_present_050#0,"""Received <yellow>Synthesizer<c> from Patty."""
favs_present_060#0,"""Received <yellow>Illusion Rave<c> from Patty."""
favs_present_070#0,"""Received <yellow>Synthesizer<c> from Patty."""
favs_present_080#0,"""Received <yellow>Fake Capture<c> from Patty."""
favs_present_090#0,"""Received <yellow>Synthesizer<c> from Patty."""
favs_present_100#0,"""Received <yellow>Deadly Archer<c> from Patty."""
favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Patty."""
Alice_01_10#0,"""Hey you! You look like you need special intel from the one and only Patty."""
Alice_01_20#0,"""Of course, of course, ask me anything! The lady shall teach you anything you like!"""
Alice_01_30#0,"""...heh? Lo-ve? Love, relationships?<br>L-love, right! Of course I know!"""
Alice_01_40#0,"""Ummmmm, errr, ummm...<br>Um, um, um, um... Tee hee!"""
Alice_01_50#0,"""Oh dear, of course you can't ask ladies such things out of the blue! Sex-ual harr-ass-ment!"""
Alice_01_60#0,"""Same species, interspecies, doesn't matter! Love is... love is... Uh, a hundred years too early!"""
Alice_01_70#0,"""I'm declaring myself single for the rest of my life!"""
Alice_01_80#0,"""Sorry, my stupid sister's gone all hyper. Forgive her, will you?"""
11_voice_NPC_5013_107#0,"""……ぬ、ぬあにぃー！？<br>可愛いサンタ服を着たあたしたちが<br>ゲートエリアに！？"""
Paty_01_20#0,"""そういえばハロウィンの時に<br>マトイさんで同じような話があったね。<br>パティちゃん、情報集めてたでしょ？"""
11_voice_NPC_5013_106#0,"""あー、あのエーテル具現体事件！<br>ん？\u3000ってことは、ゲートエリアに<br>今いるのは、あたしたちの願望の姿！？"""
Paty_01_40#0,"""アナタ見たんだよね？<br>どうだった、ティアはぺったんこじゃ<br>なくなってた！？"""
11_voice_NPC_5014_100#0,"""パティちゃんの知能レベルは<br>上がってましたか！？"""
11_voice_NPC_5013_102#0,"""あたし知能レベル、カンストだから！<br>「隣の柿はよく客食う柿だ」！<br>どうだーっ！"""
Paty_01_70#0,"""知能レベル、１でカンストなのね……<br>で、サンタ風パティエンティアが<br>現われた理由、本当に心当たりないの？"""
11_voice_NPC_5013_100#1,"""あっ！\u3000そういえば、クリスマスだし<br>ちょっとだけ調査任務すっぽかして<br>遊びたーいって思ってたかも、この前。"""
Paty_01_90#0,"""でもでも！<br>サンタの可愛い服を着たいとまでは<br>思ってなかったよ？"""
11_voice_NPC_5014_102#0,"""やっぱり元凶はこの姉か……<br>私たちが直接接触するのも何なので<br>すみませんが、お任せしていいですか？"""
text100#0,"""一仮テキストトーストでマイルームの変更方法を通知する。"""
text1000#0,"""二仮テキストトーストでマイルームの変更方法を通知する。"""
11_voice_NPC_5013_100#2,"""Hmmm, it's so important to take a breather, right! Now, have a gooooood stretch!"""
Patty_01_020#0,"""I think you get a little too much rest, Patty."""
11_voice_NPC_5013_104#0,"""You know, if we didn't join ARKS, we would've ended up a pretty useless pair."""
Patty_02_020#0,"""\""We\""? Did you just say \""we\"", Patty?"""
11_voice_NPC_5013_100#3,"""Intel teams are all about stamina! I'm so glad I had the makings of a Hunter! You doing okay there, Tea?"""
Patty_03_020#0,"""I'm perfectly happy as a Force, but I don't think Patty should be the one worrying about me..."""
11_voice_NPC_5013_102#1,"""You wanna know if we're really the top ARKS intel team? Don't be silly! Of course we are!"""
Patty_04_020#0,"""Because nobody else goes around actually calling themselves an intel team."""
11_voice_NPC_5013_104#1,"""The great thing about being the intel team is that we get to meet so many people! ...well, some people hate us."""
Patty_05_020#0,"""I think that's 'cause you pester people too much, Patty."""
11_voice_NPC_5013_100#4,"""Have we ever had a brush with death? Oh, definitely, oh yeah. Oooh yes. Soooooo many times."""
Patty_06_020#0,"""Intel's only worth something when it's fresh, so we have to be where the action is. We stare death in the face all the time!"""
11_voice_NPC_5013_102#2,"""You wanna know which one of us is the older twin? Can't you tell? I was born first!"""
Patty_07_020#0,"""I wish I could dispute it, but you can't argue with the facts. I'm her younger sister! Grr."""
Patty_07_030#0,"""Is it something to be that bitter about!?"""
11_voice_NPC_5013_100#5,"""When the going gets tough, it's time to split! That's the golden rule of staying alive! Don't you ever forget it!"""
Patty_08_020#0,"""There are plenty of ARKS members who break that rule. Don't you be one of them, okay?"""
11_voice_NPC_5013_104#2,"""When there are conflicting reports and no clear intel, things can get real dangerous. Apparently it was really bad 10 years ago."""
Patty_09_020#0,"""When we heard what happened, we decided to form a team that always has accurate intel."""
11_voice_NPC_5013_103#0,"""Ah! I felt it again! The air around here is tingling with energy. It's kinda scary."""
Patty_10_020#0,"""アークスのお偉いさん……<br>六芒均衡の動きも活発になってる。<br>……気を付けて。"""
11_voice_NPC_5013_106#1,"""今回のダークファルスによる<br>戦闘被害って、少ない方なんだって。"""
Patty_mb9_020#0,"""Just how many people were done in by him in the past? Man, that's incredible."""
11_voice_NPC_5013_102#3,"""暴走龍暴走龍って言われてるけど<br>あたしぜんぜんこれっぽっちも<br>遭遇しないんだよねー。"""
Patty_mb10_020#0,"""I wonder who named them in the first place?"""
11_voice_NPC_5013_101#0,"""なんにせよ、お祭りとか大会って<br>響きがいいよね！\u3000気持ちいいよね！"""
Patty_mb11_020#0,"""I think it's such a great thing to just go party with everyone!"""
11_voice_NPC_5013_100#6,"""Going down to Planet Wopal makes me, well, want to swim!"""
Patty_mb12_020#0,"""Let's grab our swimsuits and go on a vacation! Man, I hope the times will change so we can do that?"""
11_voice_NPC_5013_101#1,"""あっちこっちで人がわたわたしてて<br>落ち着かない感じがするねー。"""
Patty_mb13_020#0,"""Something is happening behind the scenes? Could it be...? That cleaner I've been hearing about!?"""
11_voice_NPC_5013_104#3,"""I mean, ARKS were never on Planet Lillipa to begin with, right?"""
