name_7030#0,"""ควิลล่า (Quilla)"""
name_7032#0,"""พัปเป้ (Pappe)"""
msn_023026_0010#0,"""คุณคือผู้พิทักษ์ (Guardian) หรือเปล่าครับ? เกิดอะไรขึ้นหรือเปล่าครับ?"""
msn_023026_0020#0,"""...คุณกำลังศึกษาผลึกคริสตัลนี่อยู่เหรอครับ?"""
msn_023026_0030#0,"""นี่คือรูปแบบการตกผลึกของ Photonsol ซึ่งเป็นเนื้อเยื่อที่เป็นส่วนประกอบหลักของพวก DOLLS ครับ"""
msn_023026_0040#0,"""ในฮาลฟา (Halpha) สิ่งมีชีวิตที่ตายไปแล้วจะถูกย่อยสลายด้วยเครื่องจักรกลขนาดจิ๋ว (Nanomachines) ครับ"""
msn_023026_0050#0,"""อย่างไรก็ตาม เนื่องจากปัจจัยภายนอกหลายอย่าง ทำให้เครื่องจักรกลขนาดจิ๋วทำงานได้ไม่ถูกต้องเสมอไปครับ"""
msn_023026_0060#0,"""ซากเนื้อเยื่อของ DOLLS ที่ไม่สามารถย่อยสลายได้มักจะสะสมและตกผลึกเป็นแบบนี้ครับ"""
msn_023026_0070#0,"""Photonsol จะเปลี่ยนเป็นสีแดงในระหว่างการโอเวอร์คล็อก (Overclocking) และแน่นอนว่าพวก DOLLS ก็ด้วยครับ"""
msn_023026_0080#0,"""พูดได้เลยว่าผลึกคริสตัลนี้จะเปลี่ยนเป็นสีแดงเพื่อตอบสนองต่อระดับความหนาแน่นของ Photon ในอากาศที่สูงขึ้นครับ"""
msn_023026_0090#0,"""...Photonsol งั้นเหรอ? ...การโอเวอร์คล็อก? ...เครื่องจักรกลขนาดจิ๋ว?!"""
msn_023026_0100#0,"""อืม ฉันคิดว่าวันนี้ฉันได้เรียนรู้คำศัพท์ใหม่ๆ บ้างแล้วล่ะ..."""
msn_023026_0110#0,"""เราคงต้องถามเรื่องนี้กับชาวเลเซียล (Lecielan) คนนั้นเพิ่มเติมทีหลังแล้วล่ะ"""
msn_023026_0120#0,"""อ้อ ไหนๆ เราก็อยู่ที่นี่แล้ว คุณรู้อะไรเกี่ยวกับดาวเคราะห์ดวงใหญ่บนท้องฟ้าบ้างไหมคะ?"""
msn_023026_0130#0,"""...ดาวเคราะห์เหรอครับ?"""
msn_023026_0140#0,"""ก็ดาวเคราะห์ดวงใหญ่ที่อยู่ตรงตำแหน่งเดิมบนท้องฟ้าเสมอ ไม่ว่าจะมองขึ้นไปตอนไหนน่ะค่ะ?"""
msn_023026_0150#0,"""ฉันแค่อยากรู้ว่ามันเป็นสถานที่แบบไหนน่ะค่ะ"""
msn_023026_0160#0,"""พวกเราไม่ทราบอะไรเกี่ยวกับสิ่งที่อยู่นอกฮาลฟา (Halpha) เลยครับ"""
msn_023026_0170#0,"""จริงเหรอเนี่ย ฉันเดาว่าคงมีบางเรื่องที่แม้แต่ชาวเลเซียล (Lecielan) ก็ยังไม่รู้สินะ..."""
msn_023026_0180#0,"""ถ้างั้นก็หมายความว่าต้องมีเรื่องเกี่ยวกับฮาลฟา (Halpha) ที่พวกเขายังไม่ได้ตรวจสอบอีกแน่ๆ เลย"""
msn_023026_0190#0,"""ต้องมีอะไรบางอย่างที่เราสามารถค้นพบได้ที่ไหนสักแห่งแถวนี้แน่ๆ"""
msn_023026_0200#0,"""ขอบคุณมากเลยนะ ผู้พิทักษ์ (Guardian)! ถ้ามีเรื่องอื่นเกิดขึ้น คุณจะช่วยฉันอีกใช่ไหม?"""
msn_023026_0210#0,"""...เอ่อ..."""
msn_023026_0220#0,"""...มีอะไรอีกไหมครับ?"""
