name_7030#0,"""ควิลล่า (Quilla)"""
msn_023022_0010#0,"""ไง ขอบคุณที่มานะ"""
msn_023022_0020#0,"""ฉันชื่อควิลล่า (Quilla) งานอดิเรกของฉันคือการไขความลับของฮาลฟา (Halpha) น่ะ"""
msn_023022_0030#0,"""จริงๆ แล้วนะ หลังจากที่พวกชาวเลเซียล (Lecielan) ปรากฏตัวขึ้น ความลับส่วนใหญ่ก็ถูกเฉลยจนหมดสนุกสำหรับคนแบบฉันไปเลยล่ะ..."""
msn_023022_0040#0,"""แต่มันต้องยังมีเรื่องที่เราไม่รู้อยู่อีกแน่ๆ! ฉันคิดว่างั้นนะ"""
msn_023022_0050#0,"""นั่นเป็นเหตุผลที่ฉันอยากขอความช่วยเหลือจากคุณ ในฐานะที่คุณเป็นผู้พิทักษ์ (Guardian) ไงล่ะ"""
msn_023022_0060#0,"""ตอนนี้ ฉันสนใจช่องเขาสะกาน (Sagaan Mountain Pass) ทางตะวันตกของรีเทม (Retem) เป็นพิเศษเลยล่ะ"""
msn_023022_0070#0,"""ไว้คุณไปถึงที่นั่นแล้วฉันจะเล่ารายละเอียดให้ฟังนะ"""
msn_023022_0080#0,"""เอาล่ะ ขอบคุณที่ช่วยนะ!"""
msn_023022_0110#0,"""คุณช่วยไปที่ช่องเขาสะกาน (Sagaan Mountain Pass) ก่อนได้ไหม? ไว้คุณไปถึงแล้วฉันจะอธิบายให้ฟังเอง"""
msn_023022_0120#0,"""เอาล่ะ ขอบคุณอีกครั้งนะ!"""
msn_023022_0210#0,"""นี่ จุดนัดพบคือที่ช่องเขาสะกาน (Sagaan Mountain Pass) นะ เข้าใจไหม? ฉันหวังพึ่งคุณอยู่นะ!"""
