name_7008#0,"""Росса"""
msn_011065_0010#0,"""О-о, наконец настала моя очередь."""
msn_011065_0020#0,"""Я хочу поговорить с вами с глазу на глаз,<br>так что идите ко мне. Я вас жду."""
msn_011065_0030#0,"""ロッサだ。<br>よろしくな。"""
msn_011065_0040#0,"""おれが、教えるのは“武器の強化”についてだ。"""
msn_011065_0050#0,"""武器や防具ってのは、<br>鍛えることで性能がよくなる。"""
msn_011065_0060#0,"""強化には“強化素材”って呼ばれる<br>別の武器なんかと、“N-グラインダー”ってのが必要だ。"""
msn_011065_0070#0,"""んー、それぞれ集めてきてくれ……ってのも、<br>なんか面倒くさいな。"""
msn_011065_0080#0,"""今回は、両方ともやるから、<br>“アイテムラボ”で強化してみてくれ。"""
msn_011065_0401#0,"""プリムソードを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0402#0,"""プリムナックルを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0403#0,"""プリムライフルを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0404#0,"""プリムマシンガンを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0405#0,"""プリムロッドを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0406#0,"""プリムウォンドを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0501#0,"""プリムソードを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0502#0,"""プリムナックルを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0503#0,"""プリムライフルを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0504#0,"""プリムマシンガンを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0505#0,"""プリムロッドを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0506#0,"""プリムウォンドを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0407#0,"""プリムカタナを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0507#0,"""プリムカタナを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0408#0,"""プリムブーツを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0508#0,"""プリムブーツを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0409#0,"""プリムタクトを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0509#0,"""プリムタクトを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0410#0,"""プリムスラッシュを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_0510#0,"""プリムスラッシュを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
