name_7008#0,"""Росса"""
msn_011065_001_0010#0,"""Я Росса. Рада знакомству."""
msn_011065_001_0020#0,"""Я расскажу вам о “заточке снаряжения”."""
msn_011065_001_0030#0,"""Закаляя оружие и броню, можно увеличить эффективность оружия."""
msn_011065_001_0040#0,"""Проще говоря, это аналогично нам ARKS."""
msn_011065_001_0050#0,"""...Я не права?"""
msn_011065_001_0060#0,"""...Похоже, что нет."""
msn_011065_001_0070#0,"""Не, разве это не так?.."""
msn_011065_001_0080#0,"""Для заточки снаряжения вам понадобится ещё одно в качестве<br>“расходного материала” и “N-Grinder”."""
msn_011065_001_0090#0,"""Хмм, ещё собери необходимые... это будет только раздражать."""
msn_011065_001_0100#0,"""На этот раз я просто дам вам всё необходимое, так что, пожалуйста,<br>воспользуйтесь “Лабораторией предметов” и заточите снаряжение."""
msn_011065_001_0401#0,"""Вы получили: Prim Sword (10 шт), N-Grinder (10 шт), и 10000 <pict reb_meseta>месеты."""
msn_011065_001_0402#0,"""Вы получили: Prim Knuckles (10 шт), N-Grinder (10 шт), и 10000 <pict reb_meseta>месеты."""
msn_011065_001_0403#0,"""Вы получили: Prim Rifle (10 шт), N-Grinder (10 шт), и 10000 <pict reb_meseta>месеты."""
msn_011065_001_0404#0,"""Вы получили: Prim Machineguns (10 шт), N-Grinder (10 шт), и 10000 <pict reb_meseta>месеты."""
msn_011065_001_0405#0,"""Вы получили: Prim Rod (10 шт), N-Grinder (10 шт), и 10000 <pict reb_meseta>месеты."""
msn_011065_001_0406#0,"""Вы получили: Prim Wand (10 шт), N-Grinder (10 шт), и 10000 <pict reb_meseta>месеты."""
msn_011065_001_0501#0,"""Вы получили: Prim Sword (2 шт), N-Grinder (2 шт), и 2000 <pict reb_meseta>месеты."""
msn_011065_001_0502#0,"""Вы получили: Prim Knuckles (2 шт), N-Grinder (2 шт), и 2000 <pict reb_meseta>месеты."""
msn_011065_001_0503#0,"""Вы получили: Prim Rifle (2 шт), N-Grinder (2 шт), и 2000 <pict reb_meseta>месеты."""
msn_011065_001_0504#0,"""Вы получили: Prim Machineguns (2 шт), N-Grinder (2 шт), и 2000 <pict reb_meseta>месеты."""
msn_011065_001_0505#0,"""Вы получили: Prim Rod (2 шт), N-Grinder (2 шт), и 2000 <pict reb_meseta>месеты."""
msn_011065_001_0506#0,"""Вы получили: Prim Wand (2 шт), N-Grinder (2 шт), и 2000 <pict reb_meseta>-месеты"""
msn_011065_001_0101#0,"""О, вы часто тут бываете!<br>Ваша сила всегда приветствуется."""
msn_011065_001_0102#0,"""Вы же активно работаете!<br>Рассчитываю на вас!"""
msn_011065_001_0201#0,"""Вы всё точитесь и точитесь.<br>На вас можно положиться."""
msn_011065_001_0202#0,"""Похоже, что Крофорд также впечатлён. Что ж, пожалуйста,<br>постарайтесь продолжать в том же духе!"""
msn_011065_001_0407#0,"""Вы получили: Prim Katana (10 шт), N-Grinder (10 шт), и 10000 <pict reb_meseta>месеты."""
msn_011065_001_0507#0,"""Вы получили: Prim Katana (2 шт), N-Grinder (2 шт), и 2000 <pict reb_meseta>месеты."""
msn_011065_001_0408#0,"""Вы получили: Prim Boots (10 шт), N-Grinder (10 шт), и 10000 <pict reb_meseta>месеты."""
msn_011065_001_0508#0,"""Вы получили: Prim Boots (2 шт), N-Grinder (2 шт), и 2000 <pict reb_meseta>месеты."""
msn_011065_001_0409#0,"""プリムタクトを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0509#0,"""プリムタクトを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0410#0,"""プリムスラッシュを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0510#0,"""プリムスラッシュを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
