name_7007#0,"""Лю Лин"""
msn_011063_006_0010#0,"""Ну как? Изучили что следует? Вы же... не взяли не то умение?"""
msn_011063_006_0020#0,"""Даже если вы говорите, что изучили, вы же не забыли ознакомиться с тем, как они работают."""
msn_011063_006_0030#0,"""Прежде чем вы сможете полностью понять его работу, вам надо будет потренироваться. Пожалуйста, постарайтесь постепенно запомнить."""
msn_011063_006_0040#0,"""Пожалуйста, постарайтесь постепенно запомнить."""
msn_011063_006_0050#0,"""Кроме того, я отправила в ваш инвентарь кое-какое снаряжение. Это оружие, и билеты, связанные с вашим умением класса."""
msn_011063_006_0055#0,"""Кроме того, я отправила в ваш инвентарь кое-какое снаряжение."""
msn_011063_006_0060#0,"""Мне кажется, что класс и оружие могут подходить и не подходить в зависимости от человека. Найдите свой собственный стиль."""
msn_011063_006_0070#0,"""И напоследок,.. на площади в южной части говорда можно встретить наставника каждого класса."""
msn_011063_006_0080#0,"""Думаю, что они смогут вам рассказать более подробно о вашем классе, нежели я. Пожалуйста, пообщайтесь с ними."""
msn_011063_006_0090#0,"""Хм... Обычно я не так много говорю, так что я немного устала."""
msn_011063_006_0100#0,"""Я же смогла объяснить это доходчиво... ведь так?"""
msn_011063_006_0110#0,"""На этом я закончу. Буду полагаться на вас и в будущем."""
msn_011063_006_0401#0,"""Получено: Prim Sword, Prim Knuckles, Prim Rifle, Prim Machineguns, Prim Rod, Prim Wand, Prim Katana, и N-All Skill Tree Reset."""
msn_011063_006_0501#0,"""Получено Prim Sword, Prim Knuckles, Prim Rifle, Prim Machineguns, Prim Rod, Prim Wand, и Prim Katana."""
msn_011063_006_0601#0,"""Получен комплект Renessa оружия +29, 3 шт Renessa брони +29 и N-Сброс всех деревьев умений."""
msn_011063_006_0602#0,"""Получен комплект Renessa оружия +29, 3 шт Renessa брони +29."""
