name_7625#0,"""エディク"""
ssn_014680_0001#0,"""よう、あんまり見ない顔だな。<br>挨拶がてら、なにかごちそうしてやろうか？"""
ssn_014680_0002#0,"""このレストコーナーは、<br>アークスの情報交換の場になってるんだ。"""
ssn_014680_0003#0,"""ここにいる連中に話しかけてみな。<br>なにかいい情報が聞けるかもしれないぞ。"""
ssn_014680_0101#0,"""よう、元気にやってるか？"""
ssn_014680_0102#0,"""突然だけどよ、強敵と戦うには、<br>やっぱり仲間がほしいだろ？"""
ssn_014680_0103#0,"""一緒に戦ってくれるやつ探したいなら、<br>俺がいいこと教えてやるよ。"""
ssn_014680_0201#0,"""\""一緒に戦ってくれるやつ集合！\""<br>……ってな感じで、募集をかけてみな。"""
ssn_014680_0202#0,"""きっとやる気のあるやつが、<br>来てくれると思うぜ。"""
ssn_014680_0301#0,"""ありゃ、興味ねーか……。<br>まあいいや、また来いよな。"""
ssn_014680_0401#0,"""よーし、いい感じだな！"""
ssn_014680_0402#0,"""そうやって、どんどん仲間を増やしてくれ。<br>頑張れよな！"""
ssn_014680_0403#0,"""……お、そうだ。<br>仲間と戦うなら、\""チーム\""に入るってのも手だぞ。"""
ssn_014680_0404#0,"""ティムのところに行ってみな。<br>チーム活動支援員っていうんだ。"""
ssn_014680_0405#0,"""あいつは、気がいいからな。<br>いろいろ教えてくれると思うぜ！"""
