name_7625#0,"""Eddic"""
ssn_014690_0001#0,"""โย่! หวังว่าคงสบายดีนะ?"""
ssn_014690_0002#0,"""นี่ มีอีกเรื่องที่อยากจะบอกน่ะ"""
ssn_014690_0003#0,"""สนใจไหม?"""
ssn_014690_0101#0,"""ถ้าเห็นใครกำลังหาคนเข้าร่วมล่ะก็ ตอบรับคำชวนของพวกเขาไปเลย!"""
ssn_014690_0102#0,"""ก็แบบว่า 'ได้เลย มาสู้ด้วยกัน!' หรืออะไรทำนองนั้นน่ะ"""
ssn_014690_0103#0,"""ไม่ต้องเขินหรอก คว้าโอกาสแบบนั้นไว้แล้วสนุกกับมันหน่อยสิ!"""
ssn_014690_0201#0,"""อ้าว ไม่สนใจเหรอ? ก็ได้ๆ ไว้เจอกันใหม่แล้วกัน"""
ssn_014690_0301#0,"""ใช่เลย แบบนั้นแหละ!"""
ssn_014690_0302#0,"""พยายามทำตัวให้คนอื่นเห็นแบบนั้นต่อไปล่ะ! ใครจะรู้ บางทีสักวันฉันอาจจะเจอนายข้างนอกนั่นก็ได้ จริงไหม?"""
ssn_014690_0401#0,"""พยายามเข้าล่ะ! ใครจะรู้ บางทีสักวันฉันอาจจะเข้าร่วมกับนายข้างนอกนั่นก็ได้ จริงไหม?"""
ssn_014690_0402#0,"""อ้อ ใช่แล้วล่ะ ควรจะบอกไว้ว่าอีกวิธีที่จะหาพรรคพวกได้ก็คือการตั้งทีมน่ะ"""
ssn_014690_0403#0,"""ไว้ไปหา Tim ดูสิ เขาเป็นเจ้าหน้าที่ฝ่ายสนับสนุนทีม Tim เป็นคน--"""
ssn_014690_0404#0,"""...อะไรนะ? เคยบอกไปแล้วเหรอ? หืม... จริงดิ?"""
ssn_014690_0405#0,"""ช่างเถอะๆ อย่าใส่ใจเลย ไว้มีเวลาว่างๆ ก็ลองไปหา Tim ดูแล้วกัน"""
