Text_Dash#0,"""พุ่งตัว:"""
Button_Dash_Pad#0,"""กดค้าง <%Avoid>"""
Button_Dash_Key#0,"""กดปุ่มเคลื่อนที่สองครั้งแล้วกดค้าง"""
Text_DoubleJump#0,"""กระโดดสองชั้น:"""
Button_DoubleJump#0,"""กด <%Jump> ขณะกระโดด"""
text_WallKick#0,"""กระโดดเกาะกำแพง:"""
Button_WallKick#0,"""ขณะกระโดด ให้สัมผัสกำแพง"""
Button_WallKick2_Pad#0,"""กด <%LStick> ค้างไว้ไปทางกำแพง"""
Button_WallKick2_Key#0,"""กดปุ่มเคลื่อนที่ค้างไว้ไปทางกำแพง"""
Button_WallKick2#0,"""ขณะกระโดด"""
Button_WallKick2_Manual#0,"""สัมผัสกำแพงแล้วกด <%Jump>"""
