name010#0,"""Guiden"""
name020#0,"""Bruder"""
text010#0,"""ต่อไป ลองใช้ความสามารถใหม่นี้ มันเรียกว่า Wall Kick"""
text020#0,"""ใช้มันเพื่อข้ามกำแพงนั้นไป"""
Text_Dash#0,"""Dash:"""
Button_Dash_Pad#0,"""กด <%Avoid> ค้างไว้"""
Button_Dash_Key#0,"""กดปุ่มเคลื่อนที่สองครั้งแล้วกดค้างไว้"""
Text_DoubleJump#0,"""Double-Jump:"""
Button_DoubleJump#0,"""กด <%Jump> ระหว่างที่กระโดด"""
text_WallKick#0,"""Wall Kick:"""
Button_WallKick#0,"""ระหว่างที่กระโดด ให้สัมผัสกับกำแพง"""
Button_WallKick2_Pad#0,"""กด <%LStick> หันหน้าเข้าหากำแพงค้างไว้"""
Button_WallKick2_Key#0,"""กดปุ่มเคลื่อนที่เข้าหากำแพงค้างไว้"""
Button_WallKick2#0,"""ระหว่างที่กระโดด"""
Button_WallKick2_Manual#0,"""สัมผัสกับกำแพงแล้วกด <%Jump>"""
