11_voice_NPC_5020_101#0,"""어, 마침 잘 왔다."""
Oza_favs_before_020#0,"""괜찮다면 이걸<br>받아 주지 않겠나?<br>자, 사양하지 말고."""
Oza_favs_after_010#0,"""평소의 감사 표시일 뿐이다.<br>너무 신경 쓰지 마라."""
Oza_favs_after_020#0,"""너는 내 이야기도 들어주고 있으니<br>나도 여러모로 도움받고 있거든."""
Oza_favs_present_010#0,"""오자에게서 『신서사이저』를 받았습니다."""
Oza_favs_present_020#0,"""오자에게서 『라이징 플래그』를 받았습니다."""
Oza_favs_present_030#0,"""오자에게서 『픽 업 쓰로우』를 받았습니다."""
Oza_favs_present_040#0,"""오자에게서 『신서사이저』를 받았습니다."""
Oza_favs_present_050#0,"""오자에게서 『슬라이드 셰이커』를 받았습니다."""
Oza_favs_present_060#0,"""오자에게서 『스피드 레인』을 받았습니다."""
Oza_favs_present_070#0,"""오자에게서 『신서사이저』를 받았습니다."""
Oza_favs_present_080#0,"""오자에게서 『트릭 레이브』를 받았습니다."""
Oza_favs_present_090#0,"""오자에게서 『밴터 스내치』를 받았습니다."""
Oza_favs_present_100#0,"""오자에게서 『신서사이저』를 받았습니다."""
Oza_favs_present_add_001#0,"""오자에게서 『<%skit_text>』을 받았습니다."""
Oku_01_010#0,"""오, 무슨 일이지?<br>…밸런타인 선물로<br>뭘 받으면 기쁘겠냐고?"""
11_voice_NPC_5020_100#0,"""그런 건 고민할 필요도 없다.<br>상대가 건네는 것을<br>온 힘을 다해 받아들이는 거다!"""
Oku_01_030#0,"""오는 건 마다하지 않고<br>오지 않으면 이쪽에서 공략한다.<br>그게 진정한 헌터라는 거다."""
11_voice_NPC_5020_104#0,"""굳이 말하자면 양이지!<br>흔히 말하는 초콜릿이라도<br>맛보다는 양을 늘려 보면 어떻겠나?"""
skit01_010#0,"""고민될 땐 헌터.<br>아니면 파이터다.<br>뭐든 나한테 물어봐라."""
skit01_020#0,"""헌터라면 소드, 와이어드 랜스, 파르티잔.<br>파이터는 트윈 대거, 더블 세이버, 너클.<br>좋아하는 무기를 고르면 된다."""
11_voice_NPC_5020_100#1,"""어, 잘 지내고 있나.<br>아크스라면<br>날마다 단련을 게을리하지 마라!"""
11_voice_NPC_5020_101#1,"""헌터는 좋다!<br>단련하면 할수록 그 효과를<br>이 두 손으로 실감할 수 있으니까!"""
11_voice_NPC_5020_100#2,"""다커와의 싸움은 가혹하다.<br>오래 이어지는 싸움인 만큼<br>자기 단련과 휴식을 중시해라."""
11_voice_NPC_5020_100#3,"""적 앞에 서서 길을 여는 것이<br>헌터의 역할이자 의무다!<br>다른 속셈은 없다… 진짜다, 알겠지?"""
11_voice_NPC_5020_101#2,"""헌터의 꽃은 역시 근접 전투다!<br>팽팽한 긴장감 속에서 싸우면<br>가슴이 떨릴 정도다!"""
11_voice_NPC_5020_104#1,"""혼자 할 수 있는 일에는 한계가 있다.<br>위급할 때는 동료나 우리를<br>의지해라."""
11_voice_NPC_5020_100#4,"""가급적 혼자 행동해선 안 되지만<br>정말 혼자 해야 할 때라면<br>역시 헌터를 추천한다!"""
Oza_07_020#0,"""압도적인 내구력과 돌파력!<br>생존력은 다른 클래스가 따라올 수 없지!<br>정말 훌륭한 클래스다!"""
11_voice_NPC_5020_104#2,"""가끔 내가 너무 열혈이라는 말을 듣는데<br>…그렇지는 않지?<br>그래, 그럴 리가 없다!"""
11_voice_NPC_5020_100#5,"""헌터 이외의 클래스?<br>…아니, 상상할 수도 없군. 나는<br>헌터이기에 나인 거다!"""
Oza_09_020#0,"""…잠깐 포스를 생각한 건<br>절대 아니다.<br>아니라니까?"""
11_voice_NPC_5020_101#3,"""다커의 기세가 거세지고 있다.<br>이럴 때일수록 우리 아크스가<br>힘을 합쳐 분투해야 한다!"""
Alice_01_10#0,"""뭐?\u3000내가 헌터 적성에<br>눈뜬 계기가 뭐냐고?<br>…그렇군."""
Alice_01_20#0,"""어릴 적 시가지에서 큰 사고에<br>휘말린 적이 있다.<br>상당히 큰 사고였던 모양이다."""
Alice_01_30#0,"""그때 잔해에 휘말린 나는<br>기절은 했지만 상처 하나 없었다.<br>…그 일이 계기였을 거다."""
Alice_01_40#0,"""헌터가 되려면 몸에 받아들인<br>포톤이나 대기 중 포톤으로<br>육체를 강화할 적성이 필요하다."""
Alice_01_50#0,"""당시에는 위기에서 나온 괴력으로<br>무의식중에 포톤을 사용해<br>몸을 지킨 거겠지."""
11_voice_NPC_5020_104#3,"""헌터는 강인하지만<br>그 힘에도 한계가 있다."""
Oza_mb9_010#0,"""무리하다 막다른 곳에 몰리면<br>모든 게 허사가 되니까.<br>대비책을 마련해 두는 것도 중요하다."""
11_voice_NPC_5020_105#0,"""아무리 강인한 아크스라도<br>혼자 싸우는 데는 한계가 있다.<br>협력하는 것도 생각해야 한다."""
11_voice_NPC_5020_101#4,"""전투기술대회라, 좋은 시도군.<br>자신의 힘뿐 아니라 함께할 상대와의<br>궁합에 따라 결과가 달라지겠지."""
11_voice_NPC_5020_100#6,"""상황은 언제나 변한다.<br>당황하지 않고 적응할 수 있도록<br>노력하는 게 올바른 대응이겠지."""
11_voice_NPC_5020_104#4,"""워팔의 해왕종은<br>바다에서 갑자기 덮쳐 와서<br>상당히 성가시군."""
Oza_mb13_020#0,"""게다가 묘한 색을 하고 있지…<br>저건 진화한 걸까.<br>아니면…"""
11_voice_NPC_5020_104#5,"""최근에는 별로 본 적 없는 종류의<br>다커가 나타나고 있군."""
Oza_mb14_020#0,"""저건… 진화한 걸까.<br>아니면 완전히 다른 흐름에서<br>태어난 존재일까."""
11_voice_NPC_5020_102#0,"""애매한 태도는 마음에 안 든다!<br>아, 아니, 네 이야기는 아니다.<br>이쪽 이야기다."""
11_voice_NPC_5020_108#0,"""…미안했다.<br>그 말밖에 떠올리지 못하는 내가<br>부끄럽다… 한심하군."""
11_voice_NPC_5020_104#6,"""이렇게까지 피할 줄이야…<br>이야기할 여지조차 없군."""
Oza_mb18_020#0,"""아, 너였나.<br>미안하다. 이쪽 이야기다."""
11_voice_NPC_5020_104#7,"""아, 너였나.<br>미안하다. 잠깐 생각할 게 있었다."""
Oza_mb19_020#0,"""생각하는 건 체질에 안 맞지만…<br>으음… 어떻게 해야 하지."""
11_voice_NPC_5020_100#7,"""여러 갈등이 있었지만<br>끝이 좋으면 된 거겠지."""
Oza_mb20_020#0,"""이제 네게<br>폐를 끼칠 일도 없을 거다."""
Oza_mb20_030#0,"""몇 번이나 푸념을<br>들어주게 해서 미안했다.<br>그리고 고맙다."""
Oza_mb21_010#0,"""전에는 헌터 이외의 클래스를<br>제대로 알려고 하지 않았다.<br>헌터가 최고라고 생각했으니까."""
Oza_mb21_020#0,"""지금은 그런 태도를 반성하고 있다.<br>자기 클래스만 잘 알아도<br>다른 클래스를 모르면 협력할 수 없지."""
Oza_mb21_030#0,"""아크스인 이상 다른 클래스와<br>함께 싸울 기회는 얼마든지 있다.<br>다른 클래스를 아는 건 매우 중요하다."""
11_voice_NPC_5020_104#8,"""다른 클래스와 함께 싸울 때<br>헌터로서 어떻게 움직여야 할지<br>자주 생각하려고 한다."""
