Q0#0,"""Привет!"""
HELLO#0,"""Привет."""
HELLO_FAV4#0,"""Так ты пришёл(ла)!<br>Давай наделаем скринов!"""
HELLO_FAV3#0,"""Я ждала!"""
HELLO_FAV2#0,"""Привет."""
HELLO_FAV1#0,"""А, привет."""
HELLO_FAV0#0,"""Э, а-а..."""
GOODBYE#0,"""Пока!"""
GOODBYE_FAV4#0,"""Собираешься уходить? Жаль!"""
GOODBYE_FAV3#0,"""Молодцом!<br>Увидимся завтра!"""
GOODBYE_FAV2#0,"""Пока!"""
GOODBYE_FAV1#0,"""Ну тогда..."""
GOODBYE_FAV0#0,"""Фух..."""
00_01#0,"""1-я опция"""
00_02#0,"""2-я опция"""
TALK_ST#0,"""Говорить"""
C_ORDER_ST#0,"""Узнать подробности"""
