ProgressCount#0,"""$(0)/$(1)"""
TrialSuccessMsg#0,"""la Trial \""$(0)\""<br>ha sido un éxito!"""
TrialFailureMsg#0,"""Falló la Trial: \""$(0)\"""""
TrialCancelMsg#0,"""Trial Abortada: \""$(0)\"""""
RewardTextClear#0,"""Trial Completada: \""$(0)\"""""
RewardTextRew#0,"""Recompensa"""
RewardTextMeseta#0,"""<pict reb_meseta>$(0)"""
RewardTextItemNameNum#0,"""$(0)×$(1)"""
RewardTextItemName#0,"""$(0)"""
ProgDefenceWave#0,"""Oleada:"""
FLineMsg_TimeOver#0,"""Falló la prueba<br>¡Se agotó el tiempo de la prueba!"""
FLineMsg_DefenceTarget_Dead#0,"""Has fallado la prueba<br>¡Se ha infligido un gran daño a los objetivos!"""
