TrialName#0,"""$(0) Defensa"""
TrialBeginMsg#0,"""Defiende $(0) de los ataques enemigos!"""
TrialAbstract#0,"""Defiende $(0)"""
Wave1Msg#0,"""¡La primera oleada de enemigos se acerca!<br>Defiende el $(0)!!"""
Wave2Msg#0,"""¡La Segunda oleada de enemigos se acerca! <br>Defiende el $(0)!!"""
Wave3Msg#0,"""¡La Tercera oleada de enemigos se acerca! <br>Defiende el $(0)!!"""
Wave4Msg#0,"""¡La Cuarta oleada de enemigos se acerca! <br>Defiende el $(0)!!"""
Wave5Msg#0,"""¡Más señales de energía enemigas detectadas! <br> Defiende el $(0)!!"""
NpcComOnBegin#0,"""/voice11_voice_navi001_trial_0001_004 ¡Hemos recibido una señal de socorro de otro miembro de ARKS! <br> ¡Rápido, dirígete hacia allí y ayuda a defenderlos!"""
NpcComOnHp50#0,"""/voice11_voice_navi001_trial_0001_057 ¡Están experimentando una mayor cantidad de daño! <br> ¡Elimina a los enemigos que los rodean!"""
NpcComOnHp20#0,"""/voice11_voice_navi001_trial_0001_037 ¡Están sufriendo grandes daños y serán destruidos a este ritmo! Protégelos a toda costa!"""
NpcComOnSuccess#0,"""/voice11_voice_navi001_trial_0001_009 Las lecturas enemigas en el área circundante están desapareciendo. ¡Estás a salvo ahora, gran trabajo!"""
NpcComOnFailure#0,"""/voice11_voice_navi001_trial_0001_010 Hemos fallado en protegerlos...<br>Todos los ARKS que estaban participando en la zona, retírense inmediatamente."""
