11_voice_NPC_5018_101#0,"""아, 너구나.<br>마침 잘 왔어."""
Chroto_favs_before_020#0,"""자, 이건 너에게 주는 선물이야.<br>받아 줄래?"""
Chroto_favs_after_010#0,"""평소 신세 진 답례라고 할까.<br>뭐, 신경 쓰지 말고 받아 줘."""
Chroto_favs_after_020#0,"""앞으로도 종종<br>신세 좀 질 테니까."""
Chroto_favs_after_030#0,"""그럼 또 보자."""
Chroto_favs_present_010#0,"""클로토에게서 『신서사이저』를 받았습니다."""
Chroto_favs_present_020#0,"""클로토에게서 『에어리얼 슈팅』을 받았습니다."""
Chroto_favs_present_030#0,"""클로토에게서 『새틀라이트 에임』을 받았습니다."""
Chroto_favs_present_040#0,"""클로토에게서 『신서사이저』를 받았습니다."""
Chroto_favs_present_050#0,"""클로토에게서 『불릿 스콜』을 받았습니다."""
Chroto_favs_present_060#0,"""클로토에게서 『메시아 타임』을 받았습니다."""
Chroto_favs_present_070#0,"""클로토에게서 『신서사이저』를 받았습니다."""
Chroto_favs_present_080#0,"""클로토에게서 『인피니티 파이어』를 받았습니다."""
Chroto_favs_present_090#0,"""클로토에게서 『엘더 리벨리온』을 받았습니다."""
Chroto_favs_present_100#0,"""클로토에게서 『신서사이저』를 받았습니다."""
Chroto_favs_present_add_001#0,"""클로토에게서 『<%skit_text>』을 받았습니다."""
Alice_01_10#0,"""다커 이외의 적과 싸우는 걸<br>어떻게 생각하냐고?<br>그거 참 재미있는 질문이네."""
Alice_01_20#0,"""그럼 반대로 우리 아크스가<br>싸우지 않는다면 어떻게 될지<br>생각해 보는 건 어때?"""
Alice_01_30#0,"""다커 침식 피해가 연이어<br>퍼져 나가면 큰일이지.<br>게다가 아무도 막지 못해."""
Alice_01_40#0,"""……알겠어?<br>그냥 내버려 둘 수는 없어."""
Alice_01_50#0,"""조금이라도 내버려 두면<br>돌이킬 수 없는 일이 벌어져."""
Alice_01_60#0,"""아크스는 싸움을 멈춰선 안 돼.<br>누구에게 원망을 사더라도 말이야."""
Alice_01_70#0,"""게다가 다커에게 완전히 침식돼<br>미쳐 버린 생물은 의지를 잃고<br>죽은 것과 다름없는 상태가 돼."""
Alice_01_80#0,"""산송장과도 같은 상태에서<br>구해 주는 일도 아크스의<br>책무이자 자비가 아닐까."""
Alice_01_90#0,"""침식이 많이 진행되지 않았다면<br>구할 수도 있을 테니까."""
Alice_01_100#0,"""……뭐, 그렇게라도 생각하지 않으면<br>버티기 힘들잖아. 특히 연습 임무나<br>그들의 신체 일부를 빼앗을 때 말이야."""
11_voice_NPC_5018_104#0,"""어이, 이 형한테<br>무슨 볼일이야?"""
Kirara_01_20#0,"""뭐?\u3000같이 파티를 짜고 싶다고?<br>음, 미안하지만……<br>나도 꽤 바쁜 몸이라서 말이야."""
11_voice_NPC_5018_100#0,"""그런 부탁은 역시<br>네가 맡는 게 딱 맞지 않을까?"""
Kirara_01_40#0,"""다른 사람이 좋은 대답을 해 주길<br>이 형도 빌어 줄게."""
11_voice_NPC_5018_100#1,"""어이, 나한테 무슨 볼일이야?<br>산타클로스?<br>물론 알고 있지."""
Paty_01_20#0,"""크리스마스 밤에<br>온 세상의 착한 아이들에게 선물을<br>나눠 준다는 할아버지잖아."""
Paty_01_30#0,"""어디 있냐고?<br>그건 나도 모르지만<br>상당한 부자겠지."""
Paty_01_40#0,"""어떻게 자금을 마련하는 걸까?<br>하룻밤 만에 돌다니 타임 어택 달인인가?<br>나도 궁금한걸."""
Paty_01_50#0,"""도움이 못 돼서 미안해.<br>그 산타클로스를 찾으면<br>나한테도 알려 줘."""
Oku_01_010#0,"""나한테 무슨 볼일이야?<br>……밸런타인 선물로<br>뭘 받으면 좋겠냐고?"""
Oku_01_020#0,"""음, 글쎄.<br>돈으로 살 수 있는 건<br>별로 필요 없으려나."""
11_voice_NPC_5018_104#1,"""굳이 꼽자면 내 오더를<br>더 많이 받아 주는 게<br>최고의 선물이겠네."""
Oku_01_040#0,"""다들 강해지고 보상도 받아.<br>그리고 나는 편해지지.<br>어때, 참고가 됐어?"""
11_voice_NPC_5018_100#2,"""훌륭한 아크스가 되는 비결은<br>너무 열심히 하지 않는 거랄까.<br>적당히, 대충대충."""
11_voice_NPC_5018_101#1,"""아크스가 됐다고<br>필사적이어야 할 의무는 없으니<br>적당히 노력하는 게 최고야."""
11_voice_NPC_5018_105#0,"""아크스에 환상을 품은 아이가 많지만<br>현실은 그렇게 달콤하지 않거든.<br>지나친 기대는 마음의 독이야."""
11_voice_NPC_5018_104#2,"""음…… 좀 더 효율적으로<br>농땡이칠 방법은 없으려나……"""
11_voice_NPC_5018_102#0,"""왜 그렇게 의욕이 없냐고?<br>그럼 반대로 묻지. 의욕이 있다는 건<br>대체 뭘 뜻하는 걸까?"""
Chroto_05_020#0,"""앞장서서 설치는 것?<br>한결같이 돌진하는 것?<br>그런 거라면 난 의욕 없어도 돼."""
11_voice_NPC_5018_103#0,"""아크스의 일이란 건<br>다커를 쓰러뜨리는 것만이 아니야.<br>그 밖에도 할 일이 산더미라고."""
11_voice_NPC_5018_102#1,"""다커나 원생 생물을 잘 쓰러뜨리면<br>의욕이 있다고 하는 걸까?<br>뭐, 살의라면 맞는 말이겠네."""
11_voice_NPC_5018_102#2,"""나섰다간 얻어맞아.<br>어느 세상이나 똑같지."""
Chroto_08_020#0,"""비밀리에 여러 일을 하고 있다면<br>적어도 겉으로는 조용히 있는 게<br>좋다는 뜻이야."""
11_voice_NPC_5018_106#0,"""여긴 성격이 다양한 사람이 있지만<br>넌 드문 편이네. 담백한 느낌이야.<br>너 같은 사람이 많아지면 좋겠어."""
11_voice_NPC_5018_105#1,"""우리가 한 일은 어딘가에서<br>누군가 보고 있을지도 몰라.<br>하지만 우리는 알 수 없지."""
Chroto_10_020#0,"""그러니 더욱 신중하게<br>경계해야 하는 거야.<br>의욕 없다는 소릴 듣더라도."""
11_voice_NPC_18_106#0,"""다크 펄스는 부활했어.<br>하지만 아크스의 눈빛은<br>아직 죽지 않았지."""
Chroto_mb9_020#0,"""지금 이렇게 격퇴했다는<br>사실이 있기 때문이야.<br>네 활약은 결코 헛되지 않았어."""
11_voice_NPC_18_106#1,"""다크 펄스는 부활했어.<br>하지만 아크스의 눈빛은<br>아직 죽지 않았지."""
Chroto_mb10_020#0,"""지금 이렇게 격퇴했다는<br>사실이 있기 때문이야.<br>네 활약은 결코 헛되지 않았어."""
11_voice_NPC_5018_104#3,"""우리가 한 일은 어딘가에서<br>누군가 보고 있을지도 몰라.<br>하지만 우리는 알 수 없지."""
Chroto_mb11_020#0,"""그러니 더욱 신중하게<br>경계해야 하는 거야.<br>의욕 없다고 비난받더라도."""
11_voice_NPC_5018_104#4,"""우리가 한 일은 어딘가에서<br>누군가 보고 있을지도 몰라.<br>하지만 우리는 알 수 없지."""
Chroto_mb12_020#0,"""그러니 더욱 신중하게<br>경계해야 하는 거야.<br>의욕 없다고 비난받더라도."""
11_voice_NPC_5018_104#5,"""음…… 움직이기 시작한 건가……<br>아, 아니야. 혼잣말이야.<br>신경 쓰지 마."""
11_voice_NPC_5018_104#6,"""음…… 움직이기 시작한 건가……<br>아, 아니야. 혼잣말이야.<br>신경 쓰지 마."""
11_voice_NPC_5018_104#7,"""어떻게 움직여야 할지 모를 때는<br>네가 생각한 대로 움직이면 돼."""
11_voice_NPC_5018_100#3,"""넌 옳은 일을 하고 있어.<br>그 사실을 언제까지나 잊지 마.<br>……이 형이 해 주는 조언이야."""
11_voice_NPC_5018_104#8,"""이 결말은 말이지…… 나한테도<br>기쁜 일이야. 그러니 넌<br>좀 더 당당해져도 돼."""
11_voice_NPC_5018_100#4,"""넌 네가 옳다고 믿는 바를<br>끝까지 관철하면 돼."""
Chroto_mb18_020#0,"""결과는 전부 나중에 따라와.<br>세상일은 대개 그런 법이야."""
Chroto_mb20_010#0,"""원인을 알 수 없다는 건<br>가장 경계해야 할 일이야."""
11_voice_NPC_5018_104#9,"""요즘은 그런 현상이 많아.<br>조금 신경 쓰이네.<br>그래, 신경 쓰여."""
11_voice_NPC_5018_100#5,"""넌 너답게<br>스스로 믿는 길을 가면 돼."""
Chroto_mb22_020#0,"""네가 포기하지 않는 그 자세가<br>난 아주 마음에 들어."""
11_voice_NPC_5018_104#10,"""많은 사람이 널 위해<br>힘이 되어 주려 하고 있어.<br>물론 나도 그렇고."""
11_voice_NPC_5018_100#6,"""그래서 이 형이 조언 하나 할게.<br>너는 너답게.<br>스스로 믿는 길을 가."""
11_voice_NPC_5018_100#7,"""네 강한 의지가 있었기에<br>모두 하나로 뭉칠 수 있었어."""
Chroto_mb24_after_020#0,"""난 그게 정말 기뻐.<br>앞으로도 네가 믿는 길을<br>끝까지 걸어가면 돼."""
11_voice_NPC_5018_100#8,"""네 활약을 계기로<br>아크스가 다시 변하려 하고 있어."""
Chroto_mb25_020#0,"""어떤 모습이 될지는 모르지만<br>분명 좋은 변화일 거야."""
st01_010#0,"""네가 쉬는 동안에도 아크스는<br>차질 없이 움직이고 있었어."""
st01_020#0,"""다크 펄스도 나타났지만<br>뭐, 어떻게든 되는 법이야.<br>대부분의 일은 말이지."""
11_voice_NPC_5018_100#9,"""그러니 너무 혼자 짊어지지 말고<br>느긋하게, 마음 편히 힘내."""
11_voice_NPC_5018_100#10,"""지구라는 행성은<br>왠지 묘한 느낌이 들지."""
st01_020#1,"""아크스와 비슷한 기술도 있는 듯하고<br>그 부분이 아주 신경 쓰여."""
11_voice_NPC_5018_100#11,"""다커를 상대할 때와는 달라서<br>곤란한 일도 많지 않을까."""
st01_020#2,"""뭐, 여러 생각이 들겠지만<br>너무 긴장하지 말고 힘내."""
11_voice_NPC_5018_100#12,"""역시 다커를 상대할 때와 다르네.<br>이쪽의 시스템까지 이용하고 있어."""
st01_020#3,"""사람과 싸우는 건 귀찮네.<br>가능하면 엮이고 싶지 않아."""
st01_010#1,"""정보부도 일단 어스 가이드의<br>지도자를 의심하며 움직였던<br>모양이야."""
st01_020#4,"""하지만 그는 빈틈을 보이지 않았어.<br>그래서 지금까지 함께해 왔고<br>……마지막에 뒤통수를 맞았네."""
11_voice_NPC_5018_100#13,"""준비도 정보도 완벽해.<br>하지만 이럴 때일수록 방심은 금물이야."""
sq00_020#0,"""뜻밖의 일이 벌어지는 건<br>늘 모두가 괜찮다고<br>생각할 때거든."""
11_voice_NPC_5018_100#14,"""농담으로 한 말이었는데<br>정말 큰일이 벌어질 줄이야……<br>좀 반성해야겠어."""
sq01_020#0,"""그래도 샤오도 이런 사태를<br>어느 정도 예상했던 모양이야.<br>그래서 네 반응을 추적할 수 있었지."""
sq01_030#0,"""유비무환이라고 하잖아.<br>뭐, 어쨌든 무사해서 다행이야."""
sq08_010#0,"""유크리타가 사라지는 걸 나도 봤어.<br>갑작스러워서 자세히<br>본 건 아니지만."""
11_voice_NPC_5018_104#11,"""하지만 그건 실종이라기보다<br>아크스의 전송에 가까워 보였어."""
sq08_030#0,"""그러니까 어딘가에는 있다는 뜻이야.<br>정보부도 나서서 수색 중인 모양이야.<br>남 일만도 아닌가 보네."""
11_voice_NPC_5018_100#15,"""사라졌던 아이들은 다들 무사히<br>돌아온 모양이네.<br>이야, 다행이야."""
sq10_020#0,"""이 실종 사건이 해결되지 않았다면<br>모든 아크스가 같은 실종을<br>경계해야 했을 테니까."""
sq10_030#0,"""해결할 수 있는 일이라 다행이야.<br>큰 공을 세웠네. 누구 공인지는<br>나도 모르지만 말이야."""
sq13_010#0,"""종말의 여신이라는 자에 대해선<br>정보부가 필사적으로 조사하고 있어.<br>아우로라에게도 협조를 요청했고."""
sq13_020#0,"""그래도랄까, 역시랄까.<br>기록은 거의 남지 않은 모양이야."""
11_voice_NPC_5018_105#2,"""실패한 기록은 남기고 싶지 않다는<br>마음은 이해 못 할 것도 없지만……<br>……정말이지 너무 귀찮네."""
11_voice_NPC_5018_104#12,"""지금까지도 힘든 일은 있었지만<br>이야, 이번엔 차원이 다르네.<br>정말 골치 아파."""
ep6_sq00_02#0,"""수호휘사와 육망균형이 전력으로 싸워도<br>상대가 안 될 정도니까.<br>이야, 정말 골치 아프네."""
11_voice_NPC_5018_105#3,"""곤란하게 됐네.<br>나도 이건 꽤 당황스러워."""
ep6_sq01_02#0,"""그래도 불행 중 다행이랄까.<br>관제를 한 사람에게 집중하지 않은 체제가<br>이제 와 빛을 발했네."""
ep6_sq01_03#0,"""할 수 있는 만큼 힘내야겠네.<br>물론 너희만이 아니라<br>우리 모두 말이야."""
11_voice_NPC_5018_100#16,"""이야, 정말 수고했어.<br>분위기가 밝아져서 다행이야."""
ep6_sq02_02#0,"""관리와 관제를 샤오에게만 맡기지 않고<br>시에라도 처리할 수 있어 다행이었다고<br>말할 수도 있겠지만……"""
ep6_sq02_03#0,"""희망이나 사기처럼 형태 없는 건<br>대체할 수 없으니까.<br>동료를 잃어선 안 된다는 뜻이야."""
11_voice_NPC_5018_104#13,"""음…… 쓰라린 현실이라는 건가.<br>생각보다 적의 우두머리가 까다롭네."""
ep6_sq02_01_02#0,"""모두가 한마음으로<br>너무 열심히 나섰던 터라<br>역시 충격이 크네……"""
ep6_sq02_01_03#0,"""그래도 적 함대와 대등하게 맞섰다는<br>사실도 잊어선 안 돼.<br>실패와 성과, 둘 다 봐야지."""
ep6_sq04_01_01#0,"""적의 공세가 더욱 거세졌네.<br>그 녀석들이 여유를 잃을 만큼<br>몰아붙인 걸까?"""
11_voice_NPC_5018_100#17,"""이런 때에도<br>넌 역시 조금도 동요하지 않네.<br>이야, 정말 너다워서 좋아."""
ep6_sq04_01_03#0,"""하지만 숨 돌릴 틈도 필요해.<br>계속 긴장한 채로는<br>버틸 수 없으니까."""
11_voice_NPC_5018_100#18,"""이야, 넌 역시 대단하네.<br>아무리 박수갈채를 보내도<br>성에 차지 않을 정도야."""
text02#0,"""긴 싸움이 끝나고<br>기적 같은 평화가 찾아왔다.<br>대단원을 맞은 이야기 같네."""
11_voice_NPC_5018_101#2,"""뭐, 어쨌든<br>이제 난 당당히 농땡이칠 수 있겠어.<br>이야, 솔직히 기쁘네."""
