11_voice_NPC_5091_100#0,"""아, 선배였구나.<br>마침 잘 왔어."""
Io_favs_before_020#0,"""저기…… 자, 이거.<br>받아 줘."""
Io_favs_after_010#0,"""……늘 신세 지고 있으니까.<br>그, 답례야."""
Io_favs_after_020#0,"""아, 알았어. 그런 표정 짓지 마.<br>나도 나답지 않다는 건 알아.<br>그래도 감사는 전해야 하잖아."""
Io_favs_after_030#0,"""자, 자. 건네줬다.<br>됐으니 이제 가 봐.<br>……또 봐, 선배."""
Io_favs_present_010#0,"""이오에게서 『샤프 보머』를 받았습니다."""
Io_favs_present_020#0,"""이오에게서 『페네트레이트 애로우』를 받았습니다."""
Io_favs_present_030#0,"""이오에게서 『신시사이저』를 받았습니다."""
Io_favs_present_040#0,"""이오에게서 『토렌셜 애로우』를 받았습니다."""
Io_favs_present_050#0,"""이오에게서 『신시사이저』를 받았습니다."""
Io_favs_present_060#0,"""이오에게서 『그래비티 포인트』를 받았습니다."""
Io_favs_present_070#0,"""이오에게서 『신시사이저』를 받았습니다."""
Io_favs_present_080#0,"""이오에게서 『카미카제 애로우』를 받았습니다."""
Io_favs_present_090#0,"""이오에게서 『신시사이저』를 받았습니다."""
Io_favs_present_100#0,"""이오에게서 『마스터 슛』을 받았습니다."""
Io_favs_present_011#0,"""이오에게서 『포톤 스피어』를 받았습니다."""
Io_favs_present_021#0,"""이오에게서 『토렌셜 애로우』를 받았습니다."""
Io_favs_present_031#0,"""이오에게서 『엑스큐브』를 받았습니다."""
Io_favs_present_041#0,"""이오에게서 『익스트림 패스』를 받았습니다."""
Io_favs_present_051#0,"""이오에게서 『트릿 슈터』를 받았습니다."""
Io_favs_present_061#0,"""이오에게서 『트라이부스트 +50%』를 받았습니다."""
Io_favs_present_071#0,"""이오에게서 『능력 추가 성공률 +10%』를 받았습니다."""
Io_favs_present_081#0,"""이오에게서 『강화 리스크 경감 (+2)』를 받았습니다."""
Io_favs_present_091#0,"""이오에게서 『라스트 네메시스』를 받았습니다."""
Io_favs_present_101#0,"""이오에게서 『밀리언 스톰』을 받았습니다."""
