msc_011330_0010#0,"""...Uff."""
msc_011330_0020#0,"""Buena lucha, Aina."""
msc_011330_0030#0,"""Gracias, Manon."""
msc_011330_0040#0,"""Estamos de nuevo en línea. Las señales de Daedal ha sido neutralizada."""
msc_011330_0050#0,"""¿Los tres habéis derribado un Daedal? Eso es increíble!"""
msc_011330_0060#0,"""¿Qué fue eso?"""
msc_011330_0070#0,"""Comprobando ahora... Espera, ¿qué?"""
msc_011330_0080#0,"""Mientras patrullaba el Bosque Resol, el equipo de Bruder se quedó en silencio..."""
msc_011330_0090#0,"""Que?!"""
msc_011330_0110#0,"""¡Escaneando los alrededores ahora!"""
msc_011330_0120#0,"""Ran, emite una asamblea de emergencia a todos los ARKS"""
msc_011330_0130#0,"""Entendido."""
msc_011330_0140#0,"""Asamblea de emergencia de Crawford. Todos los ARKS, por favor, vuelvan a Ciudad Central."""
msc_011330_0150#0,"""Vaya, de acuerdo."""
