name_7006#0,"""Staggy."""
msn_011350_020_0001#0,"""¡Hey! Has hecho una sabia elección al venir a Central. ¡Bienvenido!"""
msn_011350_020_0002#0,"""Luchamos, ganamos, y ganamos, hasta que nuestro equipo es el mejor. Aquí es donde se hacen los sueños, amigo"""
msn_011350_020_0101#0,"""¿Oh? ¿Qué es eso, dices?"""
msn_011350_020_0102#0,"""¿Dices que quieres algún conocimiento que sea útil en el combate?"""
msn_011350_020_0103#0,"""¡Pensé que nunca lo pedirías!"""
msn_011350_020_0104#0,"""¿Estás listo para esto? Escuchen. Las armas... ¡se pueden combinar!"""
msn_011350_020_0105#0,"""Se llaman Armas múltiples y sí, son tan increíbles como suenan. ¿Quieres intentar hacer una?"""
msn_011350_020_0106#0,"""Las armas múltiples se pueden hacer en, lo has adivinado, el Laboratorio de Objetos"""
msn_011350_020_0107#0,"""Puedes combinar dos armas que compartan la misma línea de marca: Prim con Prim, Resurge con Resurge, etc."""
msn_011350_020_0108#0,"""Oh, pero necesitarás mineral para actuar como catalizador. ¡No lo olvides!"""
msn_011350_020_0109#0,"""¡Pero espera, hay más! Te daré esas menas y minerales, sólo por esta vez, a cuenta de la casa. Ahora vete al laboratorio de objetos"""
msn_011350_020_0201#0,"""Obtenido Photon Quartz x20, y 50000<pict reb_meseta> Meseta."""
msn_011350_020_0301#0,"""Obtenido Photon Quartz x2, y 200<pict reb_meseta> Meseta."""
msn_011350_020_0401#0,"""¿Bien? ¿Qué se siente al hacer tu propia arma múltiple?"""
msn_011350_020_0402#0,"""No sé qué es, pero hay algo hermoso en la combinación, ¿sabes?"""
msn_011350_020_0403#0,"""Por no hablar de que la combinación de armas prácticamente duplica tus opciones de ataque. ¡Uf, qué emoción!"""
msn_011350_020_0404#0,"""¡Ahora sal, prueba diferentes combinaciones y crea armas de auténtico nivel!"""
