un_041010_0010#0,"""……よう、センパイ。"""
un_041010_0020#0,"""Verte aquí significa que ya te has relajado un poco ¿No?"""
un_041010_0030#0,"""Pensé que sería problemático si te molestara tan pronto después de despertar, y probablemente estuvieras ocupado de todos modos. Así que esperé aquí, para que no me interponga en tu camino."""
un_041010_0040#0,"""Me pregunto... ¿Cuánto tiempo ha pasado desde que fuimos capaces de conocernos?"""
un_041010_0050#0,"""He oído que has estado durmiendo durante un tiempo...<br>No es que me preocupe, pero es más seguro encontrarme y hablar contigo."""
un_041010_0060#0,"""Sé que estás pensando que no es un gran problema, pero fue bastante tiempo el que estubiste durmiendo."""
un_041010_0070#0,"""1. Parece que has madurado."""
un_041010_0080#0,"""2. Te has vuelto más hermosa"""
un_041010_0090#0,"""¿Lo crees? Bueno, quiero decir... Si el tiempo pasa, incluso voy a madurar, ¿Sabes?"""
un_041010_0100#0,"""He-hermosa? Tú has estado fuera por mucho tiempo, después de todo. Soy capaz de crecer también, ¿Sabes?"""
un_041010_0110#0,"""Ya sabes senpai, intentando avergonzarme diciendo algo raro es una pérdida de tiempo."""
un_041010_0120#0,"""Me he acostumbrada a ser molestada, no voy a perder el equilibrio por eso..."""
un_041010_0130#0,"""Senpai, ¡Estás cerca!, ¡Demasiado cerca!"""
un_041010_0140#0,"""Por Dios, siempre actúa tan de repente!, ¡Si haces demasiadas cosas extrañas, voy a decirle a Matoi!"""
un_041010_0150#0,"""Haha, cuando tenemos estos intercambios, se siente como si realmente has vuelto."""
un_041010_0160#0,"""Sé que estoy tarde haciéndolo, pero... Bienvenido de nuevo, senpai. He estado esperandote."""
linewindow001#0,"""Ahora puedes llamar a Io (EP4) como compañera."""
