un_043110_0010#0,"""Oh hey <%me>, me estaban contando una historia sobre ti."""
un_043110_0020#0,"""Algo, de que si me desarrollara mejor, su orgullo sería esto y esto. ¿No entiendo el contexto detrás de ello, por tanto me podría explicar?"""
un_043110_0030#0,"""Es como dije antes, si Sara fuera más grande, entonces yo habría sido más grande también, y yo tendría una compostura agradable con un aura similar!..."""
un_043110_0040#0,"""Oh, hay algo mal Hitsugi?"""
un_043110_0050#0,"""Oh, uh, nada demasiado grande."""
un_043110_0060#0,"""¿Huh? No pareces muy entusiasta, ¿Ok?"""
un_043110_0070#0,"""¿Quizás es algo que hiciste desde la última vez que te vi?"""
un_043110_0080#0,"""...Bueno, ya ves, el hermano mayor de la hermana mayor acába de morir."""
un_043110_0090#0,"""¿¡En realidad se convirtió en algo serio!? Espera, ¡Debo parecer alguien que no puede leer el estado de ánimo!..."""
un_043110_0100#0,"""No hay necesidad de preocuparse!, ¡Todas las cosas consideradas como mis hermanos están todas muertas y las he perdido todas!, ¡Somos lo mismo!, ¡Lo mismo!"""
un_043110_0110#0,"""¡Eso es totalmente diferente! Y tu respuesta fue horrible!"""
un_043110_0120#0,"""Incluso si usted me ha dicho que!... Oh, claro! <%me>! Muéstranos esa cosa!, ¡Esa cosa que haces que conforta a la gente!"""
un_043110_0130#0,"""Está bien. Tienes experiencia en este tipo de cosas, <%me>, puedes hacer algo al respecto."""
un_043110_0140#0,"""Eheha. Estoy bien, no necesito consuelo. Estoy bien. Siento haberte preocupado."""
un_043110_0150#0,"""Bien, si me deprimo, todo el mundo se preocupará. Tengo que trabajar en ocultar este sentimiento."""
un_043110_0160#0,"""Todo el mundo, gracias. Estoy bien, así que por favor no te preocupes por mí. Ahora... Vamos Aru."""
un_043110_0170#0,"""<%me>. Probablemente ya lo sabes, pero Hitsugi se está esforzando demasiado."""
un_043110_0180#0,"""Sabes lo peligroso e inprudente que puede ser una persona cuando está así, ¿Verdad? Por favor, mantenga un ojo en ella tanto como sea posible."""
