un_047030_0010#0,"""Ohh, es tan grande... ¿Así que está es la sede de Earth Guide?"""
un_047030_0020#0,"""Espera, Kohri, no andes corriendo haciendo cosas. Es grosero, ya que nos invitaron a venir aquí."""
un_047030_0030#0,"""Mira quien habla. Se comporta igual que cierta persona."""
un_047030_0040#0,"""Callate."""
un_047030_0050#0,"""Kohri Washinomiya, soy Sir Ardem Sacred."""
un_047030_0060#0,"""Junto con enga y Hitsugi, estoy encantado de conocerte. Uno que seguramente llevará el futuro de la evolución de la tierra."""
un_047030_0070#0,"""Uhh, gracias por tu hospitalidad. Sin embargo, no soy tan increíble."""
un_047030_0080#0,"""No hay necesidad de ser humilde. Para la Tierra, la cual ha alcanzado el límite en su evolución, aquellos que pueden usar ether, como tú, son la clave de la evolución."""
un_047030_0090#0,"""Espero que todos puedan sentirse orgullosos de sus habilidades. Ese poder introducirá una nueva evolución a la Tierra, una luz de esperanza. Dense cuenta de que van a continuar a la próxima era de la Tierra."""
un_047030_0100#0,"""Incluso si me dices todo eso, estoy contenta con que solo pueda quedarme junto a Hitsugi."""
un_047030_0110#0,"""Todo lo que quiero hacer es salvar a Aru. Así que todo eso es más bien... Hermano, cuento con tu apoyo."""
un_047030_0120#0,"""Ya estoy harto de escuchar eso. Vas a decir que a todo el mundo, sí."""
un_047030_0130#0,"""Por supuesto, es un hecho."""
un_047030_0140#0,"""Esto es algo que no se puede confiar sólo en <%me> o ARKS. Este es un problema solo para la Tierra."""
un_047030_0150#0,"""La evolución en la Tierra se ha estancado. Y si no empujamos a las personas que han llegado a sus límites en una nueva etapa, todo lo que nos espera es la muerte de la Tierra."""
un_047030_0160#0,"""Mientras que la derrota de mother es importante, la planificación para el futuro es importante."""
un_047030_0170#0,"""Eso suena como algo que un vendedor lanzaría. Cuidado, o usted puede ser atrapado en sus propias palabras."""
un_047030_0180#0,"""Esta bien. Confío en tus habilidades, Enga."""
un_047030_0190#0,"""Ah, claro, tenía una reunión programada. Mis disculpas, pero debo partir ahora. Por favor sientanse como en casa."""
un_047030_0200#0,"""Ardem parece muy ocupado."""
un_047030_0210#0,"""Bueno, él tiene mucha influencia, por lo que está siendo arrastrado a diferentes conflictos como mediador y negociador."""
un_047030_0220#0,"""Estoy seguro de que está bien recompensado por su ayuda, así que no hay necesidad de simpatías por él."""
un_047030_0230#0,"""No me gusta... Me frota como una especie de loco."""
un_047030_0240#0,"""Insano dices... Siempre está sufriendo debido al mundo, pero recientemente, él parece diferente."""
