st_045100_0001#0,"""A.P.241/4/17/15:50"""
st_045100_0040#0,"""¿Hitsugi... Yasaka?"""
st_045100_0050#0,"""Herma-na..."""
st_045100_0060#0,"""……アル。"""
st_045100_0070#0,"""Estoy tan contento, hermanita... Te despertaste y estoy tan... Contento......"""
st_045100_0080#0,"""Hmm, Me llevara un tiempo acostumbrarme. No importa, estoy segura de que lo controlaré completamente pronto."""
st_045100_0090#0,"""...¿Dónde está Aru?"""
st_045100_0100#0,"""Lo acábas de ver con tus propios ojos, Hitsugi. He absorbido ese catalizador."""
st_045100_0110#0,"""Me alegra que hayas despertado. Combinado con su escape de la luna, su acceso aquí a través de PSO2 muestra una gran promesa. Sin embargo... Llegaste un poco tarde."""
st_045100_0120#0,"""Aru esta... En Mother... ¿Quieres decir que está dentro de ti?"""
st_045100_0130#0,"""Sí... ¿Qué pasa con eso?"""
st_045100_0140#0,"""Ya veo..."""
st_045100_0150#0,"""Qué extraña y desagradable risa, Hitsugi Yasaka. No puedo entender por qué estás sonriendo."""
st_045100_0160#0,"""Hay mucho para ser una niña. La cobardía, la frustración, la ira... Con todos aquellos<br>mezclados, todo lo que puedo hacer ahora es reír."""
st_045100_0170#0,"""Deberías volver a dormir una vez más. La próxima vez que te despiertes, todo debe estar terminado.."""
st_045100_0180#0,"""Pero, ya sabes... Finalmente entiendo. Entiendo lo que necesito hacer."""
st_045100_0190#0,"""¿Qué?..."""
st_045100_0200#0,"""Yo era una idiota descuidada, imprudente, actuando sin pensar. Lamentandome y llorando por todo."""
st_045100_0210#0,"""Pero, ya he experimentado todo eso. No volveré a actuar así. Nunca olvidaré esos sentimientos.."""
st_045100_0220#0,"""Odio tener miedo, y odio tener dolor. Pero por encima de todo, ¡Odio estar sola!"""
st_045100_0230#0,"""¡Ya no quiero perder a nadie!, ¡No quiero que nadie desaparezca!, ¡Protegeré las cosas que me importan!"""
st_045100_0240#0,"""Eso es, cierto... ¡Es natural!, ¡El lugar al que pertenezco es... El lugar donde me paro ahora mismo!"""
st_045100_0250#0,"""Por eso... ¡Ya no me engañaré!"""
st_045100_0260#0,"""¿Qué es... Esa armadura... Esa apariencia?!... ¡No hay registros de eso dentro de mí!"""
st_045100_0270#0,"""Esa es... Una de las tres espadas de los dioses... ¿Ame-no-Murakumo?"""
st_045100_0280#0,"""Voy a salvar a todos!."""
st_045100_0290#0,"""Llámame codiciosa, si quieres. Pero eso es lo que voy a hacer."""
st_045100_0300#0,"""Esa es la decisión que tomamos juntos por eso."""
st_045100_0310#0,"""Mother!, ¡Te voy a derrotar y recuperar a Aru!, ¡Ese es mi único objetivo!"""
st_045100_0320#0,"""¡Esto es lo que he elegido!"""
st_045100_0330#0,"""¡Tch!, ¡Kohri Washinomiya!"""
st_045100_0340#0,"""¡¿Qué?!, ¡Ni siquiera se movía!, ¡Esto es completamente diferente de la anterior hitsugi!"""
st_045100_0350#0,"""¿Estás diciendo que su vacilante voluntad se ha solidificado por completo?"""
st_045100_0360#0,"""...<%me>, Matoi, Hitsugi... Todos están haciendo su mejor esfuerzo."""
st_045100_0370#0,"""Como administradora, ¡No puedo quedarme aquí sentada y rendirme!"""
st_045100_0380#0,"""¡Nave ARKS a administradoras High CAST!<br>El poder de las tipo Xiera...<br>¡No se debe subestimar!"""
st_045100_0390#0,"""¿Retirar los controles de la nave y ponerlos bajo tu control? Lo has hecho ahora, ¡Sobrina!"""
st_045100_0400#0,"""Me parece ofensivo que usted piense que soy sólo una niña inquieta."""
st_045100_0410#0,"""Sin embargo... Recuperar los controles es mi<br>límite. Controlar todos los datos a través de la nave es... La asistencia adicional no es... Posible."""
st_045100_0420#0,"""Si es posible, quisiera destruir está nave. Sin embargo, la situación se volvió contra nosotros. El tiempo ha llegado."""
st_045100_0430#0,"""Nos iremos de este lugar. Ophiel, activa el campo de aislamiento."""
st_045100_0440#0,"""¡Pero Mother! Hitsugi esta..."""
st_045100_0450#0,"""Aguanta por ahora pronto habrá otra oportunidad."""
st_045100_0460#0,"""Hitsugi, solo espera!, ¡Voy a volver por ti, no importa qué!"""
st_045100_0470#0,"""...Kohri. """
st_045100_0480#0,"""¿Estás bien, Xiera?"""
st_045100_0490#0,"""Eres Hitsugi, ¿Verdad?"""
st_045100_0500#0,"""Señorita. Matoi... <%me>..."""
st_045100_0510#0,"""Lo siento, lo siento mucho... No pude proteger a Aru..."""
st_045100_0520#0,"""1. Debió haber sido doloroso."""
st_045100_0530#0,"""2. Bienvenida de nuevo."""
st_045100_0540#0,"""Fue doloroso. Pero eso se acabó... No importa ahora."""
st_045100_0550#0,"""Sí, estoy de vuelta. Pero este no es el momento para celebrar.'"""
st_045100_0560#0,"""Lo siento, <%me>. Debido a que he sido tan<br>indecisa, no logré llegar a tiempo, y se llevaron a Aru."""
st_045100_0570#0,"""Pero definitivamente lo recuperaré. No solo Aru, salvaré a todos. Eso es lo que he elegido."""
st_045100_0580#0,"""No importa cuán egoísta digas que sea, lo voy a hacer. Porque lo he decidido."""
st_045100_0590#0,"""Después de todo, el trabajo de una hermana mayor es salvar a su hermano pequeño. Solo espérame, Aru."""
skit01#0,"""Porque lo he decidido"""
skit02#0,"""Determinacion"""
