un_045040_0001#0,"""A.P.20xx/x/x"""
un_045040_0010#0,"""...Como he dicho, al hacer una nueva clase, ¡Usted debe recibir las bendiciones de las otras clases!"""
un_045040_0020#0,"""Usando el encanto y la ternura de eso y poniendo en peligro la clase Bouncer .. ¡Incluso si ARKS te perdona, no lo haré!"""
un_045040_0030#0,"""Incluso si usted dice eso, todavía hay un problema. Summoner ya está aprobado por ARKS. ¿No es demasiado tarde para recuperarlo?"""
un_045040_0040#0,"""Además, ella es la que no me deja ir! ¿No es así?<br>¡Catherine!"""
un_045040_0050#0,"""Ahaha, duele, duele Catherine!"""
un_045040_0060#0,"""O-oh... Que lindo..."""
un_045040_0070#0,"""¡Espera!, ¡No!, no puedes ser seducida por está muestra de afecto, ¡Katori!, ¡Sería una desgracia para la clase Bouncer!"""
un_045040_0080#0,"""Oh, eres tu. No te preocupes, no hay problemas aquí."""
un_045040_0090#0,"""Katori sólo tiene quejas personales sobre la clase Summoner."""
un_045040_0100#0,"""Summoner, ¿Correcto? es una interesante clase experimental. Sin embargo, no tengo ningún interés en que las bestias luchen por mí."""
un_045040_0110#0,"""Además, el momento en el que la clase fue aprobada es increíble. Si hubiera sido aprobado antes de que Katori fuera elegida como líder de clase para Bouncer, habría sido difícil de tratar."""
un_045040_0120#0,"""Aunque su pereza no ha cambiado. Su forma de pensar \""Si no peleo entonces puedo tomarlo con calma!\"" Definitivamente habría aceptado Summoner."""
un_045040_0130#0,"""Pero ahora su maestría con Bouncer ha mejorado, sería un desperdicio dejar ir esa habilidad."""
un_045040_0140#0,"""Sin embargo, se queja de que Summoner le permite ser relajado. Y eso es más o menos"""
un_045040_0150#0,"""Saga, ¿No tienes nada que decir? ¡Esto tiene que ver con el honor de Bouncers!"""
un_045040_0160#0,"""¿Porque Summoner es una clase perezosa?. ¡No es justo en absoluto!"""
un_045040_0170#0,"""Deja de esparcir rumores."""
un_045040_0180#0,"""Oh, ¡<%me>! ¿Podrías dar algún comentario también? por favor ¡<%me>!"""
un_045040_0190#0,"""Oh, si es mi amigo, ¡Mira, Catherine también está bien! ¿Cómo están sus hijos, están haciendolo bien también?"""
un_045040_0200#0,"""Huh, ¿¡Mi amigo..?!, No es posible, <%me> ha caído presa de la magia negra del ¿¡Summoner!?..."""
un_045040_0210#0,"""¡<%me>! ¿Qué significa esto? incluso cuando me tienes a mi, también eliges a Summoner sobre... ¿¡Bouncer!?"""
un_045040_0220#0,"""¡Según su respuesta, tal vez haya posibilidad de que también pudiera ser Summoner también! ¿Verdad Saga?!"""
un_045040_0230#0,"""Denegado.<br>Ahora, es hora de comenzar su entrenamiento Katori."""
un_045040_0240#0,"""Espera, yo no he terminado todavía... Más bien, me gustaría también poder tener libertad en mi elección de clase!, ¡Libertad!"""
un_045040_0250#0,"""Este es su deber como representante de la clase Bouncer. Si quieres libertad de elección, entonces completa tus deberes primero."""
un_045040_0260#0,"""Pero la formación no es igual a los deberes, ¡Esto no tiene ningún sentido!"""
un_045040_0270#0,"""Haha, qué persona enérgica, ¿Verdad Catherine? sin embargo, ella era bastante dura en su crítica. Pero nunca te dejaré, nunca te dejaré..."""
un_045040_0280#0,"""Waaah, Catherine, ¡Sé que estás emocionada! pero ¿Podrías dejar de atacar mi pierna? Ow, ¡Eso duele!, ¡Ah, detente!"""
