un_043090_0001#0,"""A.P.2028/x/xx"""
un_043090_0010#0,"""Hemos conocido a bastantes personas, pero todas parecen tan felices cuando hablan contigo, <%me>."""
un_043090_0020#0,"""No sé cómo decir esto, <%me>, pero parece que eres una persona increíble."""
un_043090_0030#0,"""1. Realmente no."""
un_043090_0040#0,"""2. Puedes admirarme más."""
un_043090_0050#0,"""No, realmente lo eres. Por lo menos desde mi perspectiva, usted lo es."""
un_043090_0060#0,"""Si cambiamos de lugar, ¿No te sentirías mal diciendo algo así?"""
un_043090_0070#0,"""Creo que es bueno poder saludar a la gente donde quiera que vayas."""
un_043090_0080#0,"""En la escuela, yo era libre de hacer lo que<br>quisiera.<br>A pesar de que era popular entre los<br>profesores, no pude acostumbrarme a la gente de mi de edad."""
un_043090_0090#0,"""Ya que Kohri estuvo conmigo todo el tiempo, eso no me importó. Con más razón la gente dejó de intentar acercarse a mí..."""
un_043090_0100#0,"""<%me>, Te envidio por la manera en que todos te tratan, eso es todo."""
un_043090_0110#0,"""¿Qué estoy diciendo? Me pregunto si estoy empezando a ser ingenua después de venir a un mundo diferente. Esto no es como yo en absoluto."""
un_043090_0120#0,"""Eres increíble, hermana mayor."""
un_043090_0130#0,"""アル？"""
un_043090_0140#0,"""Eso es porque me has salvado, al igual que <%me>. Eres increíble también, sabes."""
un_043090_0150#0,"""...Gracias, Aru."""
