un_043070_0001#0,"""A.P.2028/x/xx"""
un_043070_0010#0,"""Xiera, estoy entrando... Lo sabía. <%me> está aquí también."""
un_043070_0020#0,"""Oh, Sara. ¿Qué pasa? Es raro verte aquí."""
un_043070_0030#0,"""Escuché que <%me> volvió, así que vine aquí a ver por mí misma, mientras que fue llamado por Claris Claes."""
un_043070_0040#0,"""He oído que te involucraste en otro problema molesto, pero parece que todavía estás lleno de vida."""
un_043070_0050#0,"""¿Eh?, ¿Todavía no has oído hablar de Xiao?"""
un_043070_0060#0,"""Sólo recibí una nota diciendo que <%me> había regresado, sin más detalles."""
un_043070_0070#0,"""Sus mensajes son cada vez más negligentes. ¿Qué cree que un presentador debe ser? Tal vez debería confrontarlo y decir que lo pospondré."""
un_043070_0080#0,"""1. ¿Cómo está Xiao?"""
un_043070_0090#0,"""2. Xiao debe haber estado solo."""
un_043070_0100#0,"""Esa es mi linea. Está siendo escondido en el centro de la nave nodriza, haciendo cálculos como de costumbre, así que no hay necesidad de preocuparse, supongo."""
un_043070_0110#0,"""También le dio a Xiera la autoridad para manejar todo en la nave, ¿Verdad?"""
un_043070_0120#0,"""¿Eres un idiota? Probablemente ya está acostumbrado.."""
un_043070_0130#0,"""Además, está demasiado ocupado para pensar en está tontería. Estúpida María, no tenía que obligarme a hacer todas sus tareas."""
un_043070_0140#0,"""Por cierto, ¿Estás libre en este momento? Quisiera hacer algunas preguntas sobre el documento presentado por el Departamento de Asuntos Generales"""
un_043070_0150#0,"""Ah- No sé si tengo tiempo libre, ah! Un momento"""
un_043070_0160#0,"""Por Dios, Xiao! ¿Por qué siempre me llamas de la nada?"""
un_043070_0170#0,"""No importa, ¿Qué pasa?...¡¿Nada?! \""Siempre quise saber de usted\"" Eres un idiota, ¿No?, ¿Por qué no acábas tus cálculos y vienes aquí?"""
un_043070_0180#0,"""Estoy bien en este momento. Sí, está bien. Parece que las cosas se han asentado a tu lado. Lo sé, no he estado discutiendo ni nada de eso."""
un_043070_0190#0,"""Sí, vale, sí, lo tengo. Usted no necesita llamar día a día sólo para comprobar. Además, ¿Estás bien?"""
un_043070_0200#0,"""Bueno, no es como si estuviera preocupada por ti o algo. De todos modos, me dirijo hacia allí para visitarte, será mejor que salgas, o bien!"""
un_043070_0210#0,"""Lo sé, lo sé. Nos vemos."""
un_043070_0220#0,"""Vamos, siempre es así. Lo siento Xiera, vamos a continuar desde donde lo dejamos-"""
un_043070_0230#0,"""¡Espera, ¿Qué?!"""
un_043070_0240#0,"""Bueno ~ No sé cómo decirlo... Es realmente agradable hablar así-"""
un_043070_0250#0,"""Hey, Xiera!, ¡Vuelva a la petición! Estoy seguro de que hay problemas con el documento que María nos dio!, ¡Date prisa y muéstrame!"""
un_043070_0260#0,"""Okay, okaaaaay~"""
un_043070_0270#0,"""¡<%me>!, ¡No te quedes ahí parado!, ¡Vuelve a tus misiones ARKS!, ¡Ahora!"""
