un_044070_0010#0,"""..Si entiendo. Pues bien, la próxima vez ire en persona para explicar la situación."""
un_044070_0020#0,"""Por favor, no se preocupe. Después de todo, no puedo dejar a los demas allí solos... Hasta la proxima vez."""
un_044070_0030#0,"""¿Sr. Ardem?, ¿Ha ocurrido algo relacionado con Mother Cluster?"""
un_044070_0040#0,"""No, es algo, no relacionado. Se trata de la cuestión de la mediación de las disputas relacionadas con el medio oriente."""
un_044070_0050#0,"""Los líderes están haciendo demandas irrazonables unos con otros y le preguntamos si podríamos intervenirlo."""
un_044070_0060#0,"""Huh, como los que ocasionalmente se reportan en las noticias?, ¿Earth Guide está implicado con eso también?"""
un_044070_0070#0,"""Por supuesto, originalmente, la misión de Earth Guide era principalmente resolver los conflictos y formar las bases para la paz."""
un_044070_0080#0,"""Nuestra lucha contra Mother Cluster, es la verdadera rareza aquí."""
un_044070_0090#0,"""Aunque, si miramos la historia de Earth Guide, nuestras relaciones con los asuntos de otros países son extraños también."""
un_044070_0100#0,"""Earth Guide fue fundada para guiar al mundo por el camino correcto, detrás de las escenas."""
un_044070_0110#0,"""En aquel entonces, nuestro modus operandi era investigar y tratar con lo paranormal. Por lo tanto, nunca realmente despegamos."""
un_044070_0120#0,"""Es sólo que recientemente... La gente ha luchado regularmente entre sí, por lo tanto nuestro enfoque cambió a tratar con la gente."""
un_044070_0130#0,"""Se dice que la historia del hombre, es una historia de conflicto. Creo que es bastante deprimente."""
un_044070_0140#0,"""Con mis manos y mi influencia, espero cambiar las cosas, aunque sea un poco... Heh. Simplemente no va bien."""
un_044070_0150#0,"""¿Por qué la gente debe luchar entre sí?"""
