un_043050_0010#0,"""¡Ah, <%me>!"""
un_043050_0020#0,"""¡<%me>!<br>¡No te he visto últimamente!<br>Te acuerdas de mí, ¿Verdad?"""
un_043050_0030#0,"""1. ¿Quien eres?..."""
un_043050_0040#0,"""2. Ah, tanto tiempo sin verte."""
un_043050_0050#0,"""¿Me has olvidado por completo?"""
un_043050_0060#0,"""¡Ese momento de silencio significa que no lo recuerdas!"""
un_043050_0070#0,"""¡Soy yo, Katori! Ka-to-ri! La que te presento su amada clase Bouncer, y ahora se considera como una doncella elegante y legendaria."""
un_043050_0080#0,"""Debido a su autoafirmación, el número de quejas que ha recibido es ciertamente legendario."""
un_043050_0090#0,"""Eso es porque no anuncian lo suficiente. Conseguir que recuerden es la principal prioridad, después de todo."""
un_043050_0100#0,"""Pero, gracias a <%me>, la clase Bouncer ha visto una expansión universal."""
un_043050_0110#0,"""Inspirado por sus logros, hay un número cada vez mayor de ARKS que han decidido probar varias armas y clases independientemente de sus preferencias."""
un_043050_0120#0,"""Gracias a ti, no sólo a Bouncer, sino también a toda la diversidad de ARKS."""
un_043050_0130#0,"""Eso, y Katori innecesariamente difundir la palabra que usted también estaba utilizando la clase Bouncer, la propagación de anuncios extraños que probablemente contribuido a ella también."""
un_043050_0140#0,"""¡No estaba mintiendo!, ¡No digo mentiras! Y aunque no lo estuvieras usando, al menos lo sabías."""
un_043050_0150#0,"""E incluso si no lo está usando ahora mismo, a partir de hoy, puede comenzar a aprender cómo, y entonces todo será verdad!"""
un_043050_0160#0,"""...Bien, es ciertamente cierto que tener una diversa gama de métodos de combate hará que sea fácil prepararse para cualquier situación."""
un_043050_0170#0,"""Además, cuanto más individuos los dominen, más fácil será trabajar con otros usuarios."""
un_043050_0180#0,"""He oído que los nuevos problemas están en aumento. Si alguna vez necesita nuestra ayuda, solo llámenos."""
un_043050_0190#0,"""Fufufu, exactamente lo que dice Saga. Mis nuevos poderes existen para ti."""
un_043050_0200#0,"""...Como ya has adivinado durante nuestra charla, Katori apenas ha cambiado y probablemente te causará dolor. Le deseamos lo mejor, independientemente."""
un_043050_0210#0,"""¡Eres tan malo, Saga! Y <%me> es demasiado, no sólo asiente con la cabeza así!"""
