st_043110_0001#0,"""A.D.2028/4/7/19:30"""
st_043110_0010#0,"""Hah... hah... Es un camino de victoria, ¿no es así?"""
st_043110_0020#0,"""¡BIEN, JOVENCITA-Hitsugi! <%me>! Hasta aquí, El acto ha ido más allá de mis expectativas!"""
st_043110_0030#0,"""¡Bethor!"""
st_043110_0040#0,"""A pesar de que, Lo de ahora era tan malo! Esto no puede ser todo, he llegado a esperar más ACTORES como tú!"""
st_043110_0050#0,"""¿Entiendes, JOVENCITA-Hitsugi? Es algo que tanto usted como <%me> carecen!"""
st_043110_0060#0,"""Me importa un demonio tus expectativas! Vinimos aquí a patearte tu culo idiota!"""
st_043110_0070#0,"""¡¿Qué?!"""
st_043110_0080#0,"""¡Eso es JOVENCITA-Hitsugi! Esa expresión! Esa cara fresca de alguien que ha caído en la desesperación! Esto es lo que siempre he estado esperando, yo.!"""
st_043110_0090#0,"""aunque, <%me>. No me gusta esa expresión tuya. Es indiferente."""
st_043110_0100#0,"""Ustedes también muestran las mismas expresiones que nosotros, ¿no? Por favor, muéstrame más y más de esa expresión bruta, ¿VES?!"""
st_043110_0110#0,"""¿Está creando esos Phantoms a través de explosiones? Se suponía que tu arma encarnada era explosiva, ¿no?"""
st_043110_0120#0,"""¡NO NO NO NO NO! ¡Qué enorme ERROR, JOVENCITA-Hitsugi!"""
st_043110_0130#0,"""¡Mi habilidad se llama S.F.X! \""efectos Sci-Fi\""!No sólo explosiones, sino también iluminación, suplantación, ¡EFECTOS FÍSICOS! ¡Puedo hacer cualquier cosa!"""
st_043110_0140#0,"""Sus técnicas fueron ridiculizadas por ser demasiado anticuadas... Sin embargo, con mi poder, ha sido resucitado! ¡La técnica de filmación más grande del mundo!"""
st_043110_0150#0,"""¡Hacer FILMACIONES más emocionantes! ¡LOCAS! ¡SENSACIONALES! ¡Ese es mi papel!"""
st_043110_0160#0,"""¡JOVENCITA-Hitsugi! Deberías haber oído hablar de Hagith, ¿verdad?"""
st_043110_0170#0,"""¡El Ether no es sólo para la tecnología de la comunicación! ¡Convierte tus sueños en realidad! ¡Esa es mi manera de usar Ether, SA.!"""
st_043110_0180#0,"""¡Basta de bromas! ¡Debido a sus pequeñas razones, usted ha conseguido involucrar a varios en sus proyectos!¿Quién te crees que eres, exactamente?"""
st_043110_0190#0,"""¡Jajaja! Voy a tener que echarle sus PALABRAS de vuelta, ¡JOVENCITA-Hitsugi! usted, solía ser un MIEMBRO de Mother Cluster, ¿verdad?"""
st_043110_0200#0,"""Deberías haber sido informada de esto el día en que<br>te uniste a Mother Cluster. Somos los elegidos.<br>¡Somos los que tenemos el poder, NE.!"""
st_043110_0210#0,"""¡Usando ese poder, alcanza tus deseos! ¡Satisfaga sus necesidades! ¡CAMBIAR EL MUNDO! ¡Ése es nuestro papel!"""
st_043110_0220#0,"""¡Te equivocas! Eso esta definitivamente mal!"""
st_043110_0230#0,"""Este poder no existe para crear un mundo que haga a la gente triste, ni desaparecer!"""
st_043110_0240#0,"""Yo sólo pensé en proteger a Aru... Y este niño vino a mí... Este es el poder para proteger."""
st_043110_0250#0,"""He sabido que es sólo un cuento de hadas, -ya sea<br>para proteger a todos o crear un mundo<br>pacífico. Aún así, no quiero olvidar<br>el esfuerzo de acercarse a eso."""
st_043110_0260#0,"""Quiero traer un mundo donde cada uno pueda<br>sonreír, sin tener que perder a nadie mas, cercano."""
st_043110_0270#0,"""Lo que estás haciendo es completamente lo contrario! No es la codicia, ni los deseos. ¡Nada más que tu escandalo de ira! Sólo la destrucción en el disfraz de la producción!"""
st_043110_0280#0,"""¡NO! Eso no lo hará, JOVENCITA-Hitsugi.<br>Hacer cosas, pensando que<br>no podras hacerlo, es una afirmación ilógica, <br>¿no estás de acuerdo NE.?"""
st_043110_0290#0,"""Transformar los cuentos de hadas en realidad es nuestro poder. Ese es el PODER de Ether.. ¿LO ENTIENDES?"""
st_043110_0300#0,"""Con ese mal punto de vista, no se puede cambiar la MENTE, ni el MUNDO, JOVENCITA-Hitsugi!"""
st_043110_0310#0,"""Ahora, estamos casi cerca del final de la película. Pasemos al CLIMAX, ¿De acuerdo?"""
st_043110_0320#0,"""<%me>, En el final, tu expresión nunca cambió en absoluto. Eres inesperadamente un ACTOR mediocre."""
st_043110_0330#0,"""Por lo menos, muestrale a  la audiencia esa expresión cruda de amargura y dolor en la última escena!"""
st_043110_0340#0,"""¡¿QUÉ?! ¿Que pasó? ¡La película está rodando ahora mismo!"""
st_043110_0350#0,"""Eso significa que su rodaje fue cancelado, director inútil."""
st_043110_0360#0,"""¡Hermano mayor... Enga!"""
st_043110_0370#0,"""Hey, parece que te va bien, Hitsugi."""
st_043110_0380#0,"""¡TU ESTÁS! Enga... Yasaka!"""
st_043110_0390#0,"""Fufu, JOVEN-Enga. ¿No desapareció con su habitación?"""
st_043110_0400#0,"""No hay forma de caer en algo<br>tan obvio. Por lo menos ten algo de orgullo<br>en tus trucos, ¿No es asi, Sr. Director de Película?"""
st_043110_0410#0,"""MIERDA... Pero no hay PROBLEMA! Si los elimino a todos aquí, ¡está terminado! El ZE de FINALIZACIÓN!"""
st_043110_0420#0,"""Estás bromeando, ¿verdad? Hoy en día, no se puede salir con una concepción de esa manera."""
st_043110_0430#0,"""¡Informes! Los Phantoms dentro de la zona han sido suprimidos por fuerzas amigas. Todos ellos están desapareciendo!"""
st_043110_0440#0,"""¿Fuerzas amigas? ¿No ARKS?"""
st_043110_0450#0,"""Sí, una fuerza de la Tierra que se opone<br>a Mother Cluster... supuestamente llamada \""Earth Guide\""!"""
st_043110_0460#0,"""¡SANTA MIERDA!! ¡Mi escena! El escenario que trabaje para crear!"""
