un_043010_0010#0,"""Que tal, senpai. Oh, ¿Quién está contigo?"""
un_043010_0020#0,"""Me alegro de conocerte. Mi nombre es Hitsugi y el es Aru. Y usted es?..."""
un_043010_0030#0,"""Mi nombre es io, y no hay necesidad de tanta formalidad. Entonces, ¿Por qué están con senpai?"""
un_043010_0040#0,"""Uhm, bueno... Estoy en deuda con <%me> y..."""
un_043010_0050#0,"""¿En deuda? Ah, ya veo. Es sobre esa cuestión molesta en la que senpai se mezcló."""
un_043010_0060#0,"""Problema molesto? Ya se está convirtiendo en un rumor. Sin embargo, no puedo negarlo por completo."""
un_043010_0070#0,"""No hay nada de lo que tengas que preocuparte. Senpai siempre ha tenido un problema innato de aceptar problemas molestos."""
un_043010_0080#0,"""¿No es cierto, senpai?"""
un_043010_0090#0,"""1. Eso no es verdad"""
un_043010_0100#0,"""2. Nunca he creído que fueran molestos"""
un_043010_0110#0,"""Bueno, usted probablemente no se da cuenta porque siempre los resuelve al final, pero eso significa que todo el mundo a su alrededor está preocupado."""
un_043010_0120#0,"""Eso es correcto ... Eso es lo que senpai es."""
un_043010_0130#0,"""Siempre dices confiar más en nosotros cuando hay problemas, pero siempre tratas de resolver todo por ti mismo."""
un_043010_0140#0,"""¿Está mal tratar de hacer todo uno mismo?"""
un_043010_0150#0,"""No estoy diciendo que eso mismo está mal. Simplemente no quiero que se presionen demasiado, y supongo que quiero que confíen en nosotros con más frecuencia."""
un_043010_0160#0,"""En lugar de tratar de mantener todo para ti, tragate tu orgullo y pide ayuda cuando lo necesites. Es por eso que los camaradas existen. ¿No es cierto, senpai?"""
un_043010_0170#0,"""Bueno, no importa lo que digamos, la actitud de senpai no cambiará."""
un_043010_0180#0,"""Es por eso que también debemos pensar en cómo seguir con esa actitud. Supongo que ya estamos acostumbrados a esto. ¿Qué tan familiar es usted con su historia?"""
un_043010_0190#0,"""Supongo que <%me> siempre es así?"""
un_043010_0200#0,"""De hecho ellos son. Una vez que hayan decidido algo, nunca cambiarán su postura. ¿Quieres oír todo el relato de cuando Profound Darkness resurgió y tuvieron que salvar a Matoi?"""
