un_046030_0010#0,"""Dime, <%me>.<br>¿Tal vez sea lo mejor que nos vayamos de aquí?"""
un_046030_0020#0,"""Oh no no. Ms. Hitsugi y Mr. Enga son partes involucradas de está conversación. Por supuesto, quédate aquí."""
un_046030_0030#0,"""¿Partes involucradas?, ¿De que se trata esto?"""
un_046030_0040#0,"""Probablemente el estado de confirmación de la seguridad y el control de Oracle del pánico que Mother Cluster causó, ¿Correcto?"""
un_046030_0050#0,"""Si eso es correcto. Como parte de la Unidad de Inteligencia, no puedo dejar que eso pase"""
un_046030_0060#0,"""Es por eso que vine en persona, en lugar de enviar Aika o a Quna."""
un_046030_0070#0,"""Para comprobar si había traidores entre nosotros."""
un_046030_0080#0,"""¿Estás refiriéndose a nosotros?"""
un_046030_0090#0,"""Mientras se arriesga a un posible malentendido. Si eso es correcto. Es posible que la información haya sido filtrada de uno de ustedes, o posiblemente de ambos."""
un_046030_0100#0,"""Ah, eso es bastante lógico. No hay razón para fugas dentro de ARKS. En todo caso, tendría que ser de la Tierra."""
un_046030_0110#0,"""Usted también?!"""
un_046030_0120#0,"""Eso no es posible. La invasión fue construida a partir de la inteligencia obtenida por el hacking de Mother!"""
un_046030_0130#0,"""No hay forma alguna de que haya una posibilidad de que el Sr. Enga o la Sra. Hitsugi estén involucrados. Incluso tengo los registros de transmisión!"""
un_046030_0140#0,"""Xiera, no deberías estar irritado por esto. También hemos revisado los registros de transmisión."""
un_046030_0150#0,"""Sin embargo, conversaciones sin transmisiones. Una conversación directa no está fuera de alcance."""
un_046030_0160#0,"""¿Qué piensas, <%me>? Como alguien que estaba allí, ¿Qué te parece?"""
un_046030_0170#0,"""¿Estas dos personas merecen nuestra fe y confianza?"""
un_046030_0180#0,"""1. No hay necesidad de decirlo."""
un_046030_0190#0,"""2. Tus acusaciones han ido bastante lejos."""
un_046030_0200#0,"""<%me>……"""
un_046030_0210#0,"""Es eso así. <%me>, si usted lo dice, entonces no queda nada más que decir"""
un_046030_0220#0,"""...¿Heh, no es cierto?"""
un_046030_0230#0,"""Me disculpo. Por supuesto, sólo yo podría hacer tal cosa."""
un_046030_0240#0,"""¡Oye, espera un minuto, Casra! ¿A dónde vas?"""
un_046030_0250#0,"""Estoy bastante listo con mis confirmaciones, así que estoy regresando. Estoy seguro de que ya has calculado contramedidas contra invasiones similares, Xiera."""
un_046030_0260#0,"""La Unidad de Inteligencia respaldará su juicio. Eso debería arreglar las cosas, ¿Sí?"""
un_046030_0270#0,"""Sta. Hitsugi y Sr. Enga. Me disculpo por mi grosero comportamiento."""
un_046030_0280#0,"""Lo siento por probarlo, pero entiende que este es mi deber."""
un_046030_0290#0,"""Nos vemos a todos. Volvamos a vernos."""
un_046030_0300#0,"""Ugh! Siempre tan distante. Simplemente me hace enojar el sólo verlo!"""
un_046030_0310#0,"""¿Cómo nos estaba probando?"""
un_046030_0320#0,"""Él estaba observando nuestras reacciones mientras hablábamos, Sus ojos eran serios, eran de espeluznante."""
un_046030_0330#0,"""Su principal problema es que le gusta poner a la gente en contra de sus acciones, como si las estuviera devorando."""
un_046030_0340#0,"""Supongo que usted necesita para disfrutar de ti mismo para seguir haciendo un papel tan terrible."""
un_046030_0350#0,"""Independientemente de eso, todavía era bastante desagradable. La próxima vez, voy a presentar una queja contra la Unidad de Inteligencia directamente de la Administración!"""
