un_049060_0010#0,"""¡<%me>!<br>justo a tiempo!<br>acércate!"""
un_049060_0020#0,"""¡Es hora de recopilar más datos de<br>la Tierra!<br>Sólo estamos reuniendo información,<br>¿De acuerdo?<br>Estrictamente información, y nada<br>más!"""
un_049060_0030#0,"""Es un poco difícil conseguir una comprensión completa de las cosas si sólo estamos observando el lado de las chicas, ¿Verdad?"""
un_049060_0040#0,"""Así que está vez vamos a echa un vistazo a lo que hacen Aru y Enga, ¿De acuerdo?"""
un_049060_0050#0,"""Así que vamos a echar un vistazo y ver cómo van las cosas en la Tierra!"""
un_049060_0060#0,"""Ahahah!, ¡Es tan grande! Tan grande<br>Este baño es muy cómodo y relajante, ¿No?<br>¿Hermano mayor?"""
un_049060_0070#0,"""No lo negaré, pero...<br>Toda sensación de relajación ya ha sido arruinada."""
un_049060_0080#0,"""¡Ho! ¿Por qué esa cara<br>tan aterradora, muchacho?"""
un_049060_0090#0,"""Yo estaba aquí, pensando que un baño sería agradable.<br>Tú, por otra parte, sólo llegaste después de mí como si prácticamente fueras el dueño de este lugar!"""
un_049060_0100#0,"""Lo que faltaba Hagith Anie?!<br>todo lo que estás haciendo es hacer las cosas más incómodas!"""
un_049060_0110#0,"""¡Qué grosero! yo prácticamente soy dueño del lugar, ya que me he convertido en uno de los fundadores financieros de este excelente establecimiento, y post-graduado!, ¡Ten un poco de respeto por su benefactor!"""
un_049060_0120#0,"""¿Tienes idea de lo molesto que suenas?<br>no deberíamos soportar tu arrogancia."""
un_049060_0130#0,"""Es por eso que estoy expresando mis disculpas en forma de donaciones más que generosas!<br>piense en ello como... Filantropía corporativa."""
un_049060_0140#0,"""No me dolería pasar una noche en<br>los dormitorios sólo por los viejos<br>tiempos, ¿Verdad?"""
un_049060_0150#0,"""Me disculpo. Unirse a Mother Cluster<br>no logró quitarle la inmadurez."""
un_049060_0160#0,"""N-no hay necesidad de disculpas,<br>Viejo..."""
un_049060_0170#0,"""Pero es bueno si todos están juntos<br>y animados, ¿Verdad? Cuantos más,<br>mejor, ¿Verdad?"""
un_049060_0180#0,"""Estaría feliz si la hermana mayor y todas las demás pudieran unirse también..."""
un_049060_0190#0,"""¡Tonto!<br>esto es como la boca del lobo para ellas."""
un_049060_0200#0,"""Pero fuimos juntos la última vez..."""
un_049060_0210#0,"""¿Qué?!"""
un_049060_0220#0,"""¡Dime más!"""
un_049060_0230#0,"""¡Alejate de él, viejo graduado!"""
un_049060_0240#0,"""¡Qué grosero! Los hombres jóvenes sanos de nuestra edad deben ser curiosos sobre eso, ¿No?"""
un_049060_0250#0,"""Estamos en el baño de los hombres, no hay necesidad de contenerse!"""
un_049060_0260#0,"""Hmm... Ahora que lo pienso, Enga... Estabas mirando mucho a Och, ¿No?"""
un_049060_0270#0,"""¿De que estas hablando, viejo?"""
un_049060_0280#0,"""¡Por supuesto! prefieres las tetas pequeñas, ¿No?"""
un_049060_0290#0,"""¡Ni siquiera lo pronuncies de esa forma! cuida tu lenguaje hay niños presentes!"""
un_049060_0300#0,"""Hermano, ¿Qué son tetas pequeñas?, ¿Qué son?<br>¡Cuéntame, cuéntame!"""
un_049060_0310#0,"""Oh, Oh!, ¡Como las de Hitsugi! Un tamaño de pecho como el de ella.<br>En el que las tratas de sentir alrededor, pero no hacen Boing, no hay nada."""
un_049060_0320#0,"""¿Huh? ¡Pero las de la hermana mayor hacen, Boing!"""
un_049060_0330#0,"""¡¡¡Me estás tomando el pelo!!!"""
un_049060_0340#0,"""Las de Kohri eran más increíbles, aunque!<br>ella hace, \""bo-yo-yoing!\"""""
un_049060_0350#0,"""Ho ho! debo estar de acuerdo en que el crecimiento de Kohri es el más fascinante. Y extraordinariamente llamativo..."""
un_049060_0360#0,"""¡Ni siquiera deberías estar hablando de esto, viejo pervertido!"""
un_049060_0370#0,"""Heheh!, ¡Ahora esa es mi idea de una conversación de hombres! Aah... Siempre he querido hablar de estas cosas con mis<br>compañeros de vuelta en la escuela"""
un_049060_0380#0,"""Eras un bastardo solitario en la escuela... No es de extrañar que te convirtieras en el presidente del consejo estudiantil."""
un_049060_0390#0,"""Bueno, yo era el mejor en todo"""
un_049060_0400#0,"""Yyyyy ahora me recuerdas el por qué te odio."""
un_049060_0410#0,"""Entonces, Enga... ¿Cuál es tu tipo, en realidad?, ¿GRANDES?, ¿Pequeñas?"""
un_049060_0420#0,"""Personalmente, acepto toda su gloria!<br>No importa el tamaño, cada uno tiene sus encantos.<br>Grande o pequeño, ¡Ni más grande que el otro!"""
un_049060_0430#0,"""Oh sí, no puedo oírlo, no estoy hablando de eso"""
un_049060_0440#0,"""Pero elegir entre Hitsugi o Kohri... Oh, yo tendría que elegir a Kohri."""
un_049060_0450#0,"""Alguien tiene agallas, ¿No?"""
un_049060_0460#0,"""Oh, Así que te gustan las tetas pequeñas?<br>¿Así que usted estaba bromeando con Och?<br>Bueno, ¿Qué tal si utilizamos mi última aplicación para asegurar que ambos se llevan bien..."""
un_049060_0470#0,"""Muy bien, entonces quieres morir ahora."""
un_049060_0480#0,"""¿Qué piensas, Aru?<br>Si las has sentido, Hitsugi o Kohri,<br>a cuál prefieres?"""
un_049060_0490#0,"""Hmm... Realmente no lo sigo, pero... Me gusta abrazarlos."""
un_049060_0500#0,"""Kohri hizo que mi corazón saltara, y fue algo raro... Pero ambos son tan cálidos. ¡Me gustan los dos!"""
un_049060_0510#0,"""Lo sé, ¿Verdad?!, ¡Estás de acuerdo conmigo!"""
un_049060_0520#0,"""¡No vayas pervirtiendo así a la mente inocente de Aru!"""
un_049060_0530#0,"""Ho ho Una juventud tan enérgica... Pero eventos como estos encarnan la paz. ¿Verdad... Mother?"""
un_049060_0540#0,"""Wah lo siento, estaba, uh... Perdida en mi propio mundo!"""
un_049060_0550#0,"""Todo el mundo parece estar perfectamente O.K., Por lo que hemos terminado aquí! Mmmm ¡No necesitamos más información!"""
un_049060_0560#0,"""¡No!, ¡Más!... Y no te preocupes, voy a mantener estos datos ¡Estrictamente en alto secreto!"""
